,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,maxProfit,minProfit,lastProfit,imax,imin,hname,profit
4009,20250630,179530,-0.047,0.062,-0.047,-0.015,16,0,609988,353644,234190,1551,1541,3350,0.022,0.054,-0.082,5,45,181582,120075,61507,487,347,606,143400,3355,-0.00945156,-0.0467094,-0.0422385,3,66,애드바이오텍,-0.0422385
4008,20250630,123690,-0.014,-0.001,-0.041,-0.026,88,425,418362,241744,125262,1609,1483,8350,0.03,0.091,0.028,8,0,1578399,805346,773053,5712,5865,155,104830,8920,0.101139,0.00921076,0.0282691,194,81,한국화장품,0.0282691
4002,20250630,060570,0.001,0.017,-0.013,-0.013,214,713,101496,48904,37209,449,374,1691,0.03,0.14,0.011,23,2,308831,154359,120254,696,739,81,101130,1844,0.0126421,-0.0334534,-0.0014577,388,251,드림어스컴퍼니,-0.0014577
4001,20250630,052300,0.05,0.052,-0.02,-0.005,0,371,238771,138744,98356,650,602,3285,0.006,0.065,0.005,17,0,80838,48530,32308,209,198,355,122830,3425,-0.002,-0.0414161,-0.0326569,1,61,오션인더블유,-0.0326569
4000,20250630,046120,0.16,0.235,-0.087,-0.051,5,603,13569681,7717895,5153813,32359,28648,5050,-0.072,-0.038,-0.099,22,2,1052723,585461,392786,1971,1924,162,105200,4745,-0.000946259,-0.0494183,-0.0473109,1,529,오르비텍,-0.048
3998,20250630,025770,0.006,0.006,-0.099,-0.065,0,434,391017,238506,139680,2833,2902,10130,-0.018,-0.018,-0.084,0,24,65471,47810,17661,536,321,154,104800,9700,0.0237732,-0.00715464,0.0144948,379,39,한국정보통신,0.0144948
3997,20250627,476040,0.029,0.3,0.017,0.195,701,1,6194329,3018765,3041161,53019,59302,35500,0.046,0.069,-0.013,1,42,457981,279971,178010,5502,3977,190,110600,36850,0.0156391,-0.0576309,-0.0277802,50,266,오가노이드사이언스,-0.048
3994,20250627,418620,-0.034,0.027,-0.062,-0.057,108,709,602062,320169,266986,2170,2523,4060,0.031,0.052,-0.016,4,50,75780,53329,22451,326,288,149,104530,4165,0.203282,-0.0284106,0.0976399,471,113,E8,0.12
3991,20250627,236810,-0.037,0.3,-0.098,0.3,721,173,8781245,4760736,3581696,16224,14322,4225,-0.05,0.06,-0.084,41,5,4120172,2107779,2012393,8668,10071,355,122830,4245,0.133453,-0.0703157,-0.0502921,64,216,엔비티,0.12
3990,20250627,232830,-0.039,-0.028,-0.096,-0.05,0,407,444959,274951,160556,873,900,2915,0.002,0.019,-0.053,33,20,75778,23960,51818,144,131,341,122130,2890,0.0135709,-0.019301,0.00319031,288,78,아이티센피엔에스,0.00319031
3989,20250627,228760,0.006,0.016,-0.017,-0.007,1,240,104583,64391,38812,883,934,12000,0.002,0.008,-0.051,2,46,289228,74304,214924,682,864,355,122830,11840,0.0317838,-0.002,0.0284054,460,0,지노믹트리,0.0284054
3988,20250627,215100,0,0,-0.108,-0.083,0,359,2704676,1770274,824541,9006,6621,5160,0.004,0.07,0,17,2,1462563,719432,743131,3262,3582,206,111400,5390,0.126015,-0.0131317,0.0221187,210,24,로보로보,0.12
3986,20250627,192410,0.023,0.299,0.002,0.107,517,5,7119501,3847999,3093862,12960,14582,1682,0.011,0.068,-0.012,13,50,478078,315600,162478,1056,1134,223,112230,1745,0.0753639,-0.0163266,0.0386877,187,69,오늘이엔엠,0.0386877
