,date,shcode,dO,tBid,pBid,dOpen,dHigh,dLow,dClose,iHigh,iLow,mdvol,msvol,mdcnt,mscnt,mvrate,mcrate,20_i,20_t,20_p,20_r,40_i,40_t,40_p,40_r,60_i,60_t,60_p,60_r,80_i,80_t,80_p,80_r,100_i,100_t,100_p,100_r
8987,2025-02-21,252670,0.0,142100,2120,0.47,0.71,0.0,0.0,585,636,2977289,2376369,900,574,0.517,0.648,642,142130,2125,0.00236,759,152000,2120,0.0,759,152000,2120,0.0,759,152000,2120,0.0,759,152000,2120,0.0
8986,2025-02-21,252670,0.0,141100,2125,0.24,0.71,0.24,0.47,585,560,1375962,2224044,245,529,0.536,0.608,621,141100,2130,0.00235,739,151000,2115,-0.00471,739,151000,2115,-0.00471,739,151000,2115,-0.00471,739,151000,2115,-0.00471
8985,2025-02-21,252670,0.0,140100,2130,0.24,0.71,0.24,0.71,585,540,968853,2077292,147,502,0.589,0.66,601,140100,2135,0.00235,719,150000,2120,-0.00469,719,150000,2120,-0.00469,719,150000,2120,-0.00469,719,150000,2120,-0.00469
8984,2025-02-21,252670,0.0,135100,2130,0.47,0.47,0.24,0.47,520,523,218319,180072,69,90,0.6,0.646,584,135230,2135,0.00235,699,145000,2125,-0.00235,699,145000,2125,-0.00235,699,145000,2125,-0.00235,699,145000,2125,-0.00235
8983,2025-02-21,252670,0.0,134100,2130,0.47,0.47,0.0,0.47,500,502,413941,1187479,102,179,0.684,0.712,584,135230,2135,0.00235,679,144000,2120,-0.00469,679,144000,2120,-0.00469,679,144000,2120,-0.00469,679,144000,2120,-0.00469
8982,2025-02-21,252670,0.0,133100,2125,0.24,0.47,-0.24,0.47,500,484,3070281,2756117,240,543,0.632,0.673,542,133130,2130,0.00235,584,135230,2135,0.00471,659,143000,2120,-0.00235,659,143000,2120,-0.00235,659,143000,2120,-0.00235
8981,2025-02-21,252670,0.0,132100,2130,0.24,0.47,-0.24,0.47,500,484,3760682,2769061,476,554,0.593,0.643,584,135230,2135,0.00235,639,142000,2120,-0.00469,639,142000,2120,-0.00469,639,142000,2120,-0.00469,639,142000,2120,-0.00469
8980,2025-02-21,252670,0.0,131100,2130,0.0,0.24,-0.24,0.0,442,484,3512476,1859001,432,485,0.508,0.667,584,135230,2135,0.00235,619,141000,2130,0.0,619,141000,2130,0.0,619,141000,2130,0.0,619,141000,2130,0.0
8979,2025-02-21,252670,0.0,130100,2125,0.24,0.24,0.0,0.24,420,421,965605,496474,313,139,0.525,0.655,497,130900,2130,0.00235,584,135230,2135,0.00471,599,140000,2135,0.00471,599,140000,2135,0.00471,599,140000,2135,0.00471
8978,2025-02-21,252670,0.0,125100,2125,0.24,0.24,-0.24,0.0,400,416,768353,996513,222,205,0.492,0.574,497,130900,2130,0.00235,579,135000,2130,0.00235,579,135000,2130,0.00235,579,135000,2130,0.00235,579,135000,2130,0.00235
