,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2032,2025-02-07,069540,0.025,0.025,-0.081,-0.077,0,758,1619892,1163103,390457,2032,1847,1170,0.002,0.12,-0.002,1457543,0.122,0.08,77,760,93900,153000,1312,1225,-0.06631,빛과전자
2031,2025-02-07,032680,0.027,0.055,0.0,0.055,760,19,1191026,535746,502403,408,806,347,0.035,0.141,0.009,6445443,0.127,0.08,60,422,93030,123130,397,365,-0.0806,소프트센
2030,2025-02-07,064350,-0.005,0.195,-0.064,0.17,750,108,8797851,3335842,5225805,59543,100976,71500,0.035,0.13,0.031,3007581,0.096,0.08,104,760,95230,153000,81000,79600,-0.01728,현대로템
2029,2025-02-06,466100,0.017,0.3,0.011,0.3,321,2,35684572,17230043,18181355,136468,163214,14580,0.06,0.106,0.021,11725415,0.083,0.08,95,760,94800,153000,16150,16470,0.01981,클로봇
2028,2025-02-06,434480,0.002,0.033,-0.002,0.016,5,398,552725,272924,211475,1627,1797,4940,0.024,0.097,0.008,1435843,0.088,0.08,85,108,94300,95430,5440,5930,0.09007,모니터랩
2027,2025-02-06,394800,0.002,0.039,-0.036,0.016,252,46,4733120,2491456,2102364,8970,8767,6220,0.003,0.103,-0.003,4632865,0.106,0.08,64,269,93230,111500,6880,6330,-0.07994,쓰리빌리언
2026,2025-02-06,331520,-0.016,0.023,-0.062,-0.052,89,583,3112424,1702369,1205859,1719,2167,694,-0.007,0.074,-0.007,1242311,0.081,0.08,104,235,95230,105800,747,809,0.083,밸로프
2025,2025-02-06,219550,0.007,0.062,-0.009,0.062,758,46,2333907,946050,1256441,997,1168,790,0.043,0.106,0.02,1926316,0.084,0.08,91,139,94600,101000,876,951,0.08562,디와이디
2024,2025-02-06,001470,0.001,0.006,-0.019,-0.006,50,7,2906678,1614554,1138199,1575,2834,893,0.048,0.146,0.031,8075993,0.111,0.08,131,760,100600,153000,1025,999,-0.02537,삼부토건
2023,2025-02-05,452450,0.0,0.038,-0.279,-0.127,523,53,66399344,35931761,28468632,164666,147705,4365,0.013,0.107,0.0,9630098,0.107,0.08,270,530,111530,132530,4835,4445,-0.08066,피아이이
2022,2025-02-05,437730,0.012,0.05,-0.053,-0.025,15,639,1868114,1098730,696933,7223,6372,10910,0.025,0.159,0.012,3333852,0.112,0.08,137,760,100900,153000,12660,13060,0.0316,삼현
2021,2025-02-05,393210,0.003,0.299,0.003,0.299,430,0,6530777,3277705,3173650,17286,20206,5230,0.077,0.18,0.077,7001354,0.09,0.08,231,357,105600,115900,6190,5690,-0.08078,토마토시스템
2020,2025-02-05,351320,0.3,0.3,0.191,0.3,226,246,4826726,3565949,1163186,4569,2784,2730,-0.046,0.086,-0.059,2137255,0.154,0.08,283,291,112200,112600,2970,2730,-0.08081,에스에이티이엔지
2019,2025-02-05,304100,0.032,0.082,-0.021,0.005,461,699,2358996,1197729,1093226,16179,20282,28300,0.023,0.148,0.005,1357314,0.122,0.08,69,760,93500,153000,32550,33150,0.01843,솔트룩스
2018,2025-02-05,123010,0.058,0.264,0.018,0.123,113,3,14002472,7328598,6411062,21561,24716,1620,0.013,0.182,-0.02,4479568,0.09,0.08,66,108,93330,95430,1918,2090,0.08968,아이윈플러스
2017,2025-02-04,115500,-0.007,-0.007,-0.085,-0.084,0,684,339751,235742,80540,2193,1794,10090,0.046,0.169,0.041,1225215,0.101,0.08,60,760,93030,153000,11820,11600,-0.01861,케이씨에스
2016,2025-02-04,062970,0.0,0.027,-0.089,-0.081,1,50,4617784,2943254,1473589,15430,16654,6020,0.061,0.138,0.027,2937767,0.108,0.08,60,760,93030,153000,6870,6660,-0.03057,한국첨단소재
2015,2025-02-04,046970,-0.038,-0.029,-0.089,-0.086,0,526,3619424,2152435,986072,3032,3949,1475,0.033,0.113,0.03,6126688,0.081,0.08,61,760,93100,153000,1645,1640,-0.00304,우리로
2014,2025-02-04,042000,-0.022,0.159,-0.024,0.137,244,0,4096008,1954497,2045689,41272,47033,46850,0.006,0.101,0.001,1276807,0.1,0.08,61,760,93100,153000,51800,54200,0.04633,카페24
2013,2025-02-03,452280,-0.027,-0.016,-0.04,-0.036,2,31,217458,121123,80642,958,819,7810,0.118,0.147,0.058,1575188,0.085,0.08,62,420,93130,123030,8980,8260,-0.08018,한선엔지니어링
2012,2025-02-03,042000,0.01,0.069,-0.01,0.059,174,28,832702,345412,470498,5998,6626,41200,-0.022,0.117,-0.024,1054379,0.144,0.08,60,760,93030,153000,46050,46850,0.01737,카페24
2011,2025-02-03,168490,0.0,0.016,-0.031,0.008,1,77,1170495,576926,534936,168,423,128,0.039,0.133,0.023,2163460,0.107,0.08,353,434,115700,123730,146,163,0.11644,한국패러랠
2010,2025-02-03,051630,0.033,0.299,0.033,0.293,674,0,4053200,1816110,2125798,8492,11714,4655,0.031,0.063,-0.034,1355141,0.101,0.08,86,760,94330,153000,4955,4910,-0.00908,진양화학
2009,2025-02-03,047400,0.015,0.015,-0.031,-0.031,0,692,272425,183319,68489,557,485,2205,0.1,0.156,0.052,3178812,0.099,0.08,91,760,94600,153000,2555,2510,-0.01761,유니온머티리얼
2008,2025-01-31,450520,-0.018,0.009,-0.038,-0.033,51,742,398979,238763,136422,999,857,3770,-0.005,0.152,-0.005,1446242,0.118,0.08,66,103,93330,95200,4350,4860,0.11724,인스웨이브시스템즈
2007,2025-01-31,299170,0.008,0.016,-0.007,-0.002,240,600,738245,5164,0,10,0,1810,0.001,0.054,-0.033,1151978,0.09,0.08,60,214,93030,104730,1910,1757,-0.0801,더블유에스아이
2006,2025-01-31,053030,0.012,0.022,-0.023,-0.017,23,716,919815,560057,320149,4214,17864,20100,0.057,0.08,-0.022,1196446,0.104,0.08,570,760,134530,153000,21700,21850,0.00691,바이넥스
2005,2025-01-31,091810,-0.015,0.045,-0.025,0.03,636,1,29923359,14545136,14387688,26472,32649,4110,0.004,0.095,-0.005,11487878,0.1,0.08,64,260,93230,111030,4500,4140,-0.08,티웨이항공
2004,2025-01-31,090080,0.169,0.176,-0.032,0.01,5,576,23504718,12409230,9643717,22878,25262,1276,-0.015,0.07,-0.021,3357527,0.093,0.08,74,760,93730,153000,1366,1277,-0.06515,평화산업
2003,2025-01-31,051630,-0.001,0.007,-0.03,-0.01,20,61,142431,87203,51246,347,211,3600,0.033,0.194,0.033,1077790,0.08,0.08,594,661,135730,143100,4300,4640,0.07907,진양화학
2002,2025-01-31,010100,-0.011,0.299,-0.029,0.299,301,63,9322071,4584984,4493844,19502,16475,4860,0.086,0.111,0.019,5668313,0.091,0.08,74,150,93730,101530,5410,5900,0.09057,한국무브넥스
2001,2025-01-24,331520,0.095,0.3,0.092,0.3,45,0,25087250,13267380,11436154,9804,11287,833,0.19,0.199,0.055,17629333,0.075,0.075,64,356,93230,115830,1000,925,-0.075,밸로프
2000,2025-01-24,083650,-0.007,0.012,-0.034,-0.002,619,127,2634370,1431246,1065560,13690,14365,20850,0.053,0.11,0.024,3132558,0.084,0.08,60,760,93030,153000,23200,23500,0.01293,비에이치아이
1999,2025-01-24,065500,-0.016,0.036,-0.049,-0.049,265,760,3437369,1819608,1455002,6185,7002,4180,0.086,0.13,0.03,3485804,0.098,0.08,145,423,101300,123200,4730,5190,0.09725,오리엔트정공
1998,2025-01-24,062970,-0.041,-0.004,-0.057,-0.051,79,480,5547777,3317871,1966207,16420,19803,6860,-0.034,-0.025,-0.108,2087023,0.093,0.08,136,760,100830,153000,6700,6400,-0.04478,한국첨단소재
1997,2025-01-24,011080,-0.004,0.05,-0.036,-0.031,268,40,2786077,1507471,1225377,2051,2656,975,0.046,0.072,-0.014,1095596,0.087,0.08,174,425,102730,123300,1046,1138,0.08795,형지I&C
1996,2025-01-24,006050,0.015,0.015,-0.069,-0.036,0,25,1107626,616157,425504,1259,1145,1709,0.027,0.111,0.013,2220719,0.097,0.08,81,760,94100,153000,1901,1870,-0.01631,국영지앤엠
1995,2025-01-24,002630,-0.014,0.02,-0.058,-0.053,265,748,7349085,4261647,2927351,5136,6178,1272,0.05,0.09,0.001,3484825,0.089,0.08,164,475,102230,125800,1387,1510,0.08868,오리엔트바이오
1994,2025-01-23,432720,0.005,0.012,-0.015,0.007,754,167,588068,322394,227859,3103,3603,12060,0.021,0.099,-0.009,1462657,0.109,0.08,69,319,93500,114000,13260,14700,0.1086,퀄리타스반도체
1993,2025-01-23,123010,0.151,0.3,0.07,0.3,743,424,14112571,6705246,7142049,14765,18804,1626,-0.028,0.058,-0.041,5013085,0.103,0.08,76,93,93830,94700,1722,1899,0.10279,아이윈플러스
1992,2025-01-23,080220,-0.009,0.033,-0.029,0.014,382,105,7018034,3705652,3019239,22516,23631,13070,0.01,0.139,0.0,10768666,0.132,0.08,62,703,93130,145200,14900,13710,-0.07987,제주반도체
1991,2025-01-23,069540,0.0,0.3,0.0,0.3,87,0,13310597,7619225,5254595,10302,15631,1219,0.086,0.086,-0.052,4425199,0.145,0.08,101,149,95100,101500,1325,1518,0.14566,빛과전자
1990,2025-01-23,025750,-0.03,-0.02,-0.085,-0.07,2,137,3501993,2254067,1118790,2725,3487,958,0.014,0.096,0.008,1402478,0.087,0.08,162,292,102130,112630,1051,1142,0.08658,한솔홈데코
1989,2025-01-23,014160,-0.012,0.064,-0.028,0.0,266,51,11682155,6117958,5271787,12202,14414,1730,0.03,0.121,0.01,10077027,0.109,0.08,360,446,120030,124330,1941,2150,0.10768,대영포장
1988,2025-01-22,474170,0.148,0.179,0.029,0.041,14,705,3005646,1710270,1126242,14093,12759,9850,0.031,0.107,0.024,1018221,0.08,0.08,61,221,93100,105100,10910,11790,0.08066,루미르
1987,2025-01-22,199820,0.011,0.042,0.0,0.023,50,2,1486420,716016,650228,6017,7594,13080,-0.0,0.088,-0.005,2198326,0.094,0.08,79,760,94000,153000,14240,13900,-0.02388,제일일렉트릭
1986,2025-01-22,119850,0.017,0.197,-0.006,0.056,202,424,8542018,4652374,3748371,32653,32177,10150,0.014,0.163,0.008,2338077,0.109,0.08,101,179,95100,103000,11810,13090,0.10838,지엔씨에너지
1985,2025-01-22,096350,0.0,0.288,0.0,0.18,464,0,42933662,20425624,21582086,20926,33606,373,-0.008,0.134,-0.011,9425028,0.137,0.08,81,711,94100,145600,423,389,-0.08038,대창솔루션
1984,2025-01-22,083650,0.007,0.067,-0.01,0.05,198,2,2684290,1304900,1300536,13106,14481,18440,0.027,0.163,0.02,5711892,0.106,0.08,76,760,93830,153000,21500,20900,-0.02791,비에이치아이
1983,2025-01-22,036000,0.245,0.299,0.099,0.169,5,74,13818127,8002821,5311744,24884,26344,2600,-0.021,0.037,-0.058,1645915,0.1,0.08,65,402,93300,122130,2700,2970,0.1,예림당
1982,2025-01-22,004870,0.264,0.299,0.169,0.299,4,46,63314743,36847317,25566032,27538,28096,1017,0.008,0.169,-0.031,28689524,0.102,0.08,64,403,93230,122200,1190,1312,0.10252,티웨이홀딩스
1981,2025-01-21,091810,0.015,0.049,0.013,0.032,45,9,2918545,1413606,1415746,2505,2673,3065,0.139,0.175,0.06,12567261,0.098,0.08,159,760,102000,153000,3600,3360,-0.06667,티웨이항공
1980,2025-01-21,005010,0.01,0.089,0.01,0.06,74,0,3819568,1586160,2177065,6246,7794,4650,0.043,0.056,-0.024,1172027,0.081,0.08,627,760,141400,153000,4910,4830,-0.01629,휴스틸
1979,2025-01-21,002630,0.035,0.124,-0.002,-0.001,4,130,13249029,7443583,5465995,10501,10339,1329,0.033,0.033,-0.047,2019164,0.085,0.08,665,760,143300,153000,1374,1387,0.00946,오리엔트바이오
1978,2025-01-20,376930,-0.013,-0.009,-0.039,-0.024,0,26,964181,597746,329694,1265,1578,3100,0.005,0.139,0.005,3150567,0.133,0.08,85,760,94300,153000,3530,3490,-0.01133,노을
1977,2025-01-20,062970,0.024,0.114,-0.055,-0.01,19,446,24956671,13929420,10609001,52146,62898,7020,-0.046,0.024,-0.1,4107696,0.138,0.08,60,760,93030,153000,7200,7140,-0.00833,한국첨단소재
1976,2025-01-20,092790,-0.007,0.091,-0.015,0.09,752,2,1340232,504116,794027,3027,6236,8830,0.025,0.151,0.025,1870429,0.12,0.08,67,372,93400,120630,10170,9360,-0.07965,넥스틸
1975,2025-01-17,417200,0.007,0.026,0.007,0.016,123,0,180469,73311,100789,912,1245,12370,0.011,0.17,0.007,1096046,0.102,0.08,84,113,94230,95700,14480,15960,0.10221,LS머트리얼즈
1974,2025-01-17,106240,0.009,0.096,-0.077,-0.042,42,8,11244605,6138856,4669213,19621,19533,1783,0.002,0.102,0.001,1907089,0.1,0.08,251,487,110600,130400,1966,2160,0.09868,파인테크닉스
1973,2025-01-16,430690,0.014,0.049,-0.027,-0.012,152,101,444846,262006,166733,1564,1747,5090,0.029,0.132,0.016,1658913,0.114,0.08,83,673,94200,143700,5770,6430,0.11438,한싹
1972,2025-01-16,366030,-0.004,0.3,-0.028,0.3,688,418,8483892,4477349,3846905,20070,20563,4880,0.017,0.119,0.004,5057101,0.114,0.08,62,266,93130,111330,5470,5030,-0.08044,공구우먼
1971,2025-01-16,219550,0.021,0.021,-0.106,-0.063,0,152,3019155,1747443,1181566,1285,1229,576,0.002,0.148,0.002,1026201,0.122,0.08,60,760,93030,153000,662,630,-0.04834,디와이디
1970,2025-01-16,199480,0.01,0.271,-0.037,0.222,748,695,3455125,1448880,1542893,8652,9644,7040,-0.064,0.016,-0.075,1627642,0.098,0.08,130,760,100530,153000,7160,6760,-0.05587,뱅크웨어글로벌
1969,2025-01-16,113810,0.02,0.095,-0.2,-0.196,1,759,5109794,3137163,1736998,5204,4731,1463,-0.005,0.049,-0.04,1035156,0.093,0.08,140,420,101030,123030,1537,1414,-0.08003,디젠스
1968,2025-01-16,038880,0.009,0.205,0.0,0.051,41,1,23239266,12635568,10187146,11105,17612,246,-0.004,0.069,-0.024,2844883,0.096,0.08,76,760,93830,153000,263,258,-0.01901,아이에이
1967,2025-01-16,450140,0.007,0.298,-0.031,0.298,738,681,5277258,2460784,2284172,5387,5131,2960,-0.024,0.193,-0.051,10022222,0.082,0.08,129,686,100500,144330,3530,3250,-0.07932,코오롱모빌리티그룹
1966,2025-01-16,012170,-0.083,-0.025,-0.155,-0.025,742,122,17568272,7802173,8612771,4567,14421,271,0.007,0.059,-0.037,1909866,0.1,0.08,68,76,93430,93830,287,316,0.10105,아센디오
1965,2025-01-15,293580,-0.011,0.036,-0.04,0.031,758,58,1467238,704639,676684,1065,1857,1285,0.035,0.054,-0.028,1040530,0.085,0.08,211,665,104600,143300,1356,1247,-0.08038,나우IB
1964,2025-01-15,123010,-0.07,0.019,-0.104,-0.039,520,118,3459819,1711472,1611509,2374,3810,1046,0.08,0.12,0.032,2751090,0.085,0.08,414,630,122730,141530,1173,1273,0.08525,아이윈플러스
1963,2025-01-15,086960,-0.005,0.003,-0.025,-0.025,300,760,2274684,11813,3309,7,14,1342,0.013,0.124,0.011,14124868,0.111,0.08,101,760,95100,153000,1510,1430,-0.05298,MDS테크
1962,2025-01-15,067310,0.009,0.022,-0.017,0.007,0,224,531645,301194,203811,2333,2269,10630,0.014,0.096,0.012,1286670,0.083,0.08,218,760,104930,153000,11660,11460,-0.01715,하나마이크론
1961,2025-01-15,065500,-0.018,-0.0,-0.074,-0.026,4,137,3646397,2146564,1321783,5658,7906,6430,0.053,0.076,-0.05,2879738,0.133,0.08,210,230,104530,105530,6930,6370,-0.08081,오리엔트정공
1960,2025-01-15,062970,-0.294,-0.193,-0.3,-0.3,43,210,23135163,10638034,9000279,26521,37415,4460,0.074,0.2,0.054,13374189,0.073,0.073,391,622,121600,141130,5360,5750,0.07276,한국첨단소재
1959,2025-01-15,056360,-0.05,-0.02,-0.061,-0.043,7,34,506927,258557,180663,1547,1608,5800,0.06,0.159,0.04,1398692,0.112,0.08,110,760,95530,153000,6730,6650,-0.01189,코위버
1958,2025-01-15,052220,0.001,0.268,-0.009,0.251,730,153,25605205,13055040,11592510,49125,54440,4280,-0.025,0.109,-0.026,8078945,0.138,0.08,201,399,104100,122000,4750,4370,-0.08,iMBC
1957,2025-01-15,007720,-0.013,0.007,-0.059,-0.041,5,658,1686251,1051957,615384,1501,660,1041,0.036,0.139,0.03,3399959,0.106,0.08,202,760,104130,153000,1187,1132,-0.04634,대명소노시즌
1956,2025-01-15,014160,0.007,0.108,-0.001,0.022,83,230,17309381,9270769,7439368,14545,14183,1360,-0.014,0.081,-0.026,4110870,0.11,0.08,65,760,93300,153000,1471,1432,-0.02651,대영포장
1955,2025-01-15,012170,-0.235,-0.205,-0.298,-0.298,6,50,8364911,4738435,3017380,1771,3683,278,-0.083,-0.065,-0.151,6165059,0.102,0.08,216,760,104830,153000,260,271,0.04231,아센디오
1954,2025-01-15,010140,0.005,0.038,0.005,0.013,95,0,8199543,3646481,4250582,15382,21040,11850,0.006,0.094,0.001,9889411,0.094,0.08,228,760,105430,153000,12980,13000,0.00154,삼성중공업
1953,2025-01-14,460930,0.012,0.012,-0.047,-0.047,0,760,2785962,1671396,851893,14243,12338,16960,-0.001,0.115,-0.006,4326347,0.122,0.08,60,760,93030,153000,18930,18490,-0.02324,현대힘스
1952,2025-01-14,363260,-0.016,-0.004,-0.049,-0.048,22,684,1381868,976185,321602,2106,1437,1810,0.003,0.08,-0.006,1651516,0.086,0.08,90,116,94530,95830,1957,2130,0.0884,모비데이즈
1951,2025-01-14,208710,-0.0,-0.0,-0.125,-0.1,0,693,5320269,3081506,1937437,2714,3001,640,-0.058,0.036,-0.059,1579639,0.101,0.08,61,143,93100,101200,664,611,-0.07982,바이오로그디바이스
1950,2025-01-14,187660,-0.022,0.14,-0.024,0.0,196,0,21739630,11553235,9312117,45153,54024,2960,0.054,0.118,0.024,3821968,0.092,0.08,181,475,103100,125800,3310,3040,-0.08157,현대ADM
1949,2025-01-14,017510,0.077,0.3,0.029,0.3,381,48,10728576,5205187,5085522,28406,32264,6760,0.035,0.04,-0.038,2808556,0.082,0.08,126,533,100330,132700,7040,6480,-0.07955,세명전기
1948,2025-01-14,152550,0.026,0.026,-0.003,-0.0,0,578,737315,493048,225260,384,293,312,0.016,0.106,0.006,2565640,0.099,0.08,66,760,93330,153000,345,321,-0.06957,한국ANKOR유전
1947,2025-01-13,457550,0.117,0.171,0.056,0.099,104,44,1579290,838464,676842,10591,10827,16700,0.026,0.18,0.024,1310566,0.092,0.08,116,760,95830,153000,19720,19600,-0.00609,우진엔텍
1946,2025-01-13,199820,0.021,0.287,-0.009,0.269,740,78,14491912,6707872,7061486,52450,58040,11500,0.112,0.19,0.086,8223829,0.083,0.08,60,760,93030,153000,13700,12910,-0.05766,제일일렉트릭
1945,2025-01-13,038530,0.065,0.115,-0.08,-0.071,1,161,23565402,13696859,9183812,6917,10571,300,0.017,0.117,0.007,5723237,0.109,0.08,239,760,110000,153000,335,331,-0.01194,케이바이오
1944,2025-01-13,079900,0.007,0.233,-0.023,0.217,756,83,6723689,3068388,3402296,60155,68483,42600,-0.0,0.077,-0.005,2315917,0.083,0.08,81,760,94100,153000,45900,44050,-0.04031,전진건설로봇
1943,2025-01-13,014160,0.0,0.132,-0.028,0.035,383,71,17831210,9930199,7389451,14681,15662,1178,0.04,0.119,0.019,5504872,0.098,0.08,76,119,93830,100000,1319,1449,0.09856,대영포장
1942,2025-01-10,460930,0.012,0.012,-0.025,0.0,0,81,328253,193971,112517,2153,1480,14520,0.003,0.189,-0.007,4929105,0.084,0.08,64,760,93230,153000,17280,17800,0.03009,현대힘스
1941,2025-01-10,437730,-0.001,0.109,-0.03,0.06,448,92,6065417,3093782,2829820,22078,24788,9430,-0.0,0.106,-0.007,2937376,0.114,0.08,73,760,93700,153000,10440,10410,-0.00287,삼현
