,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2068,2025-02-14,464500,-0.0,0.024,-0.01,0.001,24,76,424435,230780,104928,1110,1981,3995,0.056,0.131,0.039,1959733,0.089,0.08,111,173,95600,102700,4525,4930,0.0895,아이언디바이스
2067,2025-02-14,452450,0.0,0.087,-0.05,0.0,147,50,14068865,7596617,6041716,38955,41807,8140,0.015,0.13,0.013,8317261,0.115,0.08,547,760,133400,153000,9220,9400,0.01952,피아이이
2066,2025-02-14,295310,-0.002,0.025,-0.021,0.004,80,198,872154,406921,385260,5810,5425,26350,0.03,0.133,0.023,1175055,0.108,0.08,60,105,93030,95300,29900,33150,0.1087,에이치브이엠
2065,2025-02-14,119830,0.0,0.013,-0.022,0.0,28,2,87504,39670,46880,110,213,5370,0.007,0.143,0.002,1119342,0.125,0.08,89,444,94500,124230,6160,5670,-0.07955,아이텍
2064,2025-02-14,090710,-0.025,0.018,-0.057,-0.036,213,45,16491526,9292658,6531273,16449,17535,2125,0.012,0.158,-0.0,14407197,0.112,0.08,64,167,93230,102400,2465,2265,-0.08114,휴림로봇
2063,2025-02-14,083650,0.002,0.021,-0.02,0.016,18,69,1772301,871894,812667,7694,10847,22300,-0.013,0.101,-0.031,2273207,0.137,0.08,60,166,93030,102330,24600,22600,-0.0813,비에이치아이
2062,2025-02-14,032820,0.0,0.01,-0.008,-0.001,1,85,2020651,1149747,780096,1593,2104,1988,-0.001,0.076,-0.009,3250011,0.086,0.08,64,760,93230,153000,2145,2085,-0.02797,우리기술
2061,2025-02-14,034020,0.01,0.016,-0.008,0.012,5,96,6837464,3214822,2768593,19785,18756,24550,0.0,0.1,-0.004,9455451,0.104,0.08,62,760,93130,153000,27050,27600,0.02033,두산에너빌리티
2060,2025-02-14,007460,0.0,0.047,-0.012,0.025,723,188,2077259,1080041,950179,1078,1692,748,0.0,0.087,-0.005,2473204,0.093,0.08,61,760,93100,153000,815,785,-0.03681,에이프로젠
2059,2025-02-14,003060,0.0,0.133,-0.019,0.09,716,279,1826920,793965,943014,1905,2403,730,0.001,0.181,0.001,2420628,0.09,0.08,60,331,93030,114600,864,795,-0.07986,에이프로젠바이오로직
2058,2025-02-13,113810,-0.0,0.132,-0.019,0.002,87,1,8488333,4553496,3602864,12311,14117,2090,-0.022,0.089,-0.033,1340111,0.126,0.08,93,760,94700,153000,2280,2185,-0.04167,디젠스
2057,2025-02-13,272210,0.016,0.298,0.014,0.296,676,0,47170602,20400709,26213322,161415,235159,32800,0.009,0.11,-0.011,12101327,0.122,0.08,65,760,93300,153000,36450,34900,-0.04252,한화시스템
2056,2025-02-13,042670,0.012,0.017,-0.009,0.011,32,200,1578245,880148,605241,6683,4622,8120,0.048,0.149,0.042,10487103,0.103,0.08,108,760,95430,153000,9350,9270,-0.00856,HD현대인프라코어
2055,2025-02-12,474610,0.018,0.207,-0.011,0.171,639,57,17901563,9025725,8262251,44406,51045,5450,0.046,0.163,0.04,6368379,0.105,0.08,93,432,94700,123630,6360,5850,-0.08019,RF시스템즈
2054,2025-02-12,450950,-0.023,0.046,-0.037,-0.003,748,1,4371281,2143067,1865166,13497,15068,8620,0.012,0.133,-0.019,3619733,0.136,0.08,231,760,105600,153000,9790,9430,-0.03677,아스테라시스
2053,2025-02-12,340930,0.149,0.3,0.057,0.3,33,4,7808280,3883806,3237520,14916,18814,1956,0.0,0.017,-0.079,1073565,0.104,0.08,134,141,100730,101100,1993,2205,0.10637,유일에너테크
2052,2025-02-12,288330,0.025,0.093,0.006,0.044,222,13,1756672,817310,917772,2535,3425,4500,0.036,0.111,0.009,1333941,0.101,0.08,79,580,94000,135030,5010,5530,0.10379,브릿지바이오테라퓨틱
2051,2025-02-12,113810,0.0,0.299,-0.028,0.234,634,41,12434220,6016471,6071540,10770,13309,2085,-0.0,0.079,-0.019,2282839,0.1,0.08,81,760,94100,153000,2255,2090,-0.07317,디젠스
2050,2025-02-11,482630,0.017,0.299,0.015,0.299,742,0,7717852,3802306,3829246,49396,55473,22150,0.02,0.088,-0.016,2447426,0.106,0.08,292,445,112630,124300,24150,26750,0.10766,삼양엔씨켐
2049,2025-02-11,452190,-0.006,0.25,-0.028,0.177,594,8,28829661,13735096,13703139,59707,71571,5760,0.033,0.191,0.016,12719735,0.08,0.08,64,760,93230,153000,6880,6700,-0.02616,한빛레이저
2048,2025-02-11,331520,0.026,0.182,0.022,0.08,48,0,10767676,5640740,4714003,13617,15184,801,-0.008,0.141,-0.012,4434614,0.128,0.08,66,760,93330,153000,916,931,0.01638,밸로프
2047,2025-02-11,172670,0.099,0.289,0.07,0.163,665,2,5163763,2647232,2318642,28403,30967,11980,0.036,0.162,0.007,1118278,0.109,0.08,72,243,93630,110200,13940,15470,0.10976,에이엘티
2046,2025-02-11,090710,0.032,0.298,0.019,0.275,471,0,99148063,48900254,47578345,76191,95393,2515,-0.056,0.089,-0.064,25715146,0.163,0.08,208,723,104430,150200,2745,2525,-0.08015,휴림로봇
2045,2025-02-10,475580,-0.005,0.043,-0.03,0.019,559,20,1666325,846595,764146,8048,8643,13450,0.007,0.067,-0.029,1001907,0.099,0.08,80,760,94030,153000,14370,13850,-0.03619,에이럭스
2044,2025-02-10,466100,0.019,0.214,0.015,0.16,80,0,29783127,15083916,14044337,143903,154748,19100,0.006,0.086,0.004,5183891,0.082,0.08,186,760,103330,153000,20800,19640,-0.05577,클로봇
2043,2025-02-10,450950,-0.004,0.132,-0.005,0.02,269,1,6127658,2987560,2511611,21694,25670,7650,0.05,0.149,0.044,3461551,0.1,0.08,65,760,93300,153000,8810,8650,-0.01816,아스테라시스
2042,2025-02-10,215100,0.006,0.057,-0.008,0.013,164,3,811386,416994,356091,2235,2360,4360,0.011,0.134,0.005,2394088,0.129,0.08,253,760,110700,153000,4950,4695,-0.05152,로보로보
2041,2025-02-10,140670,0.002,0.123,-0.003,0.07,215,4,2523525,1233663,1178412,15099,17924,17190,0.031,0.124,0.026,1603169,0.096,0.08,443,463,124200,125200,19350,21250,0.09819,알에스오토메이션
2040,2025-02-10,128660,0.0,0.002,-0.008,-0.005,32,562,30327,24250,4649,116,75,2980,0.04,0.166,0.04,2471543,0.105,0.08,126,650,100330,142530,3480,3200,-0.08046,피제이메탈
2039,2025-02-10,090710,0.0,0.243,-0.002,0.172,172,0,63541605,31417757,30745470,54043,64256,1972,0.032,0.187,0.019,24277726,0.085,0.08,273,470,111700,125530,2345,2545,0.08529,휴림로봇
2038,2025-02-10,092200,-0.0,0.267,-0.011,0.131,718,2,7088673,3315382,3382311,15522,15962,4520,-0.011,0.162,-0.031,3689285,0.106,0.08,145,760,101300,153000,5270,5280,0.0019,디아이씨
2037,2025-02-10,012170,0.0,0.017,-0.046,-0.042,2,747,988756,647410,297298,592,393,230,-0.013,-0.013,-0.109,1142542,0.107,0.08,296,760,112830,153000,228,230,0.00877,아센디오
2036,2025-02-07,466100,0.06,0.165,0.021,0.13,639,4,38970041,20138466,17789251,178649,187187,16470,0.019,0.18,0.015,8498365,0.092,0.08,66,760,93330,153000,19460,19100,-0.0185,클로봇
2035,2025-02-07,437730,-0.012,-0.005,-0.061,-0.043,2,213,3520550,2121037,1254064,13255,12926,12500,0.001,0.096,-0.008,2634368,0.105,0.08,60,760,93030,153000,13720,13170,-0.04009,삼현
2034,2025-02-07,220260,0.0,0.018,-0.009,0.018,760,163,75887,33385,35620,323,386,4500,0.044,0.184,0.042,1536687,0.085,0.08,80,557,94030,133900,5350,4920,-0.08037,켐트로스
2033,2025-02-07,112290,0.046,0.298,-0.011,0.298,732,38,2401843,931004,1372847,14022,15611,25000,0.1,0.132,0.04,2376228,0.088,0.08,106,760,95330,153000,28350,27200,-0.04056,와이씨켐
