,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
10441,20250610,358570,140512,140504,143725,19800,18000,20200,19690,12,57,19990,11.180,20200,19950,12,6,147.440,2042757,821712,1211553,11437,14762,389,1.240,11.180,10.590,26812,12402,19280,13470,19280,11740,12,0.041,-0.011,0.039,758,707,지아이이노베이션,0.039
10440,20250610,481070,135408,135402,142616,21200,19270,22750,20950,6,57,21900,12.600,22750,21800,6,2,100.230,344766,170721,171113,2907,3046,574,0.920,26.850,13.100,196291,100048,22600,12040,22600,12040,0,0.021,-0.041,0.016,697,660,에이유브랜즈,0.016
10439,20250610,123040,133901,133859,141106,2995,2720,3055,2845,60,41,2895,23.190,2960,2865,19,5,97.130,9143621,4464748,4336771,14204,16669,227,0.510,23.400,12.370,26132,14411,2400,2105,2945,2080,4,0.007,-0.080,-0.045,670,724,엠에스오토텍,-0.048
10438,20250610,900270,133254,133248,140500,253,230,254,240,59,1,241,4.780,243,240,19,1,112.040,23790125,11079717,12413227,3822,6187,228,6.230,29.910,23.400,3915,9862,250,220,252,204,3,0.002,-0.027,-0.019,610,738,헝셩그룹,-0.019
10437,20250610,115450,132910,132905,140120,8380,7610,8380,8220,58,42,8330,9.460,8340,8290,10,19,191.810,718340,245337,470579,2440,4057,464,1.790,9.460,6.860,3621,56943,8470,7140,9250,6910,0,-0.001,-0.019,-0.015,611,732,HLB테라퓨틱스,-0.015
10436,20250610,017370,132827,132826,140039,7700,7000,8840,7230,57,3,7400,6.470,7420,7230,2,3,72.530,1260596,682079,494746,4976,4827,227,0.400,25.320,7.810,24783,3917,7430,6210,7430,5390,0,0.075,-0.022,0.028,604,642,우신시스템,0.028
10435,20250610,123040,132038,132038,135242,2615,2375,3055,2610,23,60,2885,22.770,2985,2845,16,4,100.370,7903006,3773388,3787516,11394,13195,227,0.380,22.980,8.450,22510,3849,2400,2105,2945,2080,4,0.026,-0.077,-0.042,597,724,엠에스오토텍,-0.048
10434,20250610,087010,131731,131728,134939,180200,163800,205000,184000,28,49,194400,20.970,199500,192900,19,6,122.910,2037157,910558,1119156,44842,55903,540,1.870,20.910,6.180,205713,17443,232500,157300,232500,87200,7,0.005,-0.047,-0.012,580,665,펩트론,-0.012
10433,20250610,034120,131257,131256,134503,29150,26500,29350,28550,32,16,29150,9.790,29250,28550,2,16,305.650,615621,151350,462608,2642,6505,127,3.100,13.790,11.940,31963,7759,27000,18420,27000,17250,2,0.008,-0.005,-0.000,715,570,SBS,-0.000
10432,20250610,065370,125437,125434,132647,10830,9840,11200,10240,55,9,10400,18.450,10430,10240,7,9,86.420,3541381,1849702,1598464,19692,19256,480,1.660,29.890,18.910,34560,36408,11300,7380,14300,6380,3,0.010,-0.060,-0.049,580,741,위세아이텍,-0.048
