,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
17216,20250704,199480,142949,142946,145204,6910,6280,7100,6160,39,1,6190,8.600,6750,6160,20,1,91.380,2660266,1367067,1249255,9887,11066,582,0.710,17.650,10.400,97663,110761,7850,4125,7850,4010,2,0.014,-0.017,-0.005,705,757,뱅크웨어글로벌,-0.005
17215,20250704,199480,141519,141518,143728,6290,5710,7100,6220,9,40,6680,17.190,7100,6430,9,18,100.990,2114839,1030342,1040553,7582,9070,582,1.520,17.240,17.190,95791,13749,7850,4125,7850,4010,2,0.014,-0.089,-0.078,676,757,뱅크웨어글로벌,-0.048
17214,20250704,284620,140823,140819,143028,1168,1061,1200,1096,39,32,1129,6.410,1150,1100,20,12,80.450,147713,74050,59571,349,430,436,-1.480,6.410,5.210,167,32370,1235,997,1460,997,1,0.132,-0.002,0.022,672,660,카이노스메드,0.120
17213,20250704,064260,140732,140730,142941,8720,7920,8790,8520,31,18,8580,24.350,8640,8520,13,18,108.280,88055457,42191098,45686332,195563,230329,272,1.520,24.200,2.980,361398,914,7350,3270,7350,2475,4,0.015,-0.025,-0.015,686,755,다날,-0.015
17212,20250704,037560,140040,140036,142243,3115,2830,3110,2875,36,5,2910,3.370,2937,2875,20,5,83.990,3413222,1793179,1506130,5008,5136,514,-1.380,3.690,3.370,615,10204,2925,2445,2925,2125,1,0.208,-0.016,0.137,730,653,LG헬로비전,0.120
17211,20250704,462860,135558,135556,141808,4785,4350,5030,4765,6,25,4915,13.640,5030,4790,6,17,107.740,18563103,8863083,9549425,39279,46703,582,1.890,18.860,13.530,89924,87458,5280,2460,5280,2313,0,0.005,-0.056,-0.049,637,748,더즌,-0.048
17210,20250704,033540,134600,134559,140815,1458,1325,1475,1331,36,4,1345,1.740,1403,1331,20,4,83.390,2755757,1473247,1228533,3862,4464,517,-1.670,2.840,1.740,1195,3880,1438,1270,1520,1270,1,0.011,-0.019,-0.004,731,652,파라텍,-0.004
17209,20250704,060230,133527,133526,135742,587,533,582,546,40,25,550,13.640,565,547,17,7,107.620,7763195,3670201,3949976,3919,4769,348,0.180,23.620,13.020,315873,4182,489,421,676,421,3,0.009,-0.046,-0.015,604,703,소니드,-0.015
17208,20250704,060230,132746,132745,134954,533,484,586,521,25,37,560,15.700,571,546,20,9,109.890,7411008,3462807,3805183,3648,4544,348,0.180,21.740,15.700,299444,3982,489,421,676,421,3,0.003,-0.063,-0.032,580,703,소니드,-0.048
17207,20250704,122350,132006,132006,134209,1405,1277,1429,1355,39,4,1360,16.740,1410,1355,12,4,89.080,9154567,4767980,4247534,12637,15292,386,-1.290,16.740,2.020,12213,3175,1165,1125,1165,1021,0,0.047,-0.065,-0.048,611,758,삼기,-0.048
