,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3013,20250627,069920,135518,135515,144732,1627,1479,1627,1480,100,77,1554,5.070,1570,1525,13,16,91.300,534557,276389,252334,1338,2015,136,-0.250,5.070,3.390,806,7314,2480,1479,3145,1090,0,-0.002,-0.014,-0.011,695,734,엑시온그룹,-0.011
3012,20250627,064260,135202,135201,144413,6470,5880,6830,6060,95,33,6160,9.800,6300,6150,14,0,96.500,39417716,20008512,19308841,79054,90682,474,0.020,14.670,9.800,118085,125373,7020,3100,7020,2475,3,0.024,-0.008,0.004,753,721,다날,0.004
3011,20250627,229000,134148,134147,143400,2195,1995,2355,2195,0,70,2355,29.820,2355,2355,0,0,109.170,3322457,1565038,1708587,7948,10296,546,1.300,29.820,1.220,7162,227,1869,1625,1869,1520,0,-0.002,-0.002,-0.002,668,668,젠큐릭스,-0.002
3010,20250627,418620,133858,133853,143111,4430,4025,4950,4310,77,94,4565,12.440,4740,4535,16,2,92.760,3141424,1605554,1489376,11514,12753,352,-1.170,12.810,4.380,14494,1522,5140,3005,5140,2410,0,0.098,-0.027,0.001,681,735,E8,0.001
3009,20250627,066910,133135,133132,142340,1122,1020,1118,1050,100,0,1050,3.140,1058,1050,18,0,108.480,1592767,755232,819307,1766,2262,45,3.600,29.750,3.140,50576,1706,1149,707,1149,464,6,0.017,-0.008,0.011,743,671,손오공,0.011
3008,20250627,201490,132827,132826,142040,5760,5230,5790,5440,100,32,5600,0.180,5750,5550,3,7,76.830,9246582,5044507,3875808,17561,17954,582,0.090,8.030,5.420,31818,30092,-1,-1,-1,-1,0,0.009,-0.033,0.009,760,738,미투온,0.009
3007,20250627,123420,131245,131239,140453,11330,10300,12180,10480,68,1,10520,2.140,11060,10480,16,1,81.350,4862976,2635212,2143823,24492,24611,265,-0.570,8.030,3.230,343,337,11610,6590,11610,6100,1,0.043,-0.020,-0.007,625,651,위메이드플레이,-0.007
3006,20250627,239340,130722,130722,135933,2555,2320,2545,2350,37,72,2485,7.110,2495,2455,2,7,108.680,1017147,478925,520480,1638,1959,99,-0.820,21.940,7.110,281318,2474,2755,2130,2960,1282,0,0.127,-0.032,-0.032,640,709,이스트에이드,0.120
3005,20250627,204020,130457,130456,135703,4300,3905,4490,4160,58,8,4195,7.560,4285,4160,20,8,99.890,1728984,856578,855656,3780,4777,421,-0.250,7.820,2.830,7368,8992,4495,2545,4495,2545,1,0.033,-0.015,0.011,701,604,그리티,0.011
3004,20250627,102940,130051,130049,135256,35700,32450,35700,35000,99,22,35350,8.940,35400,35025,2,18,176.120,116991,41939,73861,1282,1630,172,-0.950,12.380,8.940,16851,4059,34600,24250,34600,24250,0,-0.002,-0.032,-0.026,585,650,코오롱생명과학,-0.026
3003,20250627,090710,125408,125405,134619,3165,2875,3230,3080,90,14,3105,22.730,3145,3080,2,14,108.780,92571720,44125580,47997899,89502,119046,326,0.870,22.730,6.790,274127,1256,2650,1985,2650,1675,3,0.045,-0.020,0.006,717,611,휴림로봇,0.006
3002,20250627,192410,125324,125324,134530,1815,1650,1890,1773,99,27,1801,7.070,1808,1782,3,11,65.140,1862108,1107540,721496,4004,4012,505,0.740,24.110,7.370,273644,3291,1682,1069,1682,645,0,0.030,-0.008,0.006,607,573,오늘이엔엠,0.006
3001,20250627,236810,125031,125030,134238,4650,4225,4860,4305,79,41,4310,2.010,4450,4310,15,0,85.120,25149598,13308022,11328246,56602,59491,474,0.640,14.460,11.940,113245,53869,4225,2800,4225,2765,0,-0.010,-0.084,-0.065,579,632,엔비티,-0.048
3000,20250627,040350,124838,124835,134042,599,544,603,572,98,72,586,7.330,586,579,0,20,155.390,1179027,455054,707094,1242,1386,294,-0.840,7.330,5.780,683,78533,651,525,651,486,0,0.066,-0.002,0.054,628,561,크레오에스지,0.054
2999,20250627,044380,123353,123352,132604,393,357,415,369,100,13,374,3.030,376,369,19,13,72.200,2473415,1404968,1014430,3061,3347,480,-1.070,14.230,4.960,77728,23113,380,323,380,308,0,0.009,-0.026,-0.021,534,565,주연테크,-0.021
2998,20250627,236810,122550,122547,131804,4195,3810,4860,4170,30,83,4375,3.550,4715,4340,20,1,85.510,23484441,12382502,10588609,53171,55683,474,0.310,16.740,5.700,110964,26093,4225,2800,4225,2765,0,0.019,-0.098,-0.079,536,632,엔비티,-0.048
2997,20250627,215100,113936,113934,123139,5720,5200,5990,5620,63,40,5720,10.850,5740,5650,19,5,100.830,10606326,5208058,5251292,25502,29611,375,0.320,20.360,10.660,196006,60105,5630,4460,5630,3195,6,0.061,-0.056,-0.037,477,611,로보로보,-0.048
2996,20250627,059120,113627,113625,122835,7570,6880,7770,7090,100,1,7100,3.350,7220,7090,19,1,79.360,791505,424573,336954,4559,4818,505,1.160,20.160,9.900,194493,1118,7590,6670,7590,5880,0,0.021,-0.019,-0.019,446,588,아진엑스텍,-0.019
2995,20250627,046390,112337,112331,121551,1400,1272,1500,1301,99,20,1345,5.740,1364,1301,1,20,68.510,6300418,3595407,2463214,7827,7483,128,0.440,13.110,5.740,65329,8880,1306,1185,1306,1124,0,0.016,-0.057,-0.053,408,657,삼화네트웍스,-0.048
2994,20250627,291650,111535,111534,120742,1363,1239,1418,1294,31,63,1374,23.230,1396,1363,8,15,94.560,8764632,4443309,4201735,12397,16866,389,1.320,29.780,23.410,6678,11514,1406,1075,1406,823,0,0.021,-0.124,-0.114,378,693,압타머사이언스,-0.048
2993,20250627,271830,111151,111144,120400,1734,1576,1780,1605,100,64,1623,2.980,1626,1613,7,16,67.810,617623,342086,231979,1478,1543,392,0.680,18.580,7.700,175934,37369,1737,1576,1820,1407,1,0.141,-0.015,-0.001,616,600,팸텍,0.120
2992,20250627,010130,104833,104833,114044,878000,798000,916000,861000,100,66,873000,10.090,879000,867000,4,11,121.350,82233,36891,44768,6086,7880,171,0.480,10.210,6.950,45792,16222,839000,730000,858000,653000,4,0.003,-0.050,-0.035,331,597,고려아연,-0.048
2991,20250627,090710,104821,104820,114029,2880,2615,3120,2820,9,68,3060,20.950,3120,2985,9,20,116.920,53748304,24628325,28795253,50300,70327,326,1.680,20.950,5.500,153634,1016,2650,1985,2650,1675,3,0.060,-0.028,0.021,717,377,휴림로봇,0.021
2990,20250627,098660,104635,104635,113843,2445,2220,2445,2300,100,100,2360,6.070,2360,2330,0,5,494.150,55100,8407,41543,155,257,32,0.300,18.540,17.020,24333,22195,2335,2145,2335,2090,0,0.087,-0.034,0.015,424,610,에스티오,0.015
2989,20250627,000670,104608,104605,113817,46400,42100,52000,44800,99,3,45050,8.030,45750,44800,16,3,80.370,550094,302011,242713,9231,8894,171,0.510,10.470,8.030,45405,15866,-1,-1,-1,-1,5,-0.002,-0.059,-0.043,316,725,영풍,-0.048
2988,20250627,376300,104550,104548,113802,59900,54400,63200,58700,79,90,61000,14.230,61800,60300,14,8,125.480,1499667,662501,831278,15151,18605,128,0.620,14.420,9.670,59351,6331,57800,46450,57800,35650,7,0.023,-0.017,0.018,714,380,디어유,0.018
2987,20250627,083660,104135,104133,113343,2020,1835,2145,2010,8,71,2135,16.350,2145,2065,8,19,206.470,970184,313401,647071,767,1393,184,0.540,16.350,7.090,1962,2394,1896,815,1896,660,0,0.082,-0.039,0.082,759,391,CSA 코스믹,0.082
2986,20250627,009070,103839,103835,113046,5770,5240,5960,5560,57,80,5700,17.770,5770,5660,20,2,99.900,16690227,8256598,8248717,37972,43946,141,1.560,17.770,5.580,92421,47386,5050,3855,5050,3505,2,0.023,-0.056,-0.028,499,714,KCTC,-0.048
2985,20250627,039830,103536,103530,112747,12350,11220,13190,12160,0,99,13190,29.950,13190,13190,0,0,114.990,2406403,1040471,1196389,8634,10758,45,4.010,29.950,3.280,28858,5412,10150,6070,10150,5630,1,-0.002,-0.057,-0.002,295,460,오로라,-0.003
2984,20250627,388720,103515,103514,112729,86600,78700,87600,83600,98,46,84400,8.340,84900,83700,20,11,144.280,728063,297386,429064,11177,13639,505,1.470,17.000,9.180,122201,114265,82400,70500,92600,57400,3,0.011,-0.048,-0.025,306,642,유일로보틱스,-0.048
2983,20250627,250930,102832,102831,112051,579,526,597,538,95,11,539,2.470,545,538,20,11,81.290,735968,398425,323877,742,888,9,-0.450,10.540,7.060,9929,2305,561,470,561,416,0,0.017,-0.008,-0.000,381,305,예선테크,-0.000
