,date,shcode,dO,tBid,pBid,dOpen,dHigh,dLow,dClose,iHigh,iLow,mdvol,msvol,mdcnt,mscnt,mvrate,mcrate,20_i,20_t,20_p,20_r,40_i,40_t,40_p,40_r,60_i,60_t,60_p,60_r,80_i,80_t,80_p,80_r,100_i,100_t,100_p,100_r
8987,2025-02-21,122630,0.03,142100,16725,-0.27,0.06,-0.57,0.06,639,594,301744,461883,2278,1698,0.55,0.61,715,145800,16770,0.00269,759,152000,16760,0.00209,759,152000,16760,0.00209,759,152000,16760,0.00209,759,152000,16760,0.00209
8986,2025-02-21,122630,0.03,141100,16670,-0.27,-0.21,-0.57,-0.36,565,594,255880,259853,2345,826,0.6,0.638,636,141830,16710,0.0024,710,145530,16750,0.0048,739,151000,16755,0.0051,739,151000,16755,0.0051,739,151000,16755,0.0051
8985,2025-02-21,122630,0.03,140100,16635,-0.27,-0.21,-0.57,-0.57,565,594,380438,338365,2556,710,0.583,0.559,622,141130,16680,0.00271,636,141830,16710,0.00451,645,142300,16740,0.00631,719,150000,16755,0.00721,719,150000,16755,0.00721
8984,2025-02-21,122630,0.03,135100,16670,-0.24,-0.21,-0.42,-0.3,565,548,308464,268710,1117,641,0.583,0.655,636,141830,16710,0.0024,699,145000,16725,0.0033,699,145000,16725,0.0033,699,145000,16725,0.0033,699,145000,16725,0.0033
8983,2025-02-21,122630,0.03,134100,16680,-0.24,-0.15,-0.42,-0.27,507,548,371666,280180,1589,675,0.483,0.593,638,141930,16720,0.0024,679,144000,16720,0.0024,679,144000,16720,0.0024,679,144000,16720,0.0024,679,144000,16720,0.0024
8982,2025-02-21,122630,0.03,133100,16680,-0.03,0.15,-0.33,-0.33,483,527,328627,192513,2389,1019,0.367,0.525,638,141930,16720,0.0024,659,143000,16735,0.0033,659,143000,16735,0.0033,659,143000,16735,0.0033,659,143000,16735,0.0033
8981,2025-02-21,122630,0.03,132100,16680,-0.03,0.15,-0.3,-0.24,483,512,244837,169207,2063,1011,0.417,0.475,638,141930,16720,0.0024,639,142000,16730,0.003,639,142000,16730,0.003,639,142000,16730,0.003,639,142000,16730,0.003
8980,2025-02-21,122630,0.03,131100,16675,-0.06,0.15,-0.21,-0.18,483,495,171396,171910,1446,969,0.467,0.542,619,141000,16660,-0.0009,619,141000,16660,-0.0009,619,141000,16660,-0.0009,619,141000,16660,-0.0009,619,141000,16660,-0.0009
8979,2025-02-21,122630,0.03,130100,16715,-0.03,0.03,-0.15,-0.03,475,428,192471,166078,725,688,0.583,0.627,599,140000,16625,-0.00538,599,140000,16625,-0.00538,599,140000,16625,-0.00538,599,140000,16625,-0.00538,599,140000,16625,-0.00538
8978,2025-02-21,122630,0.03,125100,16715,-0.06,0.06,-0.15,-0.03,409,428,196207,157441,835,733,0.593,0.683,579,135000,16670,-0.00269,579,135000,16670,-0.00269,579,135000,16670,-0.00269,579,135000,16670,-0.00269,579,135000,16670,-0.00269
8977,2025-02-21,122630,0.03,124100,16710,-0.03,0.09,-0.15,-0.06,385,428,345923,241144,1078,1305,0.508,0.617,559,134000,16675,-0.00209,559,134000,16675,-0.00209,559,134000,16675,-0.00209,559,134000,16675,-0.00209,559,134000,16675,-0.00209
8976,2025-02-21,122630,0.03,123100,16715,-0.21,0.09,-0.27,0.0,385,366,249470,347732,866,1737,0.542,0.617,539,133000,16665,-0.00299,539,133000,16665,-0.00299,539,133000,16665,-0.00299,539,133000,16665,-0.00299,539,133000,16665,-0.00299
8975,2025-02-21,122630,0.03,122100,16710,-0.24,0.09,-0.33,-0.06,385,342,271328,400842,901,1794,0.517,0.567,519,132000,16680,-0.0018,519,132000,16680,-0.0018,519,132000,16680,-0.0018,519,132000,16680,-0.0018,519,132000,16680,-0.0018
8974,2025-02-21,122630,0.03,121100,16720,-0.57,0.0,-0.57,0.0,379,320,151236,547001,752,2071,0.617,0.65,499,131000,16690,-0.00179,499,131000,16690,-0.00179,499,131000,16690,-0.00179,499,131000,16690,-0.00179,499,131000,16690,-0.00179
8973,2025-02-21,122630,0.03,120100,16690,-0.69,-0.15,-0.72,-0.27,349,301,149965,427944,705,1518,0.617,0.695,384,121230,16730,0.0024,479,130000,16715,0.0015,479,130000,16715,0.0015,479,130000,16715,0.0015,479,130000,16715,0.0015
8972,2025-02-21,122630,0.03,115100,16680,-0.54,-0.18,-0.75,-0.18,337,291,224891,400002,1268,1380,0.533,0.603,379,121000,16720,0.0024,459,125000,16715,0.0021,459,125000,16715,0.0021,459,125000,16715,0.0021,459,125000,16715,0.0021
8971,2025-02-21,122630,0.03,114100,16630,-0.6,-0.42,-0.75,-0.6,274,291,216840,159868,1180,625,0.517,0.534,329,114500,16670,0.00241,379,121000,16710,0.00481,385,121300,16740,0.00661,439,124000,16710,0.00481,439,124000,16710,0.00481
8970,2025-02-21,122630,0.03,113100,16605,-0.51,-0.42,-0.75,-0.72,242,291,281577,148387,1551,624,0.417,0.424,323,114200,16650,0.00271,336,114830,16680,0.00452,379,121000,16710,0.00632,419,123000,16720,0.00693,419,123000,16720,0.00693
8969,2025-02-21,122630,0.03,112100,16625,-0.51,-0.42,-0.69,-0.51,233,253,230067,112850,1201,692,0.417,0.492,329,114500,16670,0.00271,376,120830,16700,0.00451,384,121230,16730,0.00632,399,122000,16710,0.00511,399,122000,16710,0.00511
8968,2025-02-21,122630,0.03,111100,16620,-0.42,-0.3,-0.69,-0.6,203,253,314067,231735,1672,1100,0.333,0.492,328,114430,16660,0.00241,376,120830,16700,0.00481,379,121000,16720,0.00602,379,121000,16720,0.00602,379,121000,16720,0.00602
