,date,shcode,dO,tBid,pBid,dOpen,dHigh,dLow,dClose,iHigh,iLow,mdvol,msvol,mdcnt,mscnt,mvrate,mcrate,20_i,20_t,20_p,20_r,40_i,40_t,40_p,40_r,60_i,60_t,60_p,60_r,80_i,80_t,80_p,80_r,100_i,100_t,100_p,100_r
8967,2025-02-21,122630,0.03,110100,16640,-0.78,-0.3,-0.9,-0.63,203,186,323670,360576,1531,1596,0.4,0.559,336,114830,16680,0.0024,359,120000,16675,0.0021,359,120000,16675,0.0021,359,120000,16675,0.0021,359,120000,16675,0.0021
8966,2025-02-21,122630,0.03,105100,16635,-0.75,-0.3,-0.96,-0.48,203,165,443107,469264,2246,1728,0.4,0.525,336,114830,16680,0.00271,339,115000,16690,0.00331,339,115000,16690,0.00331,339,115000,16690,0.00331,339,115000,16690,0.00331
8965,2025-02-21,122630,0.03,104100,16655,-0.72,-0.48,-0.96,-0.48,197,165,430368,423583,2162,1393,0.433,0.466,319,114000,16620,-0.0021,319,114000,16620,-0.0021,319,114000,16620,-0.0021,319,114000,16620,-0.0021,319,114000,16620,-0.0021
8964,2025-02-21,122630,0.03,103100,16590,-0.39,-0.39,-0.96,-0.78,120,165,457699,285612,2761,935,0.317,0.321,193,103700,16630,0.00241,203,104200,16670,0.00482,299,113000,16600,0.0006,299,113000,16600,0.0006,299,113000,16600,0.0006
8963,2025-02-21,122630,0.03,102100,16595,-0.33,-0.21,-0.81,-0.66,105,149,498417,381861,2501,1382,0.4,0.386,196,103830,16640,0.00271,203,104200,16670,0.00452,279,112000,16635,0.00241,279,112000,16635,0.00241,279,112000,16635,0.00241
8962,2025-02-21,122630,0.03,101100,16595,-0.93,-0.21,-1.17,-0.63,105,85,1143271,990377,5065,2867,0.383,0.431,196,103830,16640,0.00271,203,104200,16670,0.00452,259,111000,16620,0.00151,259,111000,16620,0.00151,259,111000,16620,0.00151
8961,2025-02-21,122630,0.03,100100,16655,-0.42,-0.21,-1.17,-0.45,105,85,1298492,1122401,6303,3109,0.417,0.458,239,110000,16615,-0.0024,239,110000,16615,-0.0024,239,110000,16615,-0.0024,239,110000,16615,-0.0024,239,110000,16615,-0.0024
8960,2025-02-21,122630,0.03,95100,16665,-0.42,-0.27,-1.17,-0.27,99,85,1365792,1171972,7572,2954,0.367,0.424,219,105000,16640,-0.0015,219,105000,16640,-0.0015,219,105000,16640,-0.0015,219,105000,16640,-0.0015,219,105000,16640,-0.0015
8959,2025-02-21,122630,0.03,94100,16570,-0.3,-0.27,-0.81,-0.81,30,79,824457,642134,5535,1765,0.35,0.424,98,94930,16610,0.00241,98,94930,16650,0.00483,99,95000,16680,0.00664,199,104000,16640,0.00422,199,104000,16640,0.00422
8958,2025-02-21,122630,0.03,93100,16650,0.03,0.03,-0.63,-0.51,0,56,1058796,750395,5684,2129,0.267,0.417,105,95300,16690,0.0024,179,103000,16590,-0.0036,179,103000,16590,-0.0036,179,103000,16590,-0.0036,179,103000,16590,-0.0036
8957,2025-02-20,122630,-0.73,142100,16725,-1.44,-1.26,-1.7,-1.7,601,632,501007,255130,3159,701,0.35,0.421,759,152000,16690,-0.00209,759,152000,16690,-0.00209,759,152000,16690,-0.00209,759,152000,16690,-0.00209,759,152000,16690,-0.00209
8956,2025-02-20,122630,-0.73,141100,16755,-1.41,-1.26,-1.5,-1.47,601,574,233868,137853,1255,577,0.383,0.411,739,151000,16680,-0.00448,739,151000,16680,-0.00448,739,151000,16680,-0.00448,739,151000,16680,-0.00448,739,151000,16680,-0.00448
8955,2025-02-20,122630,-0.73,140100,16785,-1.38,-1.32,-1.5,-1.32,542,574,168321,131870,983,547,0.4,0.446,719,150000,16710,-0.00447,719,150000,16710,-0.00447,719,150000,16710,-0.00447,719,150000,16710,-0.00447,719,150000,16710,-0.00447
8954,2025-02-20,122630,-0.73,135100,16770,-1.29,-1.23,-1.5,-1.47,524,574,224612,192323,1333,535,0.4,0.483,699,145000,16725,-0.00268,699,145000,16725,-0.00268,699,145000,16725,-0.00268,699,145000,16725,-0.00268,699,145000,16725,-0.00268
8953,2025-02-20,122630,-0.73,134100,16770,-1.18,-1.15,-1.44,-1.44,501,552,185759,247800,1319,583,0.45,0.475,679,144000,16715,-0.00328,679,144000,16715,-0.00328,679,144000,16715,-0.00328,679,144000,16715,-0.00328,679,144000,16715,-0.00328
8952,2025-02-20,122630,-0.73,133100,16780,-1.18,-1.15,-1.41,-1.41,501,537,256451,245544,1855,576,0.45,0.518,659,143000,16740,-0.00238,659,143000,16740,-0.00238,659,143000,16740,-0.00238,659,143000,16740,-0.00238,659,143000,16740,-0.00238
8951,2025-02-20,122630,-0.73,132100,16795,-1.15,-1.06,-1.38,-1.35,465,513,216448,175097,1594,554,0.433,0.481,639,142000,16720,-0.00447,639,142000,16720,-0.00447,639,142000,16720,-0.00447,639,142000,16720,-0.00447,639,142000,16720,-0.00447
8950,2025-02-20,122630,-0.73,131100,16805,-1.03,-0.97,-1.35,-1.21,445,488,256310,87092,1514,511,0.4,0.519,619,141000,16760,-0.00268,619,141000,16760,-0.00268,619,141000,16760,-0.00268,619,141000,16760,-0.00268,619,141000,16760,-0.00268
8949,2025-02-20,122630,-0.73,130100,16810,-1.0,-0.97,-1.21,-1.21,445,455,188948,75946,1070,493,0.367,0.474,599,140000,16785,-0.00149,599,140000,16785,-0.00149,599,140000,16785,-0.00149,599,140000,16785,-0.00149,599,140000,16785,-0.00149
8948,2025-02-20,122630,-0.73,125100,16815,-1.03,-0.79,-1.21,-1.18,411,455,229216,177709,1145,1091,0.433,0.525,579,135000,16760,-0.00327,579,135000,16760,-0.00327,579,135000,16760,-0.00327,579,135000,16760,-0.00327,579,135000,16760,-0.00327
8947,2025-02-20,122630,-0.73,124100,16835,-1.12,-0.79,-1.18,-1.0,411,397,185173,202704,797,1070,0.367,0.536,559,134000,16765,-0.00416,559,134000,16765,-0.00416,559,134000,16765,-0.00416,559,134000,16765,-0.00416,559,134000,16765,-0.00416
8946,2025-02-20,122630,-0.73,123100,16845,-0.94,-0.79,-1.18,-0.94,411,397,249146,227527,894,1084,0.3,0.491,539,133000,16770,-0.00445,539,133000,16770,-0.00445,539,133000,16770,-0.00445,539,133000,16770,-0.00445,539,133000,16770,-0.00445
8945,2025-02-20,122630,-0.73,122100,16840,-1.21,-0.94,-1.21,-1.06,358,340,188129,298562,724,1101,0.383,0.545,411,122600,16880,0.00238,519,132000,16780,-0.00356,519,132000,16780,-0.00356,519,132000,16780,-0.00356,519,132000,16780,-0.00356
8944,2025-02-20,122630,-0.73,121100,16820,-1.06,-0.94,-1.35,-1.09,358,335,242228,317995,1037,1206,0.433,0.446,404,122230,16860,0.00238,499,131000,16805,-0.00089,499,131000,16805,-0.00089,499,131000,16805,-0.00089,499,131000,16805,-0.00089
8943,2025-02-20,122630,-0.73,120100,16850,-1.35,-0.94,-1.41,-1.0,358,304,289831,455599,1168,1572,0.533,0.534,479,130000,16805,-0.00267,479,130000,16805,-0.00267,479,130000,16805,-0.00267,479,130000,16805,-0.00267,479,130000,16805,-0.00267
8942,2025-02-20,122630,-0.73,115100,16795,-1.18,-1.03,-1.41,-1.26,321,292,494109,318409,2192,982,0.283,0.328,355,115800,16840,0.00268,404,122230,16870,0.00447,459,125000,16810,0.00089,459,125000,16810,0.00089,459,125000,16810,0.00089
8941,2025-02-20,122630,-0.73,114100,16830,-1.15,-1.03,-1.41,-1.06,263,292,471377,329096,2060,950,0.3,0.379,404,122230,16870,0.00238,439,124000,16840,0.00059,439,124000,16840,0.00059,439,124000,16840,0.00059,439,124000,16840,0.00059
8940,2025-02-20,122630,-0.73,113100,16780,-1.21,-1.03,-1.41,-1.38,263,292,368276,213474,1789,663,0.383,0.386,319,114000,16820,0.00238,359,120000,16860,0.00477,419,123000,16850,0.00417,419,123000,16850,0.00417,419,123000,16850,0.00417
8939,2025-02-20,122630,-0.73,112100,16805,-1.06,-1.0,-1.32,-1.18,221,234,268263,221847,1460,802,0.533,0.491,358,115930,16850,0.00268,399,122000,16830,0.00149,399,122000,16830,0.00149,399,122000,16830,0.00149,399,122000,16830,0.00149
8938,2025-02-20,122630,-0.73,111100,16815,-1.06,-1.0,-1.32,-1.09,221,234,367091,288223,1689,999,0.55,0.492,359,120000,16860,0.00268,379,121000,16825,0.00059,379,121000,16825,0.00059,379,121000,16825,0.00059,379,121000,16825,0.00059
8937,2025-02-20,122630,-0.73,110100,16805,-1.23,-1.0,-1.32,-1.21,221,234,505536,446882,1948,1473,0.533,0.467,358,115930,16850,0.00268,359,120000,16840,0.00208,359,120000,16840,0.00208,359,120000,16840,0.00208,359,120000,16840,0.00208
8936,2025-02-20,122630,-0.73,105100,16835,-1.41,-1.03,-1.53,-1.12,193,169,579890,570710,1814,1612,0.483,0.483,339,115000,16795,-0.00238,339,115000,16795,-0.00238,339,115000,16795,-0.00238,339,115000,16795,-0.00238,339,115000,16795,-0.00238
8935,2025-02-20,122630,-0.73,104100,16830,-1.47,-1.03,-1.59,-1.03,193,151,659155,765091,2721,1823,0.517,0.533,319,114000,16830,0.0,319,114000,16830,0.0,319,114000,16830,0.0,319,114000,16830,0.0,319,114000,16830,0.0
8934,2025-02-20,122630,-0.73,103100,16800,-1.21,-1.12,-1.59,-1.26,125,151,809577,726702,4477,1713,0.4,0.433,198,103930,16840,0.00238,299,113000,16775,-0.00149,299,113000,16775,-0.00149,299,113000,16775,-0.00149,299,113000,16775,-0.00149
8933,2025-02-20,122630,-0.73,102100,16770,-0.94,-0.91,-1.59,-1.41,101,151,990071,644901,6180,1729,0.4,0.367,182,103130,16810,0.00239,279,112000,16810,0.00239,279,112000,16810,0.00239,279,112000,16810,0.00239,279,112000,16810,0.00239
8932,2025-02-20,122630,-0.73,101100,16760,-0.44,-0.44,-1.47,-1.41,80,133,968767,458945,6404,1545,0.317,0.233,179,103000,16800,0.00239,198,103930,16840,0.00477,259,111000,16825,0.00388,259,111000,16825,0.00388,259,111000,16825,0.00388
8931,2025-02-20,122630,-0.73,100100,16805,-1.12,-0.32,-1.26,-1.23,74,109,959147,792236,5365,2877,0.483,0.407,239,110000,16805,0.0,239,110000,16805,0.0,239,110000,16805,0.0,239,110000,16805,0.0,239,110000,16805,0.0
8930,2025-02-20,122630,-0.73,95100,16850,-0.53,-0.32,-1.12,-1.0,74,60,1037025,834627,5687,3037,0.417,0.373,219,105000,16820,-0.00178,219,105000,16820,-0.00178,219,105000,16820,-0.00178,219,105000,16820,-0.00178,219,105000,16820,-0.00178
8929,2025-02-20,122630,-0.73,94100,16940,-0.56,-0.32,-1.12,-0.41,74,60,1092768,946779,5495,3570,0.467,0.458,199,104000,16835,-0.0062,199,104000,16835,-0.0062,199,104000,16835,-0.0062,199,104000,16835,-0.0062,199,104000,16835,-0.0062
8928,2025-02-20,122630,-0.73,93100,16820,-0.73,-0.41,-1.06,-1.06,19,55,1247542,906647,7629,3506,0.383,0.339,63,93200,16860,0.00238,64,93230,16900,0.00476,71,93600,16930,0.00654,74,93730,16960,0.00832,179,103000,16795,-0.00149
8927,2025-02-19,122630,0.73,142100,17075,4.43,4.59,4.34,4.4,608,626,369318,344107,1264,1269,0.483,0.404,759,152000,17015,-0.00351,759,152000,17015,-0.00351,759,152000,17015,-0.00351,759,152000,17015,-0.00351,759,152000,17015,-0.00351
8926,2025-02-19,122630,0.73,141100,17085,4.37,4.59,4.34,4.46,608,566,350249,392399,1273,1372,0.517,0.39,739,151000,17025,-0.00351,739,151000,17025,-0.00351,739,151000,17025,-0.00351,739,151000,17025,-0.00351,739,151000,17025,-0.00351
8925,2025-02-19,122630,0.73,140100,17090,4.83,4.86,4.31,4.5,546,559,511849,497501,2151,2261,0.533,0.414,719,150000,17035,-0.00322,719,150000,17035,-0.00322,719,150000,17035,-0.00322,719,150000,17035,-0.00322,719,150000,17035,-0.00322
8924,2025-02-19,122630,0.73,135100,17075,4.46,4.86,4.31,4.43,546,559,475286,603216,2051,3465,0.533,0.508,699,145000,17025,-0.00293,699,145000,17025,-0.00293,699,145000,17025,-0.00293,699,145000,17025,-0.00293,699,145000,17025,-0.00293
8923,2025-02-19,122630,0.73,134100,17070,4.43,4.86,4.31,4.31,546,559,477600,593617,1919,3444,0.517,0.534,679,144000,17070,0.0,679,144000,17070,0.0,679,144000,17070,0.0,679,144000,17070,0.0,679,144000,17070,0.0
8922,2025-02-19,122630,0.73,133100,17135,4.43,4.71,4.4,4.71,537,497,328719,401009,1108,2116,0.5,0.475,659,143000,17050,-0.00496,659,143000,17050,-0.00496,659,143000,17050,-0.00496,659,143000,17050,-0.00496,659,143000,17050,-0.00496
8921,2025-02-19,122630,0.73,132100,17080,4.53,4.59,4.4,4.43,475,497,481270,262175,1374,1080,0.35,0.322,536,132830,17120,0.00234,639,142000,17070,-0.00059,639,142000,17070,-0.00059,639,142000,17070,-0.00059,639,142000,17070,-0.00059
8920,2025-02-19,122630,0.73,131100,17070,4.74,4.83,4.4,4.43,442,497,588362,275525,2101,1192,0.3,0.283,528,132430,17110,0.00234,619,141000,17080,0.00059,619,141000,17080,0.00059,619,141000,17080,0.00059,619,141000,17080,0.00059
8919,2025-02-19,122630,0.73,130100,17080,4.56,4.83,4.46,4.46,442,455,545611,409797,2027,2494,0.35,0.35,536,132830,17120,0.00234,599,140000,17085,0.00029,599,140000,17085,0.00029,599,140000,17085,0.00029,599,140000,17085,0.00029
8918,2025-02-19,122630,0.73,125100,17090,4.62,4.83,4.46,4.5,442,455,455906,447774,2146,3066,0.383,0.367,540,133030,17130,0.00234,579,135000,17075,-0.00088,579,135000,17075,-0.00088,579,135000,17075,-0.00088,579,135000,17075,-0.00088
8917,2025-02-19,122630,0.73,124100,17125,4.59,4.8,4.5,4.8,439,425,408274,517809,1600,3842,0.45,0.417,559,134000,17055,-0.00409,559,134000,17055,-0.00409,559,134000,17055,-0.00409,559,134000,17055,-0.00409,559,134000,17055,-0.00409
8916,2025-02-19,122630,0.73,123100,17095,4.46,4.71,4.43,4.56,403,369,388527,776857,1688,5217,0.55,0.467,440,124030,17140,0.00263,539,133000,17120,0.00146,539,133000,17120,0.00146,539,133000,17120,0.00146,539,133000,17120,0.00146
8915,2025-02-19,122630,0.73,122100,17105,4.37,4.68,4.31,4.59,391,349,320141,712129,1496,4819,0.517,0.417,519,132000,17075,-0.00175,519,132000,17075,-0.00175,519,132000,17075,-0.00175,519,132000,17075,-0.00175,519,132000,17075,-0.00175
8914,2025-02-19,122630,0.73,121100,17100,4.19,4.62,4.19,4.59,378,320,256065,781215,1461,5683,0.6,0.483,440,124030,17140,0.00234,499,131000,17075,-0.00146,499,131000,17075,-0.00146,499,131000,17075,-0.00146,499,131000,17075,-0.00146
8913,2025-02-19,122630,0.73,120100,17080,4.07,4.5,4.07,4.5,359,300,255908,429740,1317,3112,0.483,0.433,403,122200,17120,0.00234,479,130000,17080,0.0,479,130000,17080,0.0,479,130000,17080,0.0,479,130000,17080,0.0
8912,2025-02-19,122630,0.73,115100,17065,4.31,4.43,4.07,4.43,336,291,459883,487261,1580,2883,0.467,0.467,391,121600,17110,0.00264,440,124030,17140,0.00439,459,125000,17085,0.00117,459,125000,17085,0.00117,459,125000,17085,0.00117
8911,2025-02-19,122630,0.73,114100,17035,4.34,4.46,4.07,4.16,264,291,650155,659869,2080,3182,0.383,0.433,336,114830,17080,0.00264,391,121600,17110,0.0044,439,124000,17135,0.00587,439,124000,17135,0.00587,439,124000,17135,0.00587
8910,2025-02-19,122630,0.73,113100,17015,4.13,4.46,4.07,4.1,264,247,724722,791637,2338,4436,0.467,0.5,333,114700,17060,0.00264,360,120030,17090,0.00441,419,123000,17095,0.0047,419,123000,17095,0.0047,419,123000,17095,0.0047
8909,2025-02-19,122630,0.73,112100,17050,3.98,4.46,3.91,4.34,264,221,881780,1306358,2751,7777,0.567,0.6,360,120030,17090,0.00235,399,122000,17100,0.00293,399,122000,17100,0.00293,399,122000,17100,0.00293,399,122000,17100,0.00293
8908,2025-02-19,122630,0.73,111100,17060,3.46,4.25,3.39,4.25,255,203,880108,1630496,2488,11496,0.6,0.633,367,120400,17100,0.00234,379,121000,17100,0.00234,379,121000,17100,0.00234,379,121000,17100,0.00234,379,121000,17100,0.00234
8907,2025-02-19,122630,0.73,110100,17020,3.52,4.22,3.39,4.16,233,185,830931,1502535,2335,10403,0.567,0.576,260,111030,17060,0.00235,359,120000,17085,0.00382,359,120000,17085,0.00382,359,120000,17085,0.00382,359,120000,17085,0.00382
8906,2025-02-19,122630,0.73,105100,16995,3.55,3.94,3.39,3.91,218,171,565534,1124490,1863,8143,0.55,0.508,233,105700,17040,0.00265,261,111100,17070,0.00441,339,115000,17075,0.00471,339,115000,17075,0.00471,339,115000,17075,0.00471
8905,2025-02-19,122630,0.73,104100,16915,3.36,3.61,3.36,3.52,162,140,528846,573822,1879,2906,0.533,0.458,211,104600,16960,0.00266,216,104830,16990,0.00443,232,105630,17030,0.0068,260,111030,17060,0.00857,319,114000,17030,0.0068
8904,2025-02-19,122630,0.73,103100,16930,3.52,3.61,3.15,3.52,162,126,662361,735317,2524,4176,0.483,0.433,212,104630,16970,0.00236,229,105500,17010,0.00473,233,105700,17040,0.0065,264,111230,17080,0.00886,299,113000,17020,0.00532
8903,2025-02-19,122630,0.73,102100,16925,3.61,3.61,3.15,3.52,100,126,812455,684098,3306,3716,0.433,0.417,212,104630,16970,0.00266,219,105000,17000,0.00443,233,105700,17040,0.00679,261,111100,17070,0.00857,279,112000,17060,0.00798
8902,2025-02-19,122630,0.73,101100,16905,3.09,3.79,3.09,3.46,90,80,1148494,1432331,4471,8938,0.417,0.45,211,104600,16950,0.00266,212,104630,16980,0.00444,230,105530,17020,0.0068,258,110930,17050,0.00858,259,111000,17045,0.00828
8901,2025-02-19,122630,0.73,100100,16925,3.03,3.79,2.94,3.49,90,61,1201249,1648370,4721,9986,0.417,0.492,212,104630,16970,0.00266,219,105000,17000,0.00443,233,105700,17040,0.00679,239,110000,17030,0.0062,239,110000,17030,0.0062
8900,2025-02-19,122630,0.73,95100,16940,2.87,3.79,2.63,3.58,90,48,1458272,2027549,5112,11782,0.45,0.627,212,104630,16980,0.00236,219,105000,16990,0.00295,219,105000,16990,0.00295,219,105000,16990,0.00295,219,105000,16990,0.00295
8899,2025-02-19,122630,0.73,94100,16855,1.68,3.24,1.68,3.03,36,20,2205733,2637105,6468,14266,0.467,0.61,83,94200,16900,0.00267,87,94400,16930,0.00445,90,94530,16970,0.00682,199,104000,16925,0.00415,199,104000,16925,0.00415
8898,2025-02-19,122630,0.73,93100,16840,0.73,3.24,0.73,3.03,36,0,2869251,3986130,7608,18495,0.55,0.717,72,93630,16880,0.00238,86,94330,16920,0.00475,88,94430,16950,0.00653,179,103000,16925,0.00505,179,103000,16925,0.00505
8897,2025-02-18,122630,0.0,142100,16380,1.36,1.61,1.3,1.58,638,583,219916,273570,719,1220,0.483,0.474,759,152000,16355,-0.00153,759,152000,16355,-0.00153,759,152000,16355,-0.00153,759,152000,16355,-0.00153,759,152000,16355,-0.00153
8896,2025-02-18,122630,0.0,141100,16365,1.52,1.58,1.3,1.49,614,583,256532,228239,878,942,0.417,0.474,739,151000,16375,0.00061,739,151000,16375,0.00061,739,151000,16375,0.00061,739,151000,16375,0.00061,739,151000,16375,0.00061
8895,2025-02-18,122630,0.0,140100,16345,1.55,1.55,1.3,1.36,540,583,274459,216066,930,774,0.333,0.448,719,150000,16370,0.00153,719,150000,16370,0.00153,719,150000,16370,0.00153,719,150000,16370,0.00153,719,150000,16370,0.00153
8894,2025-02-18,122630,0.0,135100,16340,1.52,1.58,1.36,1.36,522,565,323947,285721,857,783,0.333,0.482,638,141930,16380,0.00245,699,145000,16345,0.00031,699,145000,16345,0.00031,699,145000,16345,0.00031,699,145000,16345,0.00031
8893,2025-02-18,122630,0.0,134100,16365,1.49,1.58,1.46,1.49,505,526,372173,391075,771,1106,0.383,0.518,679,144000,16355,-0.00061,679,144000,16355,-0.00061,679,144000,16355,-0.00061,679,144000,16355,-0.00061,679,144000,16355,-0.00061
8892,2025-02-18,122630,0.0,133100,16365,1.52,1.58,1.4,1.49,505,491,345073,385678,829,988,0.383,0.455,659,143000,16345,-0.00122,659,143000,16345,-0.00122,659,143000,16345,-0.00122,659,143000,16345,-0.00122,659,143000,16345,-0.00122
8891,2025-02-18,122630,0.0,132100,16370,1.61,1.64,1.4,1.55,463,491,431068,384148,967,1121,0.433,0.517,639,142000,16375,0.00031,639,142000,16375,0.00031,639,142000,16375,0.00031,639,142000,16375,0.00031,639,142000,16375,0.00031
8890,2025-02-18,122630,0.0,131100,16355,1.55,1.64,1.4,1.46,459,491,390662,385590,1113,1098,0.433,0.475,619,141000,16360,0.00031,619,141000,16360,0.00031,619,141000,16360,0.00031,619,141000,16360,0.00031,619,141000,16360,0.00031
8889,2025-02-18,122630,0.0,130100,16365,1.49,1.71,1.46,1.55,428,421,541266,689343,1439,3045,0.467,0.583,599,140000,16340,-0.00153,599,140000,16340,-0.00153,599,140000,16340,-0.00153,599,140000,16340,-0.00153,599,140000,16340,-0.00153
8888,2025-02-18,122630,0.0,125100,16380,1.3,1.71,1.24,1.64,428,402,465979,786084,1481,3754,0.467,0.517,579,135000,16340,-0.00244,579,135000,16340,-0.00244,579,135000,16340,-0.00244,579,135000,16340,-0.00244,579,135000,16340,-0.00244
8887,2025-02-18,122630,0.0,124100,16365,1.43,1.71,1.21,1.58,428,386,543401,842815,1656,4119,0.433,0.517,559,134000,16360,-0.00031,559,134000,16360,-0.00031,559,134000,16360,-0.00031,559,134000,16360,-0.00031,559,134000,16360,-0.00031
8886,2025-02-18,122630,0.0,123100,16350,1.21,1.46,1.21,1.46,414,360,470364,774111,1670,3811,0.533,0.5,428,123430,16390,0.00245,539,133000,16360,0.00061,539,133000,16360,0.00061,539,133000,16360,0.00061,539,133000,16360,0.00061
8885,2025-02-18,122630,0.0,122100,16325,1.05,1.43,1.02,1.3,379,341,541892,800321,1510,3392,0.567,0.586,423,123200,16370,0.00276,519,132000,16370,0.00276,519,132000,16370,0.00276,519,132000,16370,0.00276,519,132000,16370,0.00276
