,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
3826,20250620,015260,-0.031,0.031,-0.094,-0.063,26,604,2368845,1466947,803206,3376,3694,450,-0.007,0.029,-0.031,4,46,116494,65679,50815,103,65,468,132500,449,0.062,0.05,699,153000,441,-0.01782,699,153000,441,-0.01782,699,153000,441,-0.01782,에이엔피,-0.01782
3825,20250620,057680,0.037,0.063,0.002,0.026,120,360,747846,1639,0,3,0,1252,-0.014,0.129,-0.015,18,0,1569239,670752,847267,1860,1847,3,93230,1339,0.12,0.072,81,101130,1501,0.12099,89,101530,1533,0.14488,60,100100,1469,0.09709,티사이언티픽,0.12099
3824,20250620,011700,0.006,0.2,-0.014,0.139,427,35,30251362,15522189,14238772,50062,55589,4965,-0.024,-0.013,-0.077,0,43,1432374,859478,572896,2318,1756,171,105630,4785,0.069,0.05,699,153000,4625,-0.03344,699,153000,4625,-0.03344,699,153000,4625,-0.03344,한신기계,-0.03344
3823,20250620,053300,0.032,0.152,0.013,0.071,137,13,24538223,12162068,12017635,52529,60374,9020,0.019,0.023,-0.061,0,34,1694985,1069425,625560,3577,2742,624,144300,8950,0.09,0.054,699,153000,9250,0.03352,699,153000,9250,0.03352,699,153000,9250,0.03352,한국정보인증,0.03352
3822,20250620,046120,0.008,0.299,0.008,0.299,681,0,15466013,6791919,8500145,21880,29630,3935,0.14,0.149,0.042,0,32,6856039,4041504,2814535,12172,10856,6,93400,4345,0.102,0.061,699,153000,4375,0.0069,699,153000,4375,0.0069,699,153000,4375,0.0069,오르비텍,0.0069
3821,20250620,044490,-0,0.112,-0.039,0.098,748,19,1327514,560681,732131,9645,11691,32400,-0.02,-0.012,-0.088,5,29,185616,129536,56080,1356,962,3,93230,31100,0.083,0.05,699,153000,31700,0.01929,699,153000,31700,0.01929,699,153000,31700,0.01929,태웅,0.01929
3820,20250620,041460,0.011,0.255,0.005,0.171,555,0,21301793,10891094,9975043,47316,52097,4905,-0.023,0,-0.068,1,46,692175,491679,200496,1700,1003,599,143030,4770,0.073,0.05,699,153000,4900,0.02725,699,153000,4900,0.02725,699,153000,4900,0.02725,한국전자인증,0.02725
3819,20250620,039290,-0.001,0.064,-0.012,0.012,62,42,223615,125899,90088,1185,1541,6940,0.022,0.029,-0.033,11,25,25977,14679,11298,134,140,81,101130,7020,0.064,0.05,699,153000,7050,0.00427,699,153000,7050,0.00427,699,153000,7050,0.00427,인포뱅크,0.00427
3818,20250620,019990,0.004,0.123,-0.012,0.072,720,30,3922793,1866937,1882432,12310,14323,9070,-0.045,-0.042,-0.1,0,42,324078,252456,71622,1166,798,27,94430,8490,0.065,0.05,699,153000,8280,-0.02473,699,153000,8280,-0.02473,699,153000,8280,-0.02473,에너토크,-0.02473
3817,20250620,018000,0.001,0.04,-0.023,0.012,15,405,5702508,2996881,2468820,5250,5832,1793,-0.146,-0.144,-0.23,0,34,5213505,3335522,1877983,5900,3970,127,103430,1456,0.112,0.067,699,153000,1418,-0.0261,699,153000,1418,-0.0261,699,153000,1418,-0.0261,유니슨,-0.0261
3816,20250619,389030,0,0.189,-0.02,0.189,760,0,1429827,598279,691305,1967,2188,2700,0.056,0.087,-0.002,4,50,542884,291919,219426,854,775,36,94900,2845,0.089,0.053,411,125630,2690,-0.05448,699,153000,2810,-0.0123,78,101000,2720,-0.04394,지니너스,-0.05448
3815,20250619,377030,0,0.159,-0.024,0.159,760,1,2473584,1169608,1169804,5521,6643,6200,0.032,0.032,-0.048,0,6,371533,262335,109198,1073,742,45,95330,6250,0.085,0.051,557,140930,5930,-0.0512,557,140930,5870,-0.0608,75,100830,6000,-0.04,비트맥스,-0.0512
3814,20250619,45014K,0.214,0.282,0.035,0.035,7,760,2656888,1413723,1110401,21284,24511,5610,-0.054,-0.039,-0.118,16,34,118922,81806,37116,469,383,3,93230,5200,0.089,0.053,563,141230,5670,0.09038,563,141230,5770,0.10962,137,103930,4975,-0.04327,코오롱모빌리티그룹우,0.09038
3813,20250619,319400,-0.01,0.061,-0.012,0.05,412,3,1601727,551513,1018758,1956,4202,4380,0.04,0.111,0.038,25,1,2412407,1042704,1369703,3544,5767,27,94430,4740,0.07,0.05,699,153000,4825,0.01793,699,153000,4825,0.01793,699,153000,4825,0.01793,현대무벡스,0.01793
3812,20250619,377300,-0.005,0.052,-0.024,0.05,162,9,1856781,884647,940419,18205,18946,60800,0.082,0.089,0.011,0,25,743052,470292,272760,9709,6846,4,93300,64300,0.076,0.05,279,115030,61100,-0.04977,545,140330,60400,-0.06065,175,105830,61700,-0.04044,카카오페이,-0.04977
3811,20250619,235980,0,0.008,-0.024,0.005,49,424,76112,43508,32392,386,304,3730,0.063,0.126,0.036,9,21,221553,111814,109739,819,922,134,103800,4065,0.087,0.052,699,153000,3900,-0.04059,699,153000,3900,-0.04059,578,142000,3895,-0.04182,메드팩토,-0.04059
3810,20250619,201490,0.073,0.129,-0.075,0.024,22,84,15257733,8487634,6170928,25753,28305,4050,0.015,0.142,0.012,39,0,2732182,1146733,1465710,4203,5278,16,93900,4440,0.12,0.072,301,120130,4975,0.1205,307,120430,5090,0.1464,273,114730,4870,0.09685,미투온,0.1205
3809,20250619,192410,-0.01,0.045,-0.079,0.041,734,11,290354,130949,151883,705,949,1284,0.026,0.045,-0.026,2,22,88658,69246,19412,115,68,15,93830,1304,0.073,0.05,699,153000,1292,-0.0092,699,153000,1292,-0.0092,699,153000,1292,-0.0092,오늘이엔엠,-0.0092
3808,20250619,124500,-0.004,0.092,-0.037,0.051,25,3,1201509,593385,581460,6696,7259,28700,0.064,0.132,0.042,13,19,447885,202804,245081,2666,3056,52,95700,31550,0.087,0.052,156,104900,29900,-0.0523,157,104930,29550,-0.06339,148,104500,30200,-0.04279,아이티센글로벌,-0.0523
3807,20250619,083660,0.03,0.3,0.015,0.243,429,0,11475650,5279421,5678546,16286,18927,1786,-0.004,0.064,-0.036,2,50,2189945,1204748,985197,2315,2531,16,93900,1810,0.104,0.062,145,104330,1697,-0.06243,699,153000,1896,0.04751,112,102700,1720,-0.04972,CSA 코스믹,-0.06243
3806,20250619,054920,0,0.077,-0.01,0.06,195,11,694408,282265,386613,1349,1709,3595,0.089,0.235,0.068,8,43,2686862,1526748,1078498,6185,5627,129,103530,4130,0.12,0.072,699,153000,3935,-0.04722,699,153000,3935,-0.04722,278,115000,3890,-0.05811,한컴위드,-0.04722
3805,20250619,000440,0.096,0.113,-0.005,0.044,1,84,487060,282060,192973,4567,3946,21250,-0.019,0.094,-0.019,24,0,369631,177180,190686,2469,2604,68,100500,22050,0.115,0.069,524,135300,24600,0.11565,699,153000,22900,0.03855,511,134630,24100,0.09297,중앙에너비스,0.11565
3804,20250618,462860,0.021,0.085,-0.037,0.03,38,13,29013054,14999012,13454519,63439,66280,4320,0.037,0.083,0.015,28,4,6624648,3389345,3235303,12011,12910,13,93730,4565,0.067,0.05,106,102400,4875,0.06791,106,102400,4935,0.08105,105,102330,4815,0.05476,더즌,0.06791
3803,20250618,417860,0.176,0.299,0.078,0.299,17,6,476213,184249,113045,2768,1795,26500,0.108,0.128,-0.019,1,8,372899,218796,154103,3849,3496,2,93200,28550,0.12,0.072,280,115100,32000,0.12084,281,115130,32700,0.14536,273,114730,31300,0.09632,오브젠,0.12084
3802,20250618,299660,0.019,0.107,-0.015,0.029,58,5,3958796,2103233,1792859,8595,19280,6060,0.023,0.026,-0.068,0,6,446566,247164,149921,1066,935,66,100400,6000,0.101,0.061,699,153000,6030,0.005,699,153000,6030,0.005,699,153000,6030,0.005,셀리드,0.005
3801,20250618,298060,-0.01,0.006,-0.023,-0.009,32,15,203469,96414,46516,204,215,878,0.072,0.072,0,0,46,319870,189358,127575,726,860,57,95930,918,0.072,0.05,699,153000,929,0.01198,699,153000,929,0.01198,699,153000,929,0.01198,에스씨엠생명과학,0.01198
3800,20250618,291810,-0,0.298,-0.011,0.298,37,0,781829,411668,340621,1820,1741,2850,0.09,0.123,0.016,1,44,957202,594396,362806,3706,3433,191,110630,3060,0.105,0.063,657,145930,2865,-0.06373,699,153000,2930,-0.04248,269,114530,2900,-0.05229,핀텔,-0.06373
3799,20250618,201490,0.036,0.036,-0.125,-0.101,0,540,2854502,27677,19224,25,2,3955,0.047,0.129,0.006,12,49,2605175,1520706,1084469,4571,5213,426,130400,4260,0.12,0.072,471,132630,3950,-0.07277,539,140030,3890,-0.08685,444,131300,4010,-0.05869,미투온,-0.07277
3798,20250618,199480,0.02,0.3,0.006,0.3,77,13,2391105,978848,1196703,5674,5673,6500,0.077,0.086,0.011,0,27,1111341,716277,395064,4411,4335,24,94300,6820,0.075,0.05,121,103130,7340,0.07625,184,110300,7440,0.09091,119,103030,7240,0.06158,뱅크웨어글로벌,0.07625
3797,20250618,083660,-0.022,0.062,-0.043,0.041,292,14,754374,309057,434512,3134,1210,1437,0.14,0.232,0.058,3,45,2653807,1511336,1142471,3208,2813,88,101500,1664,0.114,0.068,237,112930,1855,0.11478,699,153000,1786,0.07332,184,110300,1817,0.09195,CSA 코스믹,0.11478
3796,20250618,069510,0.011,0.011,-0.02,-0.017,0,165,31350,22159,8974,688,659,15750,0.069,0.238,0.057,32,3,173568,98401,72101,2314,2216,0,93100,18320,0.109,0.065,69,100530,20350,0.11081,699,153000,18300,-0.00109,69,100530,19930,0.08788,에스텍,0.11081
3795,20250618,065770,0.009,0.03,-0.036,-0.025,0,11,86772,49483,31181,1219,702,1041,0.008,0.2,0.006,37,0,1098001,620952,469432,2226,3911,95,101830,1167,0.12,0.072,697,151930,1083,-0.07198,699,153000,1098,-0.05913,476,132900,1100,-0.05741,CS,-0.07198
3794,20250618,053580,0.033,0.042,-0.066,-0.018,2,547,1017595,619891,355148,6752,5728,18920,0.11,0.158,0.091,30,1,2480631,1203135,1221033,14542,15926,32,94700,21400,0.061,0.05,699,153000,21400,0,699,153000,21400,0,699,153000,21400,0,웹케시,0
3793,20250618,043200,0,0.049,-0.078,-0.063,61,559,5661754,3431385,2150635,10232,9971,1537,0.06,0.165,0.05,7,3,5783523,2854192,2865737,7284,8629,72,100700,1719,0.109,0.065,699,153000,1659,-0.0349,699,153000,1659,-0.0349,699,153000,1659,-0.0349,파루,-0.0349
3792,20250618,043100,0,0.055,-0.012,0.042,743,14,66339,34831,30673,272,366,4005,0.022,0.1,-0.051,1,5,126158,58314,45516,258,320,10,93600,4265,0.12,0.072,699,153000,4185,-0.01876,699,153000,4185,-0.01876,699,153000,4185,-0.01876,알파녹스,-0.01876
3791,20250618,042940,0.001,0.027,-0.075,-0.069,20,550,1244272,780071,437080,10463,10107,15440,-0.003,0.064,-0.01,7,0,436384,218623,217761,3862,4528,14,93800,16020,0.075,0.05,699,153000,15520,-0.03121,699,153000,15520,-0.03121,699,153000,15520,-0.03121,상지건설,-0.03121
3790,20250618,032820,0.038,0.167,0.028,0.065,237,7,171387153,88101670,79780109,138116,163311,3600,0.016,0.079,0.011,15,0,20469139,10524978,9944161,15301,18969,108,102500,3790,0.067,0.05,699,153000,3850,0.01583,699,153000,3850,0.01583,699,153000,3850,0.01583,우리기술,0.01583
3789,20250618,000440,-0.08,0.032,-0.105,-0.067,316,4,1236169,651149,561538,11367,10998,20350,0.079,0.081,0.017,0,37,108529,69515,39014,1156,847,317,120930,21500,0.063,0.05,699,153000,21250,-0.01163,699,153000,21250,-0.01163,699,153000,21250,-0.01163,중앙에너비스,-0.01163
3788,20250617,457550,0.023,0.061,0,0.056,651,58,893646,414676,461859,4844,5880,23400,0.024,0.034,-0.03,2,44,235788,157115,78673,1610,895,47,95430,23600,0.066,0.05,445,131330,22400,-0.05085,471,132630,22150,-0.06144,323,121230,22650,-0.04025,우진엔텍,-0.05085
3787,20250617,389030,0,0.055,-0.028,-0.026,358,5,391276,234188,149415,606,571,2225,0.009,0.009,-0.049,0,41,113307,73535,39772,148,97,130,103600,2200,0.061,0.05,699,153000,2270,0.03182,699,153000,2270,0.03182,361,123130,2310,0.05,지니너스,0.03182
3786,20250617,361390,0.015,0.024,-0.012,-0.01,0,31,47657,29271,16391,731,647,20400,-0.025,0.01,-0.059,9,11,30411,9508,20903,328,510,15,93830,20300,0.073,0.05,699,153000,20250,-0.00246,699,153000,20250,-0.00246,699,153000,20250,-0.00246,제노코,-0.00246
3785,20250617,347860,0.064,0.299,0.059,0.299,411,1,14903332,7469620,7239697,19244,20643,2540,0.167,0.242,0.126,9,1,8222740,4580686,3430417,13165,11760,224,112300,3040,0.078,0.05,338,122000,3280,0.07895,699,153000,3025,-0.00493,329,121530,3230,0.0625,알체라,0.07895
3784,20250617,184230,-0.013,0.079,-0.042,0.045,403,3,1534850,630051,852820,1102,1575,645,0.087,0.124,0.053,21,33,1886661,878063,1008598,1915,1813,14,93800,708,0.068,0.05,110,102600,673,-0.04944,129,103530,665,-0.06073,93,101730,680,-0.03955,SGA솔루션즈,-0.04944
3783,20250617,124500,0.041,0.264,0.016,0.194,108,11,2076450,966690,1025287,15713,11557,26500,-0.017,0.03,-0.028,14,2,183471,110117,73354,997,907,572,141700,26750,0.06,0.05,677,150930,28400,0.06168,679,151030,28700,0.0729,573,141730,25650,-0.04112,아이티센글로벌,0.06168
3782,20250617,105840,0.02,0.031,-0.033,0.017,635,59,1519512,801191,677498,5903,6362,10640,0.023,0.046,-0.021,6,45,311715,191535,120180,1320,889,154,104800,10880,0.068,0.05,436,130900,10330,-0.05055,464,132300,10230,-0.05974,385,124330,10440,-0.04044,우진,-0.05055
3781,20250617,097800,-0,-0,-0.046,-0.037,0,71,431214,288862,124175,594,467,524,-0.008,0.093,-0.013,34,0,290095,118543,123638,260,213,11,93630,548,0.108,0.065,699,153000,531,-0.03102,699,153000,531,-0.03102,699,153000,531,-0.03102,윈팩,-0.03102
3780,20250617,032820,0.02,0.277,-0.017,0.24,648,3,217764509,100516630,113264265,145052,200323,3380,0.05,0.139,0.047,16,0,41964820,21846746,20118074,35388,42522,41,95130,3745,0.088,0.053,446,131400,3545,-0.0534,458,132000,3505,-0.06409,436,130900,3585,-0.04272,우리기술,-0.0534
3779,20250617,017510,0,0.04,-0.019,0.038,305,3,747785,331072,369541,2041,2967,7850,0.011,0.062,-0,20,2,835597,394397,441200,1883,2065,138,104000,8160,0.062,0.05,699,153000,8070,-0.01103,699,153000,8070,-0.01103,699,153000,8070,-0.01103,세명전기,-0.01103
3778,20250617,010280,0.025,0.299,0.013,0.22,102,0,26046119,15192140,10360412,28607,23316,1268,-0.017,0.098,-0.021,24,0,2048206,949725,1098481,1784,1810,20,94100,1331,0.12,0.072,478,133000,1235,-0.07213,699,153000,1284,-0.03531,80,101100,1254,-0.05785,아이티센엔텍,-0.07213
3777,20250617,002025,0.012,0.175,-0.003,0.122,452,27,110091,44765,50582,1075,1327,20050,0.259,0.259,0.1,0,50,90120,48718,37255,1145,845,196,110900,24050,0.075,0.05,428,130500,22800,-0.05198,430,130600,22600,-0.06029,220,112100,23050,-0.04158,코오롱우,-0.05198
3776,20250617,000157,-0.005,0.046,-0.028,-0.004,23,1,11217,6662,4323,1171,1065,543000,0.004,0.009,-0.076,10,41,4226,2628,1598,355,275,4,93300,534000,0.092,0.055,699,153000,528000,-0.01124,699,153000,528000,-0.01124,484,133300,510000,-0.04494,두산2우B,-0.01124
3775,20250617,000155,-0.005,0.044,-0.018,0.017,160,1,72130,39770,30071,3099,3059,446500,0.027,0.03,-0.046,0,43,21268,15472,5796,1013,663,40,95100,447500,0.08,0.05,699,153000,439000,-0.01899,699,153000,439000,-0.01899,479,133030,429500,-0.04022,두산우,-0.01899
3774,20250616,462860,0.058,0.089,0.003,0.004,0,384,11751849,6354033,4835760,33421,34759,3650,0.037,0.114,0.036,31,0,6821563,2904567,3916996,9048,12125,10,93600,3955,0.075,0.05,122,103200,4255,0.07585,129,103530,4315,0.09102,121,103130,4195,0.06068,더즌,0.07585
3773,20250616,444530,0.003,0.004,-0.064,-0.064,4,760,183732,120198,55582,1521,855,11810,0.063,0.063,-0.012,0,43,47707,35230,12477,464,202,59,100030,12210,0.075,0.05,699,153000,12150,-0.00491,699,153000,12150,-0.00491,699,153000,12150,-0.00491,심플랫폼,-0.00491
3772,20250616,389470,0.008,0.034,-0.054,-0.037,19,538,515668,303144,207739,5333,4565,40900,0.012,0.034,-0.037,2,2,78968,45374,32054,984,779,45,95330,41100,0.074,0.05,699,153000,43500,0.05839,699,153000,43500,0.05839,471,132630,43550,0.05961,인벤티지랩,0.05839
3771,20250616,347860,0.007,0.025,-0.047,-0.03,15,114,912592,581778,321207,1657,1312,1955,0.133,0.189,0.097,6,30,2452099,1302251,1077986,3426,3161,53,95730,2240,0.084,0.05,104,102300,2430,0.08482,112,102700,2470,0.10268,92,101700,2395,0.0692,알체라,0.08482
3770,20250616,340930,0,0,-0.039,-0.036,0,589,205376,134651,68570,457,368,1440,-0.018,-0.018,-0.083,0,46,97952,50200,47752,199,106,260,114100,1380,0.07,0.05,699,153000,1377,-0.00217,699,153000,1377,-0.00217,699,153000,1377,-0.00217,유일에너테크,-0.00217
3769,20250616,335870,0.246,0.246,-0.086,-0.064,5,506,641600,382698,206112,1945,1774,2345,-0.011,0.036,-0.041,7,50,18102,13175,4927,69,44,72,100700,2320,0.08,0.05,525,135330,2510,0.0819,528,135500,2545,0.09698,524,135300,2470,0.06466,윙스풋,0.0819
3768,20250616,304100,0.004,0.008,-0.088,-0.061,0,668,1653578,1044292,580066,13443,15131,47250,0.026,0.034,-0.034,0,46,301869,196552,105317,3899,2347,8,93500,47600,0.07,0.05,699,153000,48350,0.01576,699,153000,48350,0.01576,699,153000,48350,0.01576,솔트룩스,0.01576
3767,20250616,300080,0.011,0.019,-0.026,-0.006,26,616,137877,75636,59503,1529,1009,26800,0.073,0.145,0.065,11,0,340108,164245,167504,3246,3153,99,102030,29850,0.075,0.05,699,153000,30500,0.02178,699,153000,30500,0.02178,699,153000,30500,0.02178,플리토,0.02178
3766,20250616,377300,0.106,0.139,0.048,0.065,3,105,4840126,2576856,2172711,44391,45929,60400,0.008,0.039,-0.022,22,41,618730,318771,299959,5346,6185,407,125430,61500,0.062,0.05,699,153000,61400,-0.00163,699,153000,61400,-0.00163,699,153000,61400,-0.00163,카카오페이,-0.00163
3765,20250616,226950,0.011,0.012,-0.089,-0.073,1,624,695556,462062,217995,4868,4960,43550,-0.002,0.008,-0.054,1,50,110858,80333,30525,1117,772,364,123300,43000,0.066,0.05,404,125300,45850,0.06628,405,125330,46400,0.07907,399,125030,45300,0.05349,올릭스,0.06628
3764,20250616,271980,-0,0.002,-0.035,-0.02,1,311,29943,20837,8771,463,493,13100,0.05,0.092,0.024,2,32,90206,53111,37095,921,711,25,94330,13870,0.066,0.05,699,153000,14130,0.01875,699,153000,14130,0.01875,699,153000,14130,0.01875,제일약품,0.01875
3763,20250616,200710,0.009,0.012,-0.064,-0.046,0,125,254546,155376,96072,2632,1977,17340,-0.015,-0.012,-0.083,10,42,37500,28984,7972,344,165,80,101100,16920,0.077,0.05,699,153000,17080,0.00946,699,153000,17080,0.00946,699,153000,17080,0.00946,에이디테크놀로지,0.00946
3762,20250616,138610,0.141,0.196,0.046,0.068,21,720,2380398,1364974,985839,20820,19995,28100,0.027,0.041,-0.021,5,49,89124,61253,27871,1004,624,307,120430,28550,0.064,0.05,699,153000,28500,-0.00175,699,153000,28500,-0.00175,699,153000,28500,-0.00175,나이벡,-0.00175
3761,20250616,115530,0.01,0.046,-0.046,-0.032,2,746,773905,610683,155436,342,272,488,-0.033,-0.006,-0.072,10,1,148279,79257,69022,82,82,12,93700,478,0.071,0.05,699,153000,484,0.01255,699,153000,484,0.01255,699,153000,484,0.01255,씨엔플러스,0.01255
3760,20250616,084440,0.006,0.016,-0.027,-0.016,359,143,55883,33421,21043,130,148,1188,0.053,0.096,0.002,11,37,136357,51086,85271,221,291,11,93630,1261,0.094,0.056,282,115200,1190,-0.0563,699,153000,1258,-0.00238,282,115200,1204,-0.0452,유비온,-0.0563
3759,20250616,060850,-0.004,0.005,-0.023,-0.021,159,374,27755,22767,4407,167,102,5510,0.005,0.084,0.005,25,0,40365,19398,20967,450,497,43,95230,5790,0.078,0.05,58,100000,6250,0.07945,59,100030,6340,0.09499,57,95930,6160,0.0639,영림원소프트랩,0.07945
3758,20250616,060260,-0,-0,-0.064,-0.059,0,0,490539,325407,138910,1074,713,1759,0.039,0.043,-0.016,1,43,114512,78519,35993,214,108,70,100600,1795,0.06,0.05,699,153000,1799,0.00223,699,153000,1799,0.00223,699,153000,1799,0.00223,뉴보텍,0.00223
3757,20250616,054180,0.005,0.015,-0.045,-0.015,0,368,3693058,2273685,1344962,637,1157,196,-0.025,0.046,-0.041,13,29,1334740,504308,830432,246,304,241,113130,198,0.09,0.054,699,153000,192,-0.0303,699,153000,192,-0.0303,423,130230,189,-0.04545,메디콕스,-0.0303
3756,20250616,011390,0.031,0.061,-0.045,-0.016,1,516,65727,39673,24352,2200,1510,112800,-0.015,0.002,-0.084,8,50,8379,5736,2643,391,206,191,110630,110100,0.094,0.056,699,153000,111700,0.01453,699,153000,111700,0.01453,699,153000,111700,0.01453,부산산업,0.01453
3755,20250616,010580,0.065,0.258,-0.046,0.02,636,198,24238925,12861934,10238500,38981,39935,1671,0.071,0.131,0.034,24,42,1555812,901282,654530,6012,6134,150,104600,1829,0.094,0.057,699,153000,1725,-0.05686,699,153000,1725,-0.05686,156,104900,1968,0.076,에스엠벡셀,-0.05686
3754,20250616,043710,0,0.084,-0.008,0.072,617,2,135967,47811,78079,198,369,789,0.025,0.139,-0.01,38,19,353047,125040,164538,323,365,272,114700,836,0.12,0.072,699,153000,858,0.02632,699,153000,858,0.02632,699,153000,858,0.02632,서울리거,0.02632
3753,20250616,004090,0.01,0.3,-0.008,0.3,239,0,9120901,4165721,4897197,38856,44916,17160,0.241,0.247,0.128,0,25,1600667,971518,629149,9704,7499,1,93130,20450,0.082,0.05,83,101230,19430,-0.04988,91,101630,19220,-0.06015,68,100500,19630,-0.0401,한국석유,-0.04988
3752,20250616,026040,0.035,0.13,-0.068,0.056,739,386,2070167,1025170,965814,4638,4968,3365,0.001,0.05,-0.04,7,44,307269,141251,148591,773,712,227,112430,3420,0.094,0.057,699,153000,3550,0.03801,699,153000,3550,0.03801,699,153000,3550,0.03801,제이에스티나,0.03801
3751,20250616,000440,-0.045,0.3,-0.045,0.3,291,0,3665576,1687390,1948561,21779,24966,21800,0.19,0.197,0.041,0,28,500518,297788,202730,4994,3770,1,93130,24500,0.12,0.072,77,100930,22700,-0.07347,77,100930,22350,-0.08776,68,100500,23050,-0.05918,중앙에너비스,-0.07347
3750,20250616,000320,-0.002,-0.002,-0.069,-0.06,0,748,216249,131961,78844,1531,1456,21150,0.002,0.007,-0.054,0,15,148223,47311,48465,341,599,11,93630,20850,0.065,0.05,514,134800,22250,0.06715,699,153000,21950,0.05276,438,131000,21950,0.05276,노루홀딩스,0.06715
3749,20250613,460870,0.016,0.025,-0.017,-0.009,78,687,356722,214159,133507,2166,2232,6390,0.016,0.019,-0.041,0,41,187815,49314,138501,501,467,149,104530,6380,0.062,0.05,699,153000,6610,0.03605,699,153000,6610,0.03605,699,153000,6610,0.03605,에스엠씨지,0.03605
3748,20250613,405000,0,0.016,-0.011,-0.008,7,3,5518,4493,992,118,117,9420,0.018,0.018,-0.04,0,50,1871,1149,722,18,10,188,110500,9390,0.061,0.05,699,153000,9060,-0.03514,699,153000,9060,-0.03514,246,113400,9010,-0.04047,플라즈맵,-0.03514
3747,20250613,389470,0.007,0.009,-0.062,-0.049,24,223,501578,317506,178398,6176,5039,42450,0,0.034,-0.027,9,42,125596,68129,57467,1262,1193,1,93130,42850,0.063,0.05,97,101930,40700,-0.05018,235,112830,40250,-0.06068,41,95130,41100,-0.04084,인벤티지랩,-0.05018
3746,20250613,377030,-0.011,0.052,-0.046,-0.017,267,23,976703,548464,412777,2055,2154,4375,-0.006,0.007,-0.051,4,41,262381,197844,64537,315,258,4,93300,4310,0.061,0.05,699,153000,4415,0.02436,699,153000,4415,0.02436,699,153000,4415,0.02436,비트맥스,0.02436
3745,20250613,241770,0,0.036,0,0.018,42,0,28488,13408,14428,229,346,12700,-0.007,0.008,-0.071,1,10,8152,5517,2635,110,86,12,93700,12590,0.085,0.051,699,153000,12600,0.00079,699,153000,12600,0.00079,699,153000,12600,0.00079,메카로,0.00079
3744,20250613,226440,0.017,0.373,-0.119,-0.119,120,760,16561312,1536,29536,30,13,52,0.019,0.019,-0.058,0,50,746758,0,0,0,0,119,103030,52,0.082,0.05,299,120030,49,-0.05769,299,120030,49,-0.05769,239,113030,50,-0.03846,한송네오텍,-0.05769
3743,20250613,184230,0.016,0.117,-0.047,0.067,70,14,5710636,3195850,2344546,7577,7912,593,0.035,0.037,-0.054,0,37,573756,318293,248364,390,269,13,93730,593,0.096,0.058,699,153000,617,0.04047,699,153000,617,0.04047,467,132430,640,0.07926,SGA솔루션즈,0.04047
3742,20250613,168330,0.04,0.21,0.022,0.1,300,660,778493,1981,725,9,11,5500,-0.011,0.02,-0.101,23,49,341408,206043,135365,1278,983,168,105500,5360,0.12,0.072,699,153000,5110,-0.04664,699,153000,5110,-0.04664,339,122030,5050,-0.05784,내츄럴엔도텍,-0.04664
3741,20250613,158430,-0.017,0.164,-0.017,0.049,480,0,18421118,9312084,8552098,55298,58852,8070,0.056,0.086,0.016,9,31,2024925,1136040,888885,5536,5145,3,93230,8510,0.068,0.05,85,101330,9100,0.06933,699,153000,8400,-0.01293,84,101300,8990,0.0564,아톤,0.06933
3740,20250613,136150,0.01,0.084,-0.002,0.057,643,10,468852,220352,244633,3815,3999,25900,0.089,0.11,0.046,2,39,326929,209646,117283,3282,2787,29,94530,28100,0.061,0.05,699,153000,27650,-0.01601,699,153000,27650,-0.01601,699,153000,27650,-0.01601,원일티엔아이,-0.01601
3739,20250613,124500,-0.031,0.128,-0.052,0.076,320,0,2546666,1263942,1199981,9863,10586,22750,0.007,0.011,-0.059,1,42,266579,177838,88741,1136,676,14,93800,22400,0.075,0.05,39,95030,21250,-0.05134,699,153000,22200,-0.00893,33,94730,21500,-0.04018,아이티센글로벌,-0.05134
3738,20250613,109740,-0,0.083,-0,0.082,138,0,399087,126318,268061,911,2158,7390,0.014,0.015,-0.049,0,27,39868,27318,12550,176,184,5,93330,7350,0.067,0.05,699,153000,7380,0.00408,699,153000,7380,0.00408,699,153000,7380,0.00408,디에스케이,0.00408
3737,20250613,103140,-0.012,0.05,-0.023,0.04,523,0,1063750,479253,527180,14232,15755,87600,0.145,0.161,0.07,1,19,1195212,674502,520710,19567,17673,1,93130,98600,0.085,0.051,35,94830,107100,0.08621,36,94900,108800,0.10345,32,94700,105400,0.06897,풍산,0.08621
3736,20250613,089150,-0.013,0.073,-0.028,-0.013,475,12,2681030,1421884,1196275,7484,8960,4435,0.027,0.029,-0.041,0,48,302657,221560,81097,1669,1377,400,125100,4460,0.073,0.05,543,140230,4235,-0.05045,699,153000,4325,-0.03027,511,134630,4280,-0.04036,케이씨티,-0.05045
3735,20250613,082270,0,0.133,-0.007,0.131,517,0,927055,355445,505211,7958,12697,67300,0.028,0.031,-0.048,0,29,154161,90770,63391,1851,1613,66,100400,67500,0.083,0.05,699,153000,69800,0.03407,699,153000,69800,0.03407,699,153000,69800,0.03407,젬백스,0.03407
