,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,iBID,tBID,prcBID,gcut,lcut,iASK0,tASK0,prcASK0,profit0,iASK1,tASK1,prcASK1,profit1,iASK2,tASK2,prcASK2,profit2,hname,profit
4028,20250702,223310,-0.02,0.032,-0.044,0,664,60,796389,483818,296345,2316,2036,5950,0.017,0.176,-0.008,25,1,1007235,513178,459304,2824,3179,62,100200,6570,0.12,0.072,386,124400,6100,-0.07154,467,132430,6000,-0.08676,372,123700,6190,-0.05784,딥마인드,-0.07154
4027,20250702,217500,0,0.006,-0.016,-0.004,4,491,58422,38897,18859,170,320,1743,-0.002,-0.002,-0.069,0,48,13519,10522,2997,109,21,1,93130,1696,0.072,0.05,699,153000,1724,0.01651,699,153000,1724,0.01651,699,153000,1724,0.01651,러셀,0.01651
4026,20250702,267270,0.004,0.043,-0.012,-0.007,64,689,168413,88915,77118,3388,3092,75500,0.091,0.183,0.072,20,3,1501776,760705,741071,22042,25027,34,94800,86000,0.104,0.062,699,153000,87000,0.01163,699,153000,87000,0.01163,699,153000,87000,0.01163,HD현대건설기계,0.01163
4025,20250702,205500,0.018,0.1,-0.029,-0.003,2,20,4888554,2553354,2231661,12517,13765,4440,-0.056,-0.014,-0.077,16,6,614157,348474,236415,903,773,15,93830,4270,0.068,0.05,62,100200,4055,-0.05035,66,100400,4010,-0.06089,34,94800,4095,-0.04098,넥써쓰,-0.05035
4024,20250702,093240,-0.009,0.009,-0.13,-0.096,0,135,6498379,3443247,2037495,10818,10114,3120,0.13,0.133,-0.064,0,38,7460676,4484108,2885702,10574,8760,44,95300,3260,0.12,0.072,699,153000,3180,-0.02454,699,153000,3180,-0.02454,97,101930,3575,0.09663,형지엘리트,-0.02454
4023,20250702,042670,0.006,0.023,-0.017,-0.011,77,748,2300053,1212397,1014217,10041,10137,12500,0.034,0.052,-0.008,14,37,4146746,2207522,1939224,14085,12961,29,94530,12850,0.06,0.05,699,153000,13190,0.02646,699,153000,13190,0.02646,699,153000,13190,0.02646,HD현대인프라코어,0.02646
4022,20250702,084440,-0.01,-0.01,-0.034,-0.019,0,419,46034,28522,16315,180,160,1217,0.005,0.005,-0.053,0,39,6128,5639,489,21,29,385,124330,1204,0.062,0.05,699,153000,1187,-0.01412,699,153000,1187,-0.01412,699,153000,1187,-0.01412,유비온,-0.01412
4021,20250702,020760,-0.001,0.029,-0.045,-0.029,195,11,832069,543225,254326,832,921,997,0.13,0.132,0.022,0,36,684539,431955,252584,1012,885,108,102500,1088,0.108,0.065,128,103500,1017,-0.06526,699,153000,1068,-0.01838,128,103500,1032,-0.05147,일진디스플,-0.06526
4020,20250702,054180,0.007,0.277,0.007,0.155,28,0,41842582,20608228,19619828,15325,27340,171,0.018,0.029,-0.058,1,7,2611776,1749230,862546,501,360,62,100200,171,0.093,0.056,212,111700,161,-0.05848,221,112130,160,-0.06433,195,110830,163,-0.04678,메디콕스,-0.05848
4019,20250702,007700,0.009,0.134,0.005,0.068,145,11,587494,269439,305506,4590,6000,23500,-0.038,-0.015,-0.081,0,40,66963,45278,21685,561,449,260,114100,22450,0.072,0.05,699,153000,22600,0.00668,699,153000,22600,0.00668,699,153000,22600,0.00668,F&F홀딩스,0.00668
