,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3283,20241023,180400,135621,135616,141829,2585,2350,2895,2530,17,40,2600,10.400,2895,2600,17,0,92.570,8834843,4436026,4106552,12970,13643,546,1.330,9.980,5.740,23529,20689,3400,2355,4080,2355,0.050,-0.088,-0.079,667,748,DXVX,-0.048
3000,20241017,087600,125414,125409,131619,7980,7250,8190,6980,40,31,7160,-1.240,7300,7080,17,4,49.340,156053,98742,48722,1220,1171,234,-0.670,1.820,1.240,2422,13,7600,6900,9490,6740,0.013,-0.007,-0.004,614,543,픽셀플러스,-0.004
2990,20241017,456070,123039,123037,125247,22250,20200,23700,22300,6,27,23500,17.910,23700,22600,6,20,135.290,2743927,1157069,1565434,13157,17491,562,2.010,18.160,13.080,60975,293216,38250,18350,38250,17200,0.047,-0.009,0.023,535,467,이엔셀,0.023
2817,20241015,294090,111120,111117,113327,5790,5260,5850,5560,39,27,5740,7.690,5780,5600,7,19,105.550,410082,193972,204737,1085,1387,539,0.870,7.690,2.680,2284,50,7150,5330,15080,5330,0.167,-0.009,0.024,454,309,이오플로우,0.080
2778,20241015,456010,91406,91401,93616,8310,7550,8520,7980,39,19,8380,10.260,8400,7980,4,19,123.690,860564,352359,435838,2459,3022,426,4.330,23.470,16.750,50100,13484,11540,7580,11540,6410,0.124,-0.042,0.038,554,95,아이씨티케이,0.080
2770,20241015,452160,90824,90820,93032,7150,6500,7210,6660,40,14,6840,6.050,7000,6660,9,14,87.420,228463,111583,97545,923,1181,12,1.120,19.120,9.850,71509,232,7930,6210,12470,6210,-0.006,-0.110,-0.064,61,670,제이엔비,-0.048
2721,20241014,140430,92111,92106,94319,3725,3385,3820,3590,15,24,3760,12.070,3820,3665,15,20,129.210,1217179,510846,660041,4184,5204,234,0.640,12.070,4.380,4508,101555,4540,3355,5180,3355,0.047,-0.052,-0.052,129,760,카티스,-0.048
2711,20241014,069640,90222,90215,92425,1930,1754,1990,1777,29,35,1844,5.190,1919,1836,18,10,93.230,404370,186908,174249,2366,2897,496,0.670,5.190,1.820,767,23,2305,1660,2305,1561,0.011,-0.065,-0.065,50,760,한세엠케이,-0.048
2543,20241008,059270,100913,100911,103117,8380,7610,9160,8190,31,40,8560,12.780,8990,8430,4,15,110.800,1531873,717880,795444,5590,6120,505,-0.270,14.200,12.650,5491,13217,11690,7590,14110,7590,0.027,-0.078,-0.057,562,415,해성에어로보틱스,-0.048
2534,20241008,456070,95148,95144,101350,23100,21000,23500,22150,6,25,23150,8.430,23500,22200,6,14,124.850,2011512,878780,1097147,12337,19093,376,1.640,10.710,8.430,13313,45140,38250,17200,38250,17200,0.013,-0.073,-0.045,217,710,이엔셀,-0.048
2498,20241007,180400,132706,132700,134916,2960,2690,3025,2755,7,31,2955,10.880,3025,2800,7,15,112.620,5119482,2325419,2618870,6333,8921,546,1.500,10.690,2.340,14711,129,4080,2510,4080,1689,0.066,-0.027,-0.014,591,735,DXVX,-0.014
2470,20241007,469750,104315,104314,110520,2110,1915,2185,2035,18,24,2095,9.690,2185,2085,18,0,101.300,4931530,2405847,2437072,8791,9946,445,4.320,18.530,13.110,29814,22212,4260,1910,4260,1910,0.093,-0.038,-0.038,334,760,아이비젼웍스,0.080
2394,20241002,091440,123024,123024,125231,5770,5240,6050,5750,4,17,5940,1.890,6050,5750,4,17,79.040,158927,85314,67434,635,607,373,0.610,24.520,18.020,162860,18440,6790,5690,10020,5690,0.030,-0.019,0.022,659,486,한울소재과학,0.022
2376,20241002,464500,103743,103742,105952,9330,8480,9770,8970,0,29,9670,8.900,9770,9280,0,8,103.290,2773950,1335453,1379330,9258,11484,307,-0.590,7.770,4.440,25602,422,11180,8880,11180,8880,0.006,-0.130,-0.122,251,759,아이언디바이스,-0.048
2373,20241002,080720,102152,102150,104357,3010,2735,3130,2910,38,30,3035,10.970,3065,2950,8,18,118.030,334268,146721,173182,1166,1289,172,-1.020,10.970,3.030,998,3813,5870,2450,6250,2450,0.072,-0.051,-0.038,226,756,한국유니온제약,-0.048
2317,20240930,084650,112320,112318,114523,3160,2870,3345,3155,6,40,3310,15.530,3345,3200,6,20,120.530,12005362,5338479,6434395,13417,17970,516,1.040,18.830,15.530,34543,38208,5100,2700,5100,2180,0.054,-0.060,0.005,671,530,랩지노믹스,-0.048
2294,20240930,069920,92855,92853,95101,1650,1500,1940,1582,28,38,1766,17.890,1845,1760,15,5,92.920,1322833,665348,618238,3871,5136,136,0.550,18.890,5.100,2369,955,2200,1498,2800,1498,0.009,-0.118,-0.086,114,715,엑시온그룹,-0.048
2221,20240927,030350,91330,91329,93534,289,262,302,267,39,26,277,6.540,283,269,8,18,108.800,5197260,2432368,2646362,1515,2193,289,5.190,29.860,14.720,1522,2287,490,251,490,251,0.025,-0.040,-0.040,77,760,드래곤플라이,-0.040
2150,20240926,101390,101104,101059,103312,3985,3620,4200,3670,40,18,3810,15.630,3830,3670,5,18,86.760,854442,446584,387436,2389,2823,393,2.620,15.820,15.780,27647,3185,5850,2815,6670,2815,0.092,-0.001,0.089,348,193,아이엠,0.080
