,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3247,20250704,317530,101955,101953,112204,5910,5370,6000,4920,119,54,5020,6.130,5040,4995,10,11,73.560,474311,268310,197358,3321,3815,316,3.060,30.000,19.830,9174,26602,5450,4395,7300,4395,4,0.034,-0.036,-0.010,505,727,캐리소프트,-0.010
3246,20250704,317530,101503,101502,111716,5210,4730,6000,4920,109,44,5030,6.340,5080,4995,18,1,74.280,470567,265042,196882,3281,3795,316,2.920,30.000,19.400,9154,26011,5450,4395,7300,4395,4,0.032,-0.038,-0.012,505,727,캐리소프트,-0.012
3245,20250704,435570,100505,100500,110710,24700,22450,24950,22950,118,2,23100,10.790,24100,22950,10,2,105.760,4389828,2120064,2242111,33307,38324,316,3.000,30.000,23.280,9131,24372,-1,-1,-1,-1,5,0.091,0.000,0.091,760,257,에르코스,0.091
3244,20250704,435570,94637,94637,104855,22300,20250,24950,22150,81,106,23350,11.990,23800,23250,6,1,108.190,4159734,1984797,2147284,31354,36253,316,3.480,30.000,21.980,9095,22742,-1,-1,-1,-1,5,0.079,-0.017,0.079,760,252,에르코스,0.079
3243,20250704,208640,94159,94158,104415,279,253,276,262,108,0,262,3.560,266,262,18,0,163.960,1725049,629614,1032299,516,643,265,0.080,12.170,6.050,29316,821,284,248,327,248,0,0.017,-0.033,-0.010,304,726,썸에이지,-0.010
3242,20250704,235980,94031,94026,104244,4215,3830,4355,4000,115,61,4030,5.220,4055,4005,7,14,96.200,1075749,540601,520052,2694,3641,389,-1.000,5.220,4.880,4453,5074,4090,3400,4090,2750,0,0.059,-0.008,0.040,675,447,메드팩토,0.040
3241,20250704,131400,92940,92934,103152,1918,1743,2035,1905,27,120,1956,23.330,1985,1944,14,16,96.590,22493745,11146789,10766359,30195,31946,287,0.190,23.270,5.270,42643,5246,1586,1220,1587,1220,0,0.011,-0.076,-0.046,665,496,이브이첨단소재,-0.048
3240,20250704,317240,92933,92933,103148,248,225,251,233,118,35,236,3.060,237,235,3,0,108.610,2986161,1318114,1431602,591,763,506,-0.450,5.000,3.060,9984,714,256,218,322,218,1,0.015,-0.015,-0.006,422,296,TS트릴리온,-0.006
3239,20250704,008970,92714,92713,102918,1734,1576,1749,1576,75,4,1584,3.390,1621,1576,11,4,85.330,103109519,54711831,46684807,67873,74976,184,-0.600,4.310,3.390,37683,172841,1664,1266,1795,985,16,0.021,-0.061,-0.054,497,721,동양철관,-0.048
3238,20250704,114190,92616,92614,102831,8840,8030,9740,8830,89,120,9120,17.680,9420,9120,20,0,97.480,5067150,2518644,2455285,21980,22525,523,0.380,17.680,3.040,45882,172049,7750,6110,7750,6000,0,0.090,-0.028,0.065,651,195,강원에너지,0.065
3237,20250704,069920,92553,92552,102800,1720,1562,1868,1695,82,117,1744,9.000,1822,1736,9,3,86.160,554270,294572,253791,1127,1560,136,-0.610,9.440,0.680,988,53,2315,1479,3145,1128,0,0.002,-0.036,-0.012,178,189,엑시온그룹,-0.012
3236,20250704,900340,92111,92109,102319,1336,1214,1328,1252,120,91,1300,7.080,1308,1278,19,20,112.180,2251824,1015956,1139731,1989,2643,228,16.530,30.000,29.670,8990,8280,1354,1121,1707,1121,4,0.108,-0.004,0.016,478,167,윙입푸드,0.016
3235,20250704,900260,92100,92058,102316,828,752,857,757,0,97,857,25.480,857,792,0,20,110.320,4369492,2007552,2214739,3174,4722,228,16.530,30.000,29.670,8990,8280,688,582,688,481,0,0.033,-0.002,0.033,171,166,로스웰,0.032
3234,20250704,900270,92010,92008,102215,289,262,290,265,5,84,282,21.550,290,273,5,20,129.670,72644255,30887641,40052519,11761,24834,316,4.470,30.000,23.040,8990,174,248,220,250,204,3,0.055,-0.062,-0.062,484,760,헝셩그룹,-0.048
