,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
2169,20240927,030350,91330,91329,94541,289,262,302,267,59,46,281,8.080,284,274,13,17,108.250,5761574,2709692,2933352,1908,2734,289,5.420,29.860,18.820,1532,2857,490,251,490,251,0.007,-0.053,-0.053,148,760,드래곤플라이,-0.048
2168,20240927,083660,91021,91020,94227,950,862,945,874,59,32,905,4.020,928,882,17,20,116.780,38018,15628,18250,107,84,110,0.710,10.170,8.190,478,3062,980,870,1215,870,0.007,-0.032,-0.002,97,564,CSA 코스믹,-0.002
2147,20240926,070300,134823,134818,142026,5130,4655,5230,5050,34,53,5180,14.350,5180,5100,0,5,188.090,207542,71005,133551,636,1633,97,2.070,14.350,9.610,1028,40176,9320,4470,11800,3255,0.044,-0.033,-0.006,648,693,엑스큐어,-0.006
2101,20240926,101390,101104,101059,104313,3985,3620,4200,3670,60,38,3940,19.580,3980,3775,1,12,90.900,915979,469123,426434,2507,2966,289,3.010,19.580,4.640,3424,37,5850,2815,6670,2815,0.056,-0.019,0.053,348,225,아이엠,0.053
2090,20240926,101390,93441,93439,100644,3625,3295,3780,3540,57,48,3710,12.590,3755,3615,1,15,95.170,477791,239344,227779,1337,1920,393,2.160,12.750,9.330,1762,10233,5850,2815,6670,2815,0.121,-0.005,0.119,348,168,아이엠,0.080
2089,20240926,180400,93147,93144,100351,2840,2580,2840,2720,59,29,2790,-4.620,2795,2740,1,17,130.800,3402930,1326137,1734527,3543,5419,346,1.560,29.980,2.730,12376,444,4080,2510,4080,1689,0.020,-0.023,0.005,695,174,DXVX,0.005
2079,20240926,062970,91152,91150,94355,1839,1669,1970,1777,10,55,1954,-12.960,1970,1887,10,19,103.380,1192481,514032,531387,1647,1987,373,1.010,6.550,5.840,38009,2877,3070,1716,3875,1716,0.095,-0.062,0.080,710,249,피피아이,-0.048
1941,20240924,089140,110358,110358,113601,3080,2800,3050,2820,56,37,2920,4.850,2925,2870,2,15,77.790,79421,40596,31580,328,452,297,5.370,30.000,29.900,20646,26965,3280,2710,3370,2600,0.000,-0.034,-0.033,312,435,넥스턴바이오,-0.033
1909,20240924,054180,92030,92025,95236,462,420,486,440,60,15,454,7.080,454,440,0,15,82.850,638666,328077,271804,410,373,250,1.040,21.440,7.080,9469,292,637,417,769,417,0.013,-0.035,-0.026,182,619,메디콕스,-0.026
1904,20240924,066790,91020,91018,94222,1681,1528,1715,1607,22,56,1650,7.700,1685,1645,20,0,127.370,2972603,1245561,1586483,2544,3096,537,2.900,17.390,7.700,21976,4912,2775,1491,3035,1491,0.004,-0.048,-0.019,91,254,씨씨에스,-0.048
1860,20240923,032980,110618,110616,113828,845,768,880,812,41,19,860,15.440,871,812,3,19,118.860,1104501,487731,579740,956,1462,110,0.690,15.440,12.060,901,12971,1123,745,1265,745,-0.001,-0.078,-0.060,316,697,바이온,-0.048
1852,20240923,035080,103430,103429,110641,12080,10980,13200,11420,56,9,11720,7.820,11750,11420,20,9,71.850,338147,194310,139620,3679,3872,483,1.010,7.820,-0.500,4184,93,14030,10870,14570,10870,0.195,-0.026,0.038,604,320,그래디언트,0.080
1812,20240920,080720,135200,135159,142404,2800,2545,3060,2735,36,49,2880,13.390,2945,2805,18,9,102.970,902548,432419,445255,2393,2740,172,2.140,29.830,25.160,6525,123430,6250,2450,6250,2450,0.005,-0.049,-0.024,658,720,한국유니온제약,-0.048
1709,20240919,070300,132430,132424,135632,4700,4270,4700,4400,59,39,4545,-4.210,4550,4425,1,4,54.050,222169,142372,76953,1024,1359,97,-0.800,3.490,2.700,584,480,9320,4620,11800,3255,0.034,-0.021,0.019,755,638,엑스큐어,0.019
1695,20240919,302550,110200,110156,113406,3155,2865,3190,2895,60,29,2985,4.190,2990,2955,18,1,75.680,273874,146652,110990,758,935,377,2.060,26.920,23.250,90967,54465,3400,2865,3400,2865,0.037,-0.012,0.008,486,335,리메드,0.008
1671,20240919,352770,90542,90538,93749,790,718,795,736,60,36,762,4.960,771,756,1,5,99.450,364048,170863,169917,327,408,376,1.340,7.050,6.420,295,8659,1303,682,1768,682,0.034,-0.024,0.024,657,200,클리노믹스,0.024
1653,20240913,042940,134322,134322,141526,2380,2160,2370,2215,60,11,2315,7.180,2345,2215,1,11,182.110,57041,19357,35252,118,141,322,0.730,7.180,7.090,127,352,3280,2110,3690,2110,0.009,-0.030,0.004,670,655,상지건설,0.004
1638,20240913,263050,110340,110336,113546,2740,2490,2840,2575,59,30,2650,12.290,2665,2595,20,9,102.630,947100,456431,468413,1832,2000,448,0.260,12.290,10.430,2509,6183,3600,2305,3600,1788,0.153,-0.019,0.087,744,537,유틸렉스,0.080
1617,20240913,001290,92630,92628,95834,506,460,577,485,51,54,499,8.480,510,487,20,14,81.770,2960516,1569712,1283593,2085,2896,151,1.780,8.480,5.000,1582,2460,616,450,644,450,0.064,-0.032,-0.030,408,747,상상인증권,-0.030
1594,20240913,357880,90021,90016,93234,2785,2365,2780,2490,55,25,2555,8.030,2555,2495,0,17,50.890,158418,99016,50391,602,617,480,0.400,13.530,8.030,7897,420,3119,2197,3119,2008,0.033,-0.025,-0.022,263,205,비트나인,-0.022
1566,20240912,424980,91213,91212,94422,6750,6130,6950,6340,60,33,6580,7.520,6660,6510,18,20,191.550,49824,16289,31201,275,389,14,3.890,21.830,7.520,10917,330,9440,5810,13410,5810,0.000,-0.056,-0.027,88,257,마이크로투나노,-0.048
1565,20240912,069330,91143,91139,94346,1362,1238,1360,1276,60,56,1313,5.630,1313,1295,0,10,133.300,128980,43812,58403,110,193,209,4.130,15.450,5.630,5631,170,1512,1235,1512,1235,0.000,-0.020,-0.013,87,565,유아이디,-0.013
1562,20240912,224060,90534,90529,93739,4470,3975,4350,4000,60,37,4210,2.680,4215,4140,2,13,112.980,26624,11021,12451,185,225,12,4.680,11.840,11.530,9703,38111,5640,4100,5730,4100,0.086,-0.013,0.042,345,76,더코디,0.080
1548,20240911,403490,141850,141849,145102,1962,1783,1932,1788,1,4,1899,6.570,1932,1788,1,4,87.850,2358632,1219438,1071299,3362,3958,206,0.020,7.840,6.450,15691,4415,2245,1782,2465,1782,0.006,-0.054,-0.048,702,739,우듬지팜,-0.048
1537,20240911,062040,133500,133459,140707,35950,32650,36650,35350,1,18,36350,11.850,36650,35350,1,18,126.420,1011619,443627,560835,7892,12218,123,2.310,12.000,11.700,35380,194599,52800,29650,55500,29650,0.011,-0.032,-0.029,625,759,산일전기,-0.029
1533,20240911,110790,132156,132155,135400,7230,6560,7930,6030,56,38,6200,-5.340,6340,6100,20,4,80.750,417054,222100,179337,3148,3904,496,-1.370,1.760,1.250,46,3,7700,6550,8370,6550,0.045,-0.031,0.032,740,639,크리스에프앤씨,0.032
1529,20240911,420770,130807,130804,134016,36100,32800,36000,34200,60,30,35150,6.190,35150,34700,0,20,129.220,109946,44997,58143,1067,1844,557,8.190,29.970,24.640,77914,121391,47000,33050,53600,33050,0.060,0.000,0.024,583,560,기가비스,0.024
1508,20240911,204270,114305,114304,121510,16740,15210,17360,16500,8,41,17070,14.330,17360,16780,8,19,86.130,1509687,790695,681055,6988,7038,557,9.060,29.970,21.310,69849,53571,22150,14930,31250,14930,0.037,-0.032,0.002,485,743,제이앤티씨,0.002
1492,20240911,282720,110427,110426,113637,11050,10040,11220,10140,60,44,10400,7.770,10620,10330,18,8,87.930,445809,224165,197101,2594,2816,329,3.660,17.740,16.020,2961,3987,12540,9650,14450,9650,0.206,-0.041,0.147,744,363,금양그린파워,0.080
1479,20240911,208370,101855,101852,105100,4420,4015,4980,4415,41,60,4680,15.560,4840,4625,20,10,78.340,3632478,1986599,1556347,10065,10634,543,2.360,15.560,6.920,17292,33141,5760,4000,5760,3760,0.124,0.010,0.124,730,530,셀바스헬스케어,0.080
1475,20240911,078860,95055,95053,102302,7320,6650,7520,7170,41,57,7390,11.130,7450,7390,18,0,138.910,32796,13370,18572,224,233,128,1.670,11.130,3.970,232,1397,10080,6650,10080,4085,0.139,0.001,0.093,756,202,엔에스이엔엠,0.080
1463,20240911,114450,93356,93352,100603,2600,2360,2690,2420,60,9,2490,18.290,2530,2420,15,9,87.530,2840817,1459545,1277588,4926,5724,468,4.530,18.290,4.480,7141,335427,4170,1715,4170,1715,0.010,-0.104,-0.088,531,731,그린생명과학,-0.048
1456,20240911,114450,92530,92530,95733,2325,2110,2690,2275,43,59,2500,18.760,2610,2465,14,2,89.430,2474342,1251475,1119183,4161,5073,468,4.940,18.760,6.140,6238,307656,4170,1715,4170,1715,0.006,-0.108,-0.092,116,731,그린생명과학,-0.048
1451,20240911,106080,90804,90759,94011,3300,3000,3270,2680,60,9,2810,-23.010,2810,2680,0,9,44.850,574858,354641,159052,1038,944,279,0.930,10.440,5.370,378,138,5570,3650,6360,3650,0.125,-0.016,0.068,349,94,하이소닉,0.080
1377,20240910,307870,100835,100830,104043,1612,1465,1658,1551,41,18,1609,-22.640,1627,1551,2,18,64.820,7165547,3915557,2537931,6398,5645,276,-0.170,4.680,4.470,2777,6501,3725,1870,3760,1717,0.050,-0.046,-0.032,367,697,비투엔,-0.032
1371,20240910,016100,94128,94124,101332,3090,2805,3365,2755,58,41,2865,2.140,2875,2825,19,17,68.830,252253,140271,96545,1057,1138,110,0.860,19.230,8.370,8226,8900,3100,2765,3860,2765,0.016,-0.037,-0.030,440,741,리더스코스메틱,-0.030
1350,20240910,900300,90639,90636,93845,70,63,76,64,34,19,68,7.940,69,64,20,19,105.130,39571029,18293533,19232706,1709,6259,316,2.350,12.300,9.990,57829,172,84,62,139,62,0.000,-0.059,-0.059,77,298,오가닉티코스메틱,-0.048
1348,20240910,051380,90535,90530,93748,2445,2220,2745,2315,36,60,2475,11.740,2630,2470,9,0,85.090,1689155,891679,758687,6396,8103,349,6.660,30.000,29.920,805,8493,3210,2215,3520,2215,0.162,0.002,0.162,756,76,피씨디렉트,0.080
1332,20240909,451220,140937,140931,144147,8600,7810,8790,8540,0,58,8790,7.200,8790,8710,0,1,80.510,94683,49760,40062,796,1868,536,2.710,10.250,6.710,8038,786,15230,8200,22600,8200,0.011,-0.010,0.001,721,759,아이엠티,0.001
1314,20240909,255440,133153,133152,140359,7400,6650,7690,6900,58,55,7110,2.300,7130,7020,7,19,151.660,50356,19740,29938,468,644,9,1.120,10.990,10.790,13717,2361,8290,6950,11720,6950,0.027,-0.006,0.001,719,608,야스,0.001
1313,20240909,234100,132836,132834,140043,1369,1244,1439,1257,57,9,1291,0.620,1314,1257,12,9,68.000,362019,199457,135629,660,542,27,0.670,20.700,6.300,31695,5976,1568,1275,1794,1275,0.056,0.002,0.012,611,601,폴라리스세원,0.012
1308,20240909,417840,132600,132558,135810,7950,7160,8430,7340,57,28,7610,3.820,7610,7460,0,16,80.930,144580,77654,62844,1368,1788,12,1.590,8.920,7.810,6541,849,10050,7200,12050,7200,0.022,-0.017,-0.012,654,616,저스템,-0.012
1303,20240909,354200,131457,131454,134701,2530,2300,2900,2455,48,20,2660,13.190,2870,2455,12,20,103.010,723439,343910,354266,3329,4154,377,2.120,15.060,13.190,29433,1947,3490,2350,3500,2350,0.102,0.000,0.038,581,574,엔젠바이오,0.080
1300,20240909,462350,130606,130602,133816,18020,16380,18690,16950,18,53,18560,11.740,18690,18170,18,20,115.310,318435,141181,162799,3033,3137,200,1.290,11.740,5.360,5576,2151,24000,16420,34450,16420,0.013,-0.096,-0.089,558,756,이노스페이스,-0.048
1294,20240909,331920,123224,123223,130433,4865,4420,5490,4905,35,60,5260,18.200,5380,5050,19,7,92.190,1359286,686742,633126,4581,5800,516,2.350,18.200,9.090,6887,1044,9350,3560,9350,3405,0.099,-0.030,0.023,698,502,셀레믹스,0.080
1250,20240909,291650,100816,100813,104022,2340,2125,2450,2220,53,46,2285,5.790,2410,2280,16,0,75.210,1508175,829342,623754,7708,7406,389,0.160,27.400,6.250,13245,3519,3820,1964,3820,1964,0.024,-0.059,-0.048,217,697,압타머사이언스,-0.048
1247,20240909,461300,95305,95305,102512,18830,17110,19570,18300,8,43,18900,7.940,19570,18600,8,17,97.520,1606016,793032,773375,13071,13643,562,0.150,7.940,3.580,30210,42511,23200,17510,23200,17510,0.007,-0.053,-0.040,174,613,아이스크림미디어,-0.048
1241,20240909,180400,93704,93702,100909,3050,2770,3095,2900,59,35,3035,20.920,3080,2940,3,9,97.280,5893684,2921159,2841700,12364,14275,540,2.140,20.920,11.810,17313,76950,4080,2510,4080,1689,0.071,-0.035,0.040,754,233,DXVX,0.040
1233,20240909,180400,92046,92044,95255,2780,2525,3095,2750,26,60,2930,16.730,3085,2900,17,2,94.790,4828810,2411790,2286195,9420,10638,540,1.700,16.530,12.340,14109,59878,4080,2510,4080,1689,0.109,-0.002,0.077,754,105,DXVX,0.080
1218,20240909,219550,90544,90544,93748,264,240,312,264,27,22,300,25.000,303,273,0,20,78.720,12000549,6575001,5175938,2177,3805,517,0.970,23.750,3.930,3513,4634,620,228,806,228,0.040,-0.023,0.040,102,77,디와이디,0.036
1210,20240909,322780,90124,90118,93328,781,710,781,712,59,41,731,5.330,744,724,13,4,89.640,1195937,557681,499884,1605,2257,127,-0.700,8.370,7.410,940,3443,1228,694,1389,694,0.030,-0.022,0.030,758,312,코퍼스코리아,0.030
1198,20240906,403490,130502,130455,133712,2060,1870,2070,1898,52,22,1964,5.030,1973,1913,14,20,91.550,3574459,1829099,1674571,5372,6009,206,-1.450,5.030,0.220,7106,59,2245,1818,2595,1818,0.018,-0.084,-0.084,565,760,우듬지팜,-0.048
1172,20240906,372910,103937,103936,111140,4145,3765,4300,3790,2,45,4240,13.670,4300,3925,2,18,101.910,8153691,3975743,4051502,42507,20661,335,1.590,29.920,21.310,14242,18814,5140,3680,5710,3680,0.079,-0.035,0.020,475,351,한컴라이프케어,0.020
1159,20240906,024060,93602,93600,100810,15480,14070,15720,14930,9,26,15450,7.740,15720,14950,9,16,103.860,2880582,1385025,1438535,15023,16518,177,0.100,7.670,0.710,43658,711,20300,12670,20300,12670,0.003,-0.070,-0.058,150,722,흥구석유,-0.048
1127,20240905,357580,141003,141003,144208,8630,7840,9350,7720,23,5,8020,2.560,9280,7720,20,5,103.660,864071,420337,435738,4522,4561,321,1.220,20.920,3.280,8210,86545,9150,7510,11820,7510,0.031,-0.021,-0.021,684,760,아모센스,-0.021
