,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,noNEWS,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3428,20250704,284620,140823,140819,145027,1168,1061,1288,1096,27,72,1224,15.360,1260,1178,19,7,102.200,770092,366217,374285,2179,3068,436,-1.380,15.360,5.320,933,33233,1235,997,1460,997,1,0.039,-0.067,-0.058,715,758,카이노스메드,-0.048
3427,20250704,064260,140732,140730,144944,8720,7920,8790,8500,71,32,8590,24.490,8740,8560,13,2,107.070,91999192,44343982,47477183,204003,239676,272,1.450,24.490,2.260,380091,968,7350,3270,7350,2475,4,0.012,-0.026,-0.016,709,755,다날,-0.016
3426,20250704,037560,140040,140036,144246,3115,2830,3170,2860,0,31,3145,11.720,3170,2920,0,12,103.460,6105390,2944786,3046691,8467,9880,514,-1.190,11.720,3.250,18389,652,2925,2445,2925,2125,1,0.117,-0.013,0.052,730,686,LG헬로비전,0.052
3425,20250704,462860,135558,135556,143802,4785,4350,5030,4750,46,36,4870,12.600,4900,4795,3,9,103.310,21611724,10555633,10905496,44746,52673,582,1.620,19.120,17.440,13921,95890,5280,2460,5280,2313,0,0.009,-0.047,-0.040,680,748,더즌,-0.040
3424,20250704,033540,134600,134559,142817,1458,1325,1475,1317,76,3,1326,0.300,1345,1317,9,3,80.490,2944248,1601352,1288919,4308,4793,517,-1.780,2.160,1.420,43851,1219,1438,1270,1520,1270,1,0.026,0.001,0.010,731,656,파라텍,0.010
3423,20250704,060230,133527,133526,141738,587,533,582,537,80,11,546,12.810,550,537,20,11,104.250,8646238,4163228,4339992,4349,5116,348,0.440,25.510,12.600,345224,4659,489,421,676,421,3,0.003,-0.039,-0.007,647,703,소니드,-0.007
3422,20250704,060230,132746,132745,140953,533,484,586,521,65,77,546,12.810,561,543,14,2,103.890,8335103,4017896,4174189,4198,4989,348,0.410,26.230,12.810,333028,4491,489,421,676,421,3,0.003,-0.039,-0.007,647,703,소니드,-0.007
3421,20250704,122350,132006,132006,140210,1405,1277,1429,1341,79,40,1365,17.170,1409,1356,16,6,88.000,11162224,5863337,5159834,16219,19613,386,-1.360,17.080,2.020,14998,3257,1165,1125,1165,1021,0,0.043,-0.069,-0.052,611,758,삼기,-0.048
3420,20250704,334970,130521,130520,134734,4235,3850,4235,4075,80,53,4160,9.040,4170,4145,15,9,124.930,913939,403186,503692,1899,2508,172,-1.000,9.040,6.560,3734,7553,4200,3330,4335,3330,0,-0.002,-0.026,-0.004,583,648,프레스티지바이오로직,-0.004
3419,20250704,154030,130125,130124,134333,2680,2435,2710,2605,71,0,2605,-4.400,2620,2605,20,0,114.080,165806,68243,77852,470,521,206,-1.540,1.440,0.450,48,107,2800,2215,2800,1793,2,0.002,-0.012,-0.000,742,594,아시아종묘,-0.000
3418,20250704,143210,124641,124641,132850,2200,1999,2245,1991,79,33,2145,20.440,2170,1996,0,2,77.590,1419494,760051,589714,4220,5439,27,-0.630,20.440,16.910,2978,10397,1816,1553,1816,1553,1,-0.002,-0.185,-0.184,537,718,핸즈코퍼레이션,-0.048
3417,20250704,143210,124355,124352,132559,2290,2080,2285,1991,80,27,2025,13.700,2085,1998,8,3,76.230,1296190,695952,530509,3585,4374,27,-0.670,18.970,13.700,9918,2716,1816,1553,1816,1553,1,0.057,-0.137,-0.135,537,718,핸즈코퍼레이션,-0.048
3416,20250704,143210,124138,124134,132342,2085,1891,2285,1991,76,23,2005,12.580,2085,1999,4,9,76.240,1280593,687072,523792,3515,4256,27,-0.650,20.090,12.860,9121,2687,1816,1553,1816,1553,1,0.068,-0.128,-0.127,537,718,핸즈코퍼레이션,-0.048
3415,20250704,143210,123821,123820,132025,1960,1781,2285,1891,69,79,2050,15.100,2105,1991,20,16,75.940,1254807,673560,511518,3289,4009,27,-0.640,20.520,14.820,8053,2636,1816,1553,1816,1553,1,0.044,-0.147,-0.146,537,718,핸즈코퍼레이션,-0.048
3414,20250704,476040,123615,123613,131831,37900,34450,37950,36100,80,5,36700,10.710,37400,36100,20,5,97.010,1771221,896519,869677,20746,23832,574,-0.580,15.110,10.710,76220,34072,48150,28850,48150,28850,2,0.010,-0.031,-0.005,561,682,오가노이드사이언스,-0.005
3413,20250704,114190,122028,122024,130239,9780,8890,9780,9360,25,4,9420,21.550,9680,9360,19,4,96.230,7697643,3865362,3719682,33555,36035,523,0.670,21.680,2.720,70722,125385,7750,6110,7750,6000,0,0.055,-0.026,0.031,651,627,강원에너지,0.031
3412,20250704,041020,120523,120523,124737,6880,6250,6900,6540,80,16,6550,5.990,6650,6540,8,16,104.580,14262397,6958971,7277954,33733,41111,492,1.140,18.550,14.000,260089,72960,6520,5420,6520,4475,1,0.019,-0.011,-0.004,624,485,폴라리스오피스,-0.004
3411,20250704,950190,112356,112355,120606,11090,10080,11280,10300,61,0,10300,3.410,10530,10300,20,0,89.320,1093716,565280,504929,9232,11994,128,-1.340,3.410,2.930,11822,27,12220,7820,12220,6720,0,0.042,-0.001,0.001,553,373,고스트스튜디오,0.001
3410,20250704,299660,112035,112034,120249,4985,4530,5100,4840,73,59,4940,9.530,4975,4885,3,18,107.620,3383612,1594935,1716395,6913,8653,436,-1.240,9.530,4.620,16216,35,8890,4340,8890,2718,6,0.049,-0.051,-0.043,567,707,셀리드,-0.048
3409,20250704,122350,111104,111103,115318,1283,1166,1357,1263,72,59,1272,9.180,1300,1266,20,3,82.800,3531627,1914597,1585339,5809,6791,386,-1.250,9.100,2.020,4590,2981,1165,1125,1165,1021,0,0.120,-0.042,0.018,611,426,삼기,0.018
3408,20250704,057680,110231,110230,114438,1432,1301,1430,1336,80,1,1344,5.910,1370,1336,7,1,108.800,2564555,1206511,1312737,2781,3209,331,0.780,19.420,6.670,229541,3042,1495,798,1495,720,4,0.067,-0.015,0.007,542,373,티사이언티픽,0.007
3407,20250704,241770,104353,104353,112559,12490,11350,12860,12340,78,70,12560,13.670,12830,12550,13,0,142.300,164014,66164,94154,1238,1730,14,-1.190,13.670,2.190,2017,3617,13150,10820,13150,10080,0,0.011,-0.024,0.000,524,339,메카로,0.000
3406,20250704,033790,104037,104036,112248,4530,4115,4520,4110,80,18,4150,0.480,4180,4110,6,18,61.120,324394,191156,116827,1674,1377,64,-1.110,25.000,17.680,3518,53688,4940,3970,6360,3970,0,0.011,-0.022,-0.019,297,377,피노,-0.019
3405,20250704,900070,102639,102639,110850,515,468,540,487,0,69,539,29.570,540,526,0,10,120.450,6091589,2664075,3208876,3260,5005,228,19.000,30.000,29.870,9133,6268,422,407,439,384,1,-0.000,-0.063,-0.000,257,277,글로벌에스엠,-0.001
3404,20250704,900260,102153,102150,110405,858,780,887,859,0,79,887,29.870,887,887,0,0,69.040,7532599,3925209,2709892,3916,4982,228,18.480,30.000,29.870,9130,6252,688,582,688,481,0,-0.002,-0.002,-0.002,248,248,로스웰,-0.003
3403,20250704,064260,102055,102054,110308,7960,7230,8280,7690,1,70,8230,19.280,8280,7910,1,13,115.010,44543455,20650158,23750447,100085,115570,272,1.760,19.420,2.800,165036,3701,7350,3270,7350,2475,4,0.065,-0.018,0.027,627,469,다날,0.027
3402,20250704,317530,101955,101953,110208,5910,5370,6000,4920,79,14,5000,5.710,5140,4920,14,14,74.510,456397,256585,191169,3207,3722,316,3.400,30.000,23.710,9129,24053,5450,4395,7300,4395,4,0.038,-0.032,-0.006,505,727,캐리소프트,-0.006
3401,20250704,317530,101503,101502,105717,5210,4730,6000,4920,69,4,5050,6.770,5450,4920,20,4,75.670,449465,250942,189880,3168,3694,316,3.410,30.000,24.140,9122,23898,5450,4395,7300,4395,4,0.028,-0.042,-0.016,505,727,캐리소프트,-0.016
3400,20250704,435570,100505,100500,104715,24700,22450,24950,23250,78,23,23600,13.190,23800,23300,3,12,109.100,4138243,1965812,2144778,31125,36149,316,3.730,30.000,21.550,9094,22601,-1,-1,-1,-1,5,0.068,-0.027,0.068,760,252,에르코스,0.068
3399,20250704,435570,94637,94637,102847,22300,20250,24950,22150,41,66,24100,15.590,24400,23550,3,15,114.340,3775546,1748601,1999292,28057,33411,316,4.530,30.000,22.410,9016,20738,-1,-1,-1,-1,5,0.046,-0.048,0.046,760,252,에르코스,0.046
3398,20250704,208640,94159,94158,102403,279,253,276,262,68,40,266,5.140,266,264,0,4,167.210,1633136,587548,982452,474,586,265,0.180,10.340,5.140,18789,437,284,248,327,248,0,0.002,-0.047,-0.025,304,726,썸에이지,-0.025
3397,20250704,235980,94031,94026,102246,4215,3830,4355,4000,75,21,4030,5.220,4060,4010,9,19,97.030,1050162,525324,509742,2603,3501,389,-1.090,5.090,2.870,4350,1024,4090,3400,4090,2750,0,0.059,-0.008,0.040,675,190,메드팩토,0.040
