,date,shcode,etf,gubun,ytDiffO,ytDiffH,ytDiffL,ytDiff,ytClose,ytVolume,ytULPi,tdSDiff,tdOpen,noNEWS,30m(MAX),30m(MAXi),30m(MIN),30m(MINi),30m(CLOSE),value
10580,2025-02-07,079900,0,1,0.0642,0.1858,0.0388,0.1243,42050,3909459,-1,0.0297,43300,6,0.0927,19,0.0202,1,0.0773,0.04622705642420111
10579,2025-02-07,064350,0,1,0.0016,0.1948,-0.0622,0.1702,71500,8797851,-1,0.035,74000,5,0.1301,29,0.0308,0,0.1189,0.08106280193236715
10578,2025-02-07,012510,0,1,0.0094,0.1778,-0.012,0.1765,88000,2176042,-1,0.0091,88800,3,0.0455,2,0.0011,48,0.0102,0.0
10577,2025-02-07,005180,0,1,0.0115,0.1276,0.0013,0.1084,86900,149315,-1,0.0,86900,5,0.0,0,-0.0322,55,-0.0196,0.0
10576,2025-02-07,004440,0,1,0.0773,0.2997,0.0773,0.2997,4120,1571164,6,0.0947,4510,1,0.2427,21,0.0922,0,0.1917,0.09
10575,2025-02-07,003230,0,1,0.0554,0.1761,0.0497,0.1491,809000,383839,-1,0.0025,811000,13,0.0099,0,-0.0111,11,-0.0074,0.0
10574,2025-02-07,002995,0,1,0.0702,0.2993,0.0702,0.2433,14000,39038,300,-0.0786,12900,0,-0.0786,0,-0.0786,0,-0.0786,0.0
10573,2025-02-07,002410,0,1,0.1718,0.2984,0.1429,0.2875,3560,27036337,135,-0.0225,3480,4,-0.0028,23,-0.059,46,-0.0407,0.0
10572,2025-02-07,001470,0,1,0.0459,0.2206,0.0381,0.1187,999,64889486,-1,0.001,1000,9,0.02,20,-0.018,6,-0.004,0.0
10571,2025-02-06,466100,0,2,0.0134,0.2995,0.0125,0.2995,14580,35684572,325,0.0604,15460,4,0.1056,56,0.0213,4,0.0631,0.0025462089777441577
10570,2025-02-06,461030,0,2,0.0,0.1601,-0.001,0.1265,11400,706832,-1,0.0254,11690,0,0.0254,0,-0.0158,10,0.0044,-0.02047981275599775
