,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,ihTDbf,ilTDbf,volTDbf,mdvTDbf,msvTDbf,mdcTDbf,mscTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
444,2025-06-30,200350,0.044,0.134,0.02,0.032,280,34,1677169,885837,773404,12704,12385,15280,-0.178,-0.178,-0.242,0,7,435854,273693,162161,2971,1833,0.085,0.059,152,699,104700,153000,12190,11790,-0.03281,아티스트스튜디오
443,2025-06-30,199430,0.075,0.199,-0.025,-0.006,85,673,4320104,2327360,1906023,25329,23655,9240,0.103,0.136,0.056,14,30,468880,248011,220869,2648,2694,0.076,0.053,51,699,95630,153000,10220,9870,-0.03425,케이엔알시스템
442,2025-06-30,179530,-0.047,0.062,-0.047,-0.015,16,0,609988,353644,234190,1551,1541,3350,0.022,0.054,-0.082,5,45,181582,120075,61507,487,347,0.1,0.07,606,699,143400,153000,3355,3220,-0.04024,애드바이오텍
441,2025-06-30,123690,-0.014,-0.001,-0.041,-0.026,88,425,418362,241744,125262,1609,1483,8350,0.03,0.091,0.028,8,0,1578399,805346,773053,5712,5865,0.062,0.05,155,178,104830,110000,8920,9480,0.06278,한국화장품
440,2025-06-30,103140,0.005,0.072,-0.01,0.038,121,12,1180391,567337,596387,22289,23789,136400,-0.03,-0.029,-0.084,0,46,139498,100616,38882,2953,2195,0.06,0.05,22,699,94200,153000,129700,128700,-0.00771,풍산
439,2025-06-30,090710,0.034,0.285,0.022,0.237,717,4,120500447,56159862,60723732,112942,146816,3130,0.086,0.152,0.085,5,0,16410164,8848734,7561430,23657,25877,0.062,0.05,25,699,94330,153000,3525,3495,-0.00851,휴림로봇
438,2025-06-30,079950,-0.002,0.013,-0.033,-0.017,45,718,111464,70928,32778,238,308,623,0.018,0.018,-0.05,0,30,54049,37533,16516,82,49,0.071,0.05,50,699,95600,153000,619,625,0.00969,인베니아
437,2025-06-30,024720,0.011,0.216,0.0,0.189,748,7,17139697,8820428,8207178,108757,115234,17730,0.008,0.125,0.005,34,2,4251849,2091255,2160594,26926,30048,0.1,0.07,11,699,93630,153000,19120,18440,-0.03556,콜마홀딩스
436,2025-06-30,020760,0.015,0.299,0.009,0.299,41,0,5470870,2787645,2537671,4458,6635,981,0.096,0.12,0.02,0,15,1476807,896266,580541,2086,1907,0.098,0.069,15,238,93830,113000,1062,989,-0.06874,일진디스플
435,2025-06-30,060570,0.001,0.017,-0.013,-0.013,214,713,101496,48904,37209,449,374,1691,0.03,0.14,0.011,23,2,308831,154359,120254,696,739,0.1,0.07,81,699,101130,153000,1844,1845,0.00054,드림어스컴퍼니
434,2025-06-30,052300,0.05,0.052,-0.02,-0.005,0,371,238771,138744,98356,650,602,3285,0.006,0.065,0.005,17,0,80838,48530,32308,209,198,0.061,0.05,355,699,122830,153000,3425,3320,-0.03066,오션인더블유
433,2025-06-30,046120,0.16,0.235,-0.087,-0.051,5,603,13569681,7717895,5153813,32359,28648,5050,-0.072,-0.038,-0.099,22,2,1052723,585461,392786,1971,1924,0.068,0.05,162,699,105200,153000,4745,4530,-0.04531,오르비텍
432,2025-06-30,032820,0.025,0.062,0.008,0.055,249,24,19432261,8203456,10496012,17852,26854,4425,0.043,0.166,0.04,15,0,12852144,6317167,6534977,15675,19814,0.1,0.07,48,699,95500,153000,4945,5000,0.01112,우리기술
431,2025-06-30,025770,0.006,0.006,-0.099,-0.065,0,434,391017,238506,139680,2833,2902,10130,-0.018,-0.018,-0.084,0,24,65471,47810,17661,536,321,0.072,0.051,154,699,104800,153000,9700,9820,0.01237,한국정보통신
430,2025-06-27,476040,0.029,0.3,0.017,0.195,701,1,6194329,3018765,3041161,53019,59302,35500,0.046,0.069,-0.013,1,42,457981,279971,178010,5502,3977,0.083,0.058,190,699,110600,153000,36850,35900,-0.02578,오가노이드사이언스
429,2025-06-27,440110,0.079,0.081,0.008,0.039,0,8,541850,307439,225036,6044,3755,12470,0.017,0.075,0.01,8,41,112229,64655,47574,1319,1080,0.064,0.05,31,699,94630,153000,13100,12640,-0.03511,파두
428,2025-06-27,435570,0.007,0.102,-0.004,0.028,251,2,1217543,599915,468259,12817,12286,18590,0.151,0.154,0.079,0,41,437294,314199,123095,4289,2786,0.07,0.05,52,70,95700,100600,20950,19900,-0.05012,에르코스
427,2025-06-27,418620,-0.034,0.027,-0.062,-0.057,108,709,602062,320169,266986,2170,2523,4060,0.031,0.052,-0.016,4,50,75780,53329,22451,326,288,0.069,0.05,149,501,104530,134130,4165,4455,0.06963,E8
426,2025-06-27,376180,-0.016,0.052,-0.039,-0.027,179,36,660738,361201,283607,1908,2208,3015,0.108,0.204,0.103,2,0,2843314,1438891,1404423,5893,6364,0.092,0.064,30,178,94600,110000,3515,3285,-0.06543,피코그램
425,2025-06-27,277410,-0.001,0.212,-0.005,0.066,512,26,21173121,11783074,9097274,30434,33635,1350,0.007,0.111,0.007,12,0,2055280,1101711,953569,2913,3268,0.1,0.07,12,699,93700,153000,1446,1385,-0.04219,인산가
424,2025-06-27,236810,-0.037,0.3,-0.098,0.3,721,173,8781245,4760736,3581696,16224,14322,4225,-0.05,0.06,-0.084,41,5,4120172,2107779,2012393,8668,10071,0.1,0.07,355,405,122830,125330,4245,4670,0.10012,엔비티
423,2025-06-27,232830,-0.039,-0.028,-0.096,-0.05,0,407,444959,274951,160556,873,900,2915,0.002,0.019,-0.053,33,20,75778,23960,51818,144,131,0.076,0.053,341,699,122130,153000,2890,2905,0.00519,아이티센피엔에스
422,2025-06-27,228760,0.006,0.016,-0.017,-0.007,1,240,104583,64391,38812,883,934,12000,0.002,0.008,-0.051,2,46,289228,74304,214924,682,864,0.062,0.05,355,699,122830,153000,11840,12030,0.01605,지노믹트리
421,2025-06-27,215100,0.0,0.0,-0.108,-0.083,0,359,2704676,1770274,824541,9006,6621,5160,0.004,0.07,0.0,17,2,1462563,719432,743131,3262,3582,0.07,0.05,206,264,111400,114300,5390,5780,0.07236,로보로보
420,2025-06-27,199430,-0.0,0.006,-0.085,-0.063,0,307,368058,221923,131995,2625,1819,9300,0.12,0.189,0.082,32,10,1554596,774243,748416,8935,9459,0.099,0.07,22,187,94200,110430,10680,9940,-0.06929,케이엔알시스템
419,2025-06-27,192410,0.023,0.299,0.002,0.107,517,5,7119501,3847999,3093862,12960,14582,1682,0.011,0.068,-0.012,13,50,478078,315600,162478,1056,1134,0.081,0.057,223,410,112230,125600,1745,1888,0.08195,오늘이엔엠
418,2025-06-27,105740,-0.0,0.025,-0.026,0.013,591,202,165427,86770,75462,802,605,8460,0.028,0.03,-0.031,0,16,39339,29961,9378,249,126,0.062,0.05,4,495,93300,133830,8520,8090,-0.05047,디케이락
417,2025-06-27,093240,-0.0,0.065,-0.014,0.035,11,1,2112942,914184,1147414,2963,9694,2945,0.014,0.095,0.002,37,5,1725835,729785,996050,1789,2512,0.093,0.065,6,293,93400,115730,3120,2915,-0.06571,형지엘리트
416,2025-06-27,099440,0.179,0.233,-0.0,0.127,6,546,25214569,14009312,10928958,57202,60955,3775,-0.052,-0.049,-0.103,0,34,676950,435994,240956,1714,1319,0.061,0.05,2,44,93200,95300,3515,3730,0.06117,스맥
415,2025-06-27,090710,0.009,0.013,-0.072,-0.045,0,345,8597774,5705797,2588981,8439,8814,2530,0.034,0.107,0.024,17,3,9363663,4461373,4902290,10752,13270,0.081,0.057,16,203,93900,111230,2720,2945,0.08272,휴림로봇
414,2025-06-27,088280,0.006,0.01,-0.041,-0.025,1,243,84737,62766,21554,278,284,2485,0.026,0.189,0.014,18,8,798191,412041,339280,2565,2742,0.1,0.07,9,73,93530,100730,2785,2585,-0.07181,쏘닉스
413,2025-06-27,043710,0.008,0.066,-0.025,0.054,704,99,306065,107317,189988,318,578,1082,-0.018,0.06,-0.041,16,16,118815,50329,45002,104,143,0.1,0.07,135,699,103830,153000,1106,1108,0.00181,서울리거
412,2025-06-27,030530,0.013,0.02,-0.074,-0.047,4,310,2540577,1620340,856440,4380,4353,5300,0.006,0.064,0.002,13,1,839576,395117,444459,1550,1849,0.062,0.05,11,699,93630,153000,5520,5390,-0.02355,원익홀딩스
411,2025-06-26,462860,-0.004,-0.002,-0.104,-0.065,12,581,7416639,4599238,2525922,14030,12874,4860,-0.037,-0.033,-0.109,0,30,1601787,884729,717058,3376,2844,0.085,0.06,467,621,132430,144130,4560,4285,-0.06031,더즌
410,2025-06-26,276040,0.02,0.198,0.009,0.165,695,2,1860038,817763,995038,4043,5087,3205,0.041,0.041,-0.022,0,33,128091,87915,40176,337,188,0.064,0.05,2,699,93200,153000,3260,3270,0.00307,스코넥
409,2025-06-26,267320,0.0,0.001,-0.056,-0.039,0,5,3380022,2084884,1144512,6961,5552,4325,0.138,0.175,0.076,3,9,6536244,3449802,2953539,15572,15159,0.091,0.064,2,699,93200,153000,4915,4850,-0.01322,나인테크
408,2025-06-26,250930,0.15,0.298,0.051,0.053,39,754,11345549,6054348,5066584,17549,22647,561,-0.012,-0.012,-0.07,0,35,418685,278151,140534,326,260,0.061,0.05,65,699,100330,153000,543,526,-0.03131,예선테크
407,2025-06-26,239890,0.002,0.016,0.0,0.006,7,21,29922,15165,13833,210,243,5170,0.008,0.201,0.006,22,2,368214,194317,150341,3342,3570,0.1,0.07,63,184,100230,110300,5820,5410,-0.07045,피엔에이치테크
406,2025-06-26,223310,0.079,0.272,0.075,0.158,8,0,7621555,3897967,3277456,24459,25850,5270,-0.034,-0.004,-0.084,5,41,291164,192505,98659,1331,1171,0.087,0.061,16,66,93900,100400,5100,5550,0.08824,딥마인드
405,2025-06-26,205500,-0.043,-0.012,-0.128,-0.062,24,506,6843877,3512452,3056486,11757,12537,4300,-0.064,-0.048,-0.11,1,19,940031,558793,381238,1698,1225,0.071,0.05,372,699,123700,153000,3995,3930,-0.01627,넥써쓰
404,2025-06-26,187790,-0.009,0.099,-0.059,0.052,704,20,716094,319430,370596,814,1057,1230,-0.02,0.094,-0.02,7,0,216202,107163,109039,356,385,0.1,0.07,2,699,93200,153000,1291,1310,0.01472,나노
403,2025-06-26,179530,-0.014,0.076,-0.04,0.046,711,148,481070,213114,227164,803,1120,3305,0.076,0.088,0.018,0,13,380501,215757,164744,1144,813,0.068,0.05,2,699,93200,153000,3510,3400,-0.03134,애드바이오텍
402,2025-06-26,124500,-0.037,-0.035,-0.146,-0.115,0,570,1446264,955891,432050,6696,6680,28750,-0.124,-0.11,-0.165,10,42,656970,355173,266497,2013,1915,0.067,0.05,2,30,93200,94600,25000,23700,-0.052,아이티센글로벌
401,2025-06-26,123840,-0.0,0.245,-0.075,0.081,575,6,6886859,3591911,2981574,17512,22087,1461,0.082,0.232,0.062,18,4,1732761,790423,854907,3671,4605,0.1,0.07,0,241,93100,113130,1703,1584,-0.06988,뉴온
400,2025-06-26,098120,0.004,0.042,-0.022,0.013,114,1,231084,123159,100967,1496,1691,22700,-0.022,0.007,-0.066,11,42,86830,45133,41697,489,439,0.078,0.054,28,699,94500,153000,22250,22400,0.00674,마이크로컨텍솔
399,2025-06-26,067170,0.06,0.299,0.06,0.299,16,0,2015769,1149421,777664,4062,3521,2695,0.035,0.085,0.002,7,25,667832,401341,266491,2017,2085,0.083,0.058,6,42,93400,95200,2840,2670,-0.05986,오텍
398,2025-06-26,008600,0.007,0.03,-0.009,0.002,34,493,384625,176714,122522,300,374,431,0.223,0.276,0.141,4,47,6647115,3847431,2559346,4234,4948,0.053,0.05,121,147,103130,104430,528,502,-0.04924,윌비스
397,2025-06-26,007700,0.026,0.088,0.015,0.057,189,3,234429,107126,125208,2723,3710,18880,0.136,0.186,0.081,4,39,198237,109939,88298,1603,1786,0.098,0.069,3,699,93230,153000,21650,21900,0.01155,F&F홀딩스
396,2025-06-26,043360,-0.0,0.008,-0.042,-0.017,0,253,8955,4563,3542,42,29,2360,0.011,0.051,-0.025,20,1,5100,1681,3419,24,60,0.078,0.055,225,699,112330,153000,2415,2415,0.0,디지아이
395,2025-06-26,042040,0.0,0.12,-0.114,-0.088,69,557,88307629,46895371,37170194,23068,34651,320,0.028,0.137,-0.013,26,1,23784796,11908925,11488641,3182,5633,0.1,0.07,81,287,101130,115430,346,322,-0.06936,케이피엠테크
394,2025-06-26,005950,-0.008,0.034,-0.022,0.008,11,63,131736,58919,68430,704,811,6000,0.045,0.212,0.042,43,0,1309490,658010,644862,5696,6733,0.1,0.07,7,699,93430,153000,6880,6710,-0.02471,이수화학
393,2025-06-26,019660,-0.004,0.1,-0.018,0.009,24,1,93376,54848,37036,331,357,2735,0.013,0.015,-0.051,1,44,35585,27732,7853,49,47,0.069,0.05,424,699,130300,153000,2710,2655,-0.0203,글로본
392,2025-06-26,002220,-0.006,0.09,-0.006,0.052,248,0,597990,282760,308196,1040,1548,2855,-0.026,-0.026,-0.098,0,20,70163,36326,33837,173,147,0.08,0.056,433,699,130730,153000,2705,2710,0.00185,한일철강
391,2025-06-25,417860,0.005,0.033,-0.049,0.025,758,419,169962,93314,58514,1425,1494,28300,-0.013,0.032,-0.046,37,9,74432,37218,37214,629,664,0.081,0.057,17,286,93930,115400,28350,30700,0.08289,오브젠
