,date,shcode,doYD,dhYD,dlYD,dcYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
2658,2025-02-11,090710,0.032,0.298,0.019,0.275,471,0,99148063,48900254,47578345,76191,95393,2515,-0.056,0.089,-0.064,29421669,0.163,0.08,208,723,104430,150200,2745,2525,-0.08015,휴림로봇
2657,2025-02-11,009310,-0.022,-0.003,-0.039,-0.039,3,760,243909,109935,63899,113,142,343,0.0,0.195,0.0,1092951,0.077,0.077,141,760,101100,153000,411,393,-0.0438,참엔지니어링
2656,2025-02-10,466100,0.019,0.214,0.015,0.16,80,0,29783127,15083916,14044337,143903,154748,19100,0.006,0.086,-0.0,6103918,0.086,0.08,186,760,103330,153000,20800,19640,-0.05577,클로봇
2655,2025-02-10,450950,-0.004,0.132,-0.005,0.02,269,1,6127658,2987560,2511611,21694,25670,7650,0.05,0.183,0.044,5102351,0.088,0.08,102,760,95130,153000,9070,8650,-0.04631,아스테라시스
2654,2025-02-10,215100,0.006,0.057,-0.008,0.013,164,3,811386,416994,356091,2235,2360,4360,0.011,0.134,0.005,3194358,0.129,0.08,253,760,110700,153000,4950,4695,-0.05152,로보로보
2653,2025-02-10,140670,0.002,0.123,-0.003,0.07,215,4,2523525,1233663,1178412,15099,17924,17190,0.031,0.124,0.026,1941983,0.096,0.08,443,463,124200,125200,19350,21250,0.09819,알에스오토메이션
2652,2025-02-10,128660,0.0,0.002,-0.008,-0.005,32,562,30327,24250,4649,116,75,2980,0.04,0.166,0.04,3033812,0.105,0.08,126,650,100330,142530,3480,3200,-0.08046,피제이메탈
2651,2025-02-10,102120,0.011,0.299,-0.009,0.299,342,48,14127124,7007768,6891756,53509,58967,12930,-0.01,0.063,-0.03,3065014,0.096,0.08,90,760,94530,153000,13760,13260,-0.03634,어보브반도체
2650,2025-02-10,090710,0.0,0.243,-0.002,0.172,172,0,63541605,31417757,30745470,54043,64256,1972,0.032,0.187,0.019,28842540,0.085,0.08,273,470,111700,125530,2345,2545,0.08529,휴림로봇
2649,2025-02-10,006140,-0.011,0.014,-0.036,0.004,28,205,28828,20299,7414,179,207,5620,0.032,0.182,0.021,1247778,0.089,0.08,153,487,101700,130400,6660,6130,-0.07958,피제이전자
2648,2025-02-10,092200,-0.0,0.267,-0.011,0.131,718,2,7088673,3315382,3382311,15522,15962,4520,-0.011,0.162,-0.031,4997620,0.106,0.08,145,760,101300,153000,5270,5280,0.0019,디아이씨
2647,2025-02-10,012170,0.0,0.017,-0.046,-0.042,2,747,988756,647410,297298,592,393,230,-0.013,-0.013,-0.109,1186544,0.107,0.08,296,760,112830,153000,228,230,0.00877,아센디오
2646,2025-02-07,475400,0.01,0.057,-0.042,0.016,660,61,1353028,707619,605791,10224,13187,31300,0.022,0.181,0.0,1750027,0.091,0.08,-1,-1,-1,-1,37000,-1,-1.0,씨메스
2645,2025-02-07,464080,-0.0,0.021,-0.025,0.009,15,225,1192084,590963,389845,5152,4472,12780,0.03,0.128,0.01,2869383,0.116,0.08,99,151,95000,101600,14430,16120,0.11712,에스오에스랩
2644,2025-02-07,112290,0.046,0.298,-0.011,0.298,732,38,2401843,931004,1372847,14022,15611,25000,0.1,0.132,0.04,2542078,0.088,0.08,106,760,95330,153000,28350,27200,-0.04056,와이씨켐
2643,2025-02-07,102120,0.013,0.022,-0.027,-0.005,3,623,1526381,876353,508500,5616,4511,9950,0.011,0.087,-0.009,1211050,0.097,0.08,111,261,95600,111100,10840,11910,0.09871,어보브반도체
2642,2025-02-07,064350,-0.005,0.195,-0.064,0.17,750,108,8797851,3335842,5225805,59543,100976,71500,0.035,0.13,0.031,3397346,0.096,0.08,104,760,95230,153000,81000,79600,-0.01728,현대로템
2641,2025-02-06,466100,0.017,0.3,0.011,0.3,321,2,35684572,17230043,18181355,136468,163214,14580,0.06,0.106,0.021,13399626,0.083,0.08,95,760,94800,153000,16150,16470,0.01981,클로봇
2640,2025-02-06,450520,0.016,0.055,0.004,0.022,182,30,1851300,1011037,749938,7153,6756,5230,-0.0,0.057,-0.048,1263235,0.11,0.08,130,461,100530,125100,5550,6170,0.11171,인스웨이브시스템즈
2639,2025-02-06,434480,0.002,0.033,-0.002,0.016,5,398,552725,272924,211475,1627,1797,4940,0.024,0.126,0.008,2440475,0.116,0.08,91,760,94600,153000,5580,5540,-0.00717,모니터랩
2638,2025-02-06,331520,-0.016,0.023,-0.062,-0.052,89,583,3112424,1702369,1205859,1719,2167,694,-0.007,0.074,-0.007,1597310,0.081,0.08,104,235,95230,105800,747,809,0.083,밸로프
2637,2025-02-06,219550,0.007,0.062,-0.009,0.062,758,46,2333907,946050,1256441,997,1168,790,0.043,0.106,0.02,2248560,0.084,0.08,91,139,94600,101000,876,951,0.08562,디와이디
2636,2025-02-06,001470,0.001,0.006,-0.019,-0.006,50,7,2906678,1614554,1138199,1575,2834,893,0.048,0.146,0.031,9261204,0.111,0.08,131,760,100600,153000,1025,999,-0.02537,삼부토건
2635,2025-02-05,452450,0.0,0.038,-0.279,-0.127,523,53,66399344,35931761,28468632,164666,147705,4365,0.013,0.107,0.0,11799498,0.107,0.08,270,530,111530,132530,4835,4445,-0.08066,피아이이
2634,2025-02-05,437730,0.012,0.05,-0.053,-0.025,15,639,1868114,1098730,696933,7223,6372,10910,0.025,0.159,0.012,3855193,0.112,0.08,137,760,100900,153000,12660,13060,0.0316,삼현
2633,2025-02-05,393210,0.003,0.299,0.003,0.299,430,0,6530777,3277705,3173650,17286,20206,5230,0.077,0.18,0.077,8218576,0.09,0.08,231,357,105600,115900,6190,5690,-0.08078,토마토시스템
2632,2025-02-05,351320,0.3,0.3,0.191,0.3,226,246,4826726,3565949,1163186,4569,2784,2730,-0.046,0.086,-0.059,2267060,0.154,0.08,283,291,112200,112600,2970,2730,-0.08081,에스에이티이엔지
2631,2025-02-05,304100,0.032,0.082,-0.021,0.005,461,699,2358996,1197729,1093226,16179,20282,28300,0.023,0.166,0.005,2624036,0.105,0.08,151,760,101600,153000,33050,33150,0.00303,솔트룩스
2630,2025-02-05,187660,0.023,0.023,-0.031,-0.01,0,5,1183589,707307,419843,1242,1575,2390,-0.008,0.073,-0.021,1018534,0.096,0.08,95,113,94800,95700,2570,2820,0.09728,현대ADM
2629,2025-02-05,123010,0.058,0.264,0.018,0.123,113,3,14002472,7328598,6411062,21561,24716,1620,0.013,0.194,-0.02,7406085,0.078,0.078,96,108,94830,95430,1938,2090,0.07843,아이윈플러스
2628,2025-02-05,032980,0.002,0.013,-0.045,-0.036,1,617,548549,369519,140968,348,303,454,-0.031,-0.02,-0.161,1119293,0.168,0.08,361,362,120100,120130,446,522,0.1704,바이온
2627,2025-02-05,023800,0.0,0.015,-0.004,0.015,140,631,23252,13940,7375,289,129,5550,0.025,0.198,0.02,1052667,0.073,0.073,92,99,94630,95000,6670,6180,-0.07346,인지컨트롤스
2626,2025-02-05,014160,0.005,0.022,-0.026,-0.019,123,737,5629862,3431638,1770456,4479,4725,1440,-0.018,0.077,-0.018,3044938,0.097,0.08,520,760,132030,153000,1554,1508,-0.0296,대영포장
2625,2025-02-04,456010,-0.0,0.016,-0.065,-0.06,2,255,516869,323669,156275,2252,1704,8280,0.035,0.191,0.034,1586534,0.081,0.08,91,637,94600,141900,9880,9090,-0.07996,아이씨티케이
2624,2025-02-04,208710,-0.0,-0.0,-0.073,-0.063,0,43,1113461,623486,468269,758,946,524,0.011,0.137,0.011,1680154,0.125,0.08,91,108,94600,95430,598,674,0.12709,바이오로그디바이스
2623,2025-02-04,158430,-0.01,0.008,-0.03,-0.019,141,2,839427,492453,287206,2459,2018,6140,0.021,0.12,0.021,2346905,0.097,0.08,95,760,94800,153000,6900,6700,-0.02899,아톤
