,date,shcode,doYD,dhYD,dlYD,dCYD,ihYD,ilYD,volYD,mdvYD,msvYD,mdcYD,mscYD,closeYD,doTD,dhTDbf,dlTDbf,volTDbf,gcut,lcut,iBID,iASK,tBID,tASK,prcBID,prcASK,profit,hname
319,2025-01-16,199480,0.01,0.271,-0.037,0.222,748,695,3455125,1448880,1542893,8652,9644,7040,-0.064,0.016,-0.075,1627642,0.098,0.08,131,760,100600,153000,7220,6760,-0.06371,뱅크웨어글로벌
318,2025-01-16,113810,0.02,0.095,-0.2,-0.196,1,759,5109794,3137163,1736998,5204,4731,1463,-0.005,0.049,-0.04,1035156,0.093,0.08,141,386,101100,121330,1550,1424,-0.08129,디젠스
317,2025-01-16,038880,0.009,0.205,0.0,0.051,41,1,23239266,12635568,10187146,11105,17612,246,-0.004,0.069,-0.024,2844883,0.096,0.08,111,760,95600,153000,266,258,-0.03008,아이에이
316,2025-01-16,450140,0.007,0.298,-0.031,0.298,738,681,5277258,2460784,2284172,5387,5131,2960,-0.024,0.193,-0.051,10022222,0.07,0.07,130,275,100530,111800,3570,3320,-0.07003,코오롱모빌리티그룹
315,2025-01-16,012170,-0.083,-0.025,-0.155,-0.025,742,122,17568272,7802173,8612771,4567,14421,271,0.007,0.059,-0.037,1909866,0.1,0.08,68,76,93430,93830,290,319,0.1,아센디오
314,2025-01-15,123010,-0.07,0.019,-0.104,-0.039,520,118,3459819,1711472,1611509,2374,3810,1046,0.08,0.12,0.032,2751090,0.085,0.08,414,630,122730,141530,1184,1286,0.08615,아이윈플러스
313,2025-01-15,086960,-0.005,0.003,-0.025,-0.025,300,760,2274684,11813,3309,7,14,1342,0.013,0.124,0.011,14124868,0.111,0.08,102,760,95130,153000,1523,1430,-0.06106,MDS테크
312,2025-01-15,062970,-0.294,-0.193,-0.3,-0.3,43,210,23135163,10638034,9000279,26521,37415,4460,0.074,0.2,0.054,13374189,0.065,0.065,392,622,121630,141130,5400,5760,0.06667,한국첨단소재
311,2025-01-15,056360,-0.05,-0.02,-0.061,-0.043,7,34,506927,258557,180663,1547,1608,5800,0.06,0.159,0.04,1398692,0.102,0.08,127,560,100400,134030,6790,6240,-0.081,코위버
310,2025-01-15,052220,0.001,0.268,-0.009,0.251,730,153,25605205,13055040,11592510,49125,54440,4280,-0.025,0.109,-0.026,8078945,0.138,0.08,201,398,104100,121930,4790,4400,-0.08142,iMBC
309,2025-01-15,007720,-0.013,0.007,-0.059,-0.041,5,658,1686251,1051957,615384,1501,660,1041,0.036,0.139,0.03,3399959,0.106,0.08,342,760,115130,153000,1198,1132,-0.05509,대명소노시즌
308,2025-01-15,014160,0.007,0.108,-0.001,0.022,83,230,17309381,9270769,7439368,14545,14183,1360,-0.014,0.081,-0.026,4110870,0.11,0.08,69,760,93500,153000,1485,1432,-0.03569,대영포장
307,2025-01-15,012170,-0.235,-0.205,-0.298,-0.298,6,50,8364911,4738435,3017380,1771,3683,278,-0.083,-0.065,-0.151,6165059,0.102,0.08,225,760,105300,153000,263,271,0.03042,아센디오
306,2025-01-15,010140,0.005,0.038,0.005,0.013,95,0,8199543,3646481,4250582,15382,21040,11850,0.006,0.094,0.001,9889411,0.094,0.08,229,760,105500,153000,13100,13000,-0.00763,삼성중공업
305,2025-01-14,460930,0.012,0.012,-0.047,-0.047,0,760,2785962,1671396,851893,14243,12338,16960,-0.001,0.115,-0.006,4326347,0.122,0.08,61,760,93100,153000,19100,18490,-0.03194,현대힘스
304,2025-01-14,363260,-0.016,-0.004,-0.049,-0.048,22,684,1381868,976185,321602,2106,1437,1810,0.003,0.08,-0.006,1651516,0.086,0.08,94,119,94730,100000,1975,2150,0.08861,모비데이즈
303,2025-01-14,208710,-0.0,-0.0,-0.125,-0.1,0,693,5320269,3081506,1937437,2714,3001,640,-0.058,0.036,-0.059,1579639,0.101,0.08,61,131,93100,100600,670,616,-0.0806,바이오로그디바이스
302,2025-01-14,017510,0.077,0.3,0.029,0.3,381,48,10728576,5205187,5085522,28406,32264,6760,0.035,0.04,-0.038,2808556,0.082,0.08,126,380,100330,121030,7100,6520,-0.08169,세명전기
301,2025-01-14,152550,0.026,0.026,-0.003,-0.0,0,578,737315,493048,225260,384,293,312,0.016,0.106,0.006,2565640,0.099,0.08,66,255,93330,110800,348,320,-0.08046,한국ANKOR유전
300,2025-01-13,457550,0.117,0.171,0.056,0.099,104,44,1579290,838464,676842,10591,10827,16700,0.026,0.18,0.024,1310566,0.083,0.08,118,760,95930,153000,19900,19600,-0.01508,우진엔텍
299,2025-01-13,199820,0.021,0.287,-0.009,0.269,740,78,14491912,6707872,7061486,52450,58040,11500,0.112,0.19,0.086,8223829,0.073,0.073,68,528,93430,132430,13830,12810,-0.07375,제일일렉트릭
298,2025-01-13,038530,0.065,0.115,-0.08,-0.071,1,161,23565402,13696859,9183812,6917,10571,300,0.017,0.117,0.007,5723237,0.109,0.08,249,760,110500,153000,338,331,-0.02071,케이바이오
297,2025-01-13,014160,0.0,0.132,-0.028,0.035,383,71,17831210,9930199,7389451,14681,15662,1178,0.04,0.119,0.019,5504872,0.098,0.08,89,167,94500,102400,1331,1463,0.09917,대영포장
296,2025-01-10,460930,0.012,0.012,-0.025,0.0,0,81,328253,193971,112517,2153,1480,14520,0.003,0.189,-0.007,4929105,0.075,0.075,65,760,93300,153000,17430,17800,0.02123,현대힘스
295,2025-01-10,437730,-0.001,0.109,-0.03,0.06,448,92,6065417,3093782,2829820,22078,24788,9430,-0.0,0.106,-0.007,2937376,0.114,0.08,73,760,93700,153000,10530,10410,-0.0114,삼현
294,2025-01-10,225530,0.001,0.026,-0.014,0.012,283,9,175929,23118,23003,134,269,4830,0.066,0.172,0.046,1972062,0.089,0.08,120,562,100030,134130,5720,5260,-0.08042,보광산업
293,2025-01-10,187660,0.077,0.181,-0.008,0.035,16,399,26353164,13631995,10910568,37652,40531,2540,0.033,0.077,-0.004,4633943,0.081,0.08,115,435,95800,123800,2760,2990,0.08333,현대ADM
292,2025-01-09,356680,-0.065,-0.042,-0.126,-0.113,10,705,3340977,2097371,1063055,10288,10872,9700,-0.164,-0.139,-0.218,2912284,0.1,0.08,490,760,130530,153000,8430,8420,-0.00119,엑스게이트
291,2025-01-09,221800,0.012,0.3,0.012,0.3,46,0,8520842,4821647,3572260,18492,21214,3730,0.099,0.139,0.031,2257970,0.105,0.08,129,163,100500,102200,4290,3940,-0.08159,유투바이오
290,2025-01-09,208710,0.114,0.27,-0.031,0.009,19,418,75760775,41268805,31558252,41130,46733,940,-0.144,-0.059,-0.152,6688485,0.11,0.08,134,310,100730,113530,894,822,-0.08054,바이오로그디바이스
289,2025-01-09,089790,-0.019,0.163,-0.025,0.082,111,1,2112490,1101192,977959,10641,13764,4475,0.06,0.18,0.021,1783710,0.083,0.08,145,156,101300,101830,5330,5780,0.08443,제이티
288,2025-01-09,062970,-0.05,0.245,-0.077,-0.038,111,6,29301779,15239584,13224964,81971,97118,9010,-0.084,-0.019,-0.143,3693305,0.145,0.08,210,654,104530,142730,8930,8210,-0.08063,한국첨단소재
287,2025-01-09,032980,0.025,0.291,-0.02,0.148,433,17,14153966,7388356,6407329,11522,12986,458,0.007,0.144,0.007,2687280,0.117,0.08,241,760,110100,153000,529,503,-0.04915,바이온
286,2025-01-09,011790,-0.011,0.155,-0.018,0.126,635,0,1455143,636859,788037,31140,35104,135400,0.064,0.154,0.059,1358847,0.089,0.08,93,760,94700,153000,157800,161600,0.02408,SKC
285,2025-01-08,456070,0.003,0.011,-0.016,0.0,24,661,623154,368276,220939,4445,3472,17780,0.02,0.112,0.008,2166975,0.104,0.08,137,760,100900,153000,19980,19000,-0.04905,이엔셀
