,date,shcode,dO,tBid,pBid,dOpen,dHigh,dLow,dClose,iHigh,iLow,mdvol,msvol,mdcnt,mscnt,mvrate,mcrate,20_i,20_t,20_p,20_r,40_i,40_t,40_p,40_r,60_i,60_t,60_p,60_r,80_i,80_t,80_p,80_r,100_i,100_t,100_p,100_r
8987,2025-02-21,233740,-0.46,142100,8905,2.12,2.18,1.84,2.12,588,598,199778,368786,685,1912,0.617,0.85,670,143530,8930,0.00281,759,152000,8905,0.0,759,152000,8905,0.0,759,152000,8905,0.0,759,152000,8905,0.0
8986,2025-02-21,233740,-0.46,141100,8905,2.01,2.18,1.84,2.12,588,598,223053,401297,691,2175,0.533,0.898,670,143530,8930,0.00281,739,151000,8895,-0.00112,739,151000,8895,-0.00112,739,151000,8895,-0.00112,739,151000,8895,-0.00112
8985,2025-02-21,233740,-0.46,140100,8880,1.95,2.18,1.72,1.84,588,549,327770,385287,1116,3110,0.567,0.881,611,140600,8910,0.00338,670,143530,8930,0.00563,719,150000,8915,0.00394,719,150000,8915,0.00394,719,150000,8915,0.00394
8984,2025-02-21,233740,-0.46,135100,8900,2.24,2.24,1.72,2.07,520,549,383584,379253,1321,2936,0.55,0.831,670,143530,8930,0.00337,699,145000,8920,0.00225,699,145000,8920,0.00225,699,145000,8920,0.00225,699,145000,8920,0.00225
8983,2025-02-21,233740,-0.46,134100,8885,2.01,2.35,1.72,1.89,508,549,403750,493112,1411,3698,0.617,0.8,611,140600,8910,0.00281,670,143530,8930,0.00506,679,144000,8920,0.00394,679,144000,8920,0.00394,679,144000,8920,0.00394
8982,2025-02-21,233740,-0.46,133100,8885,2.12,2.35,1.84,1.95,508,530,273179,404033,1005,2592,0.583,0.783,611,140600,8910,0.00281,659,143000,8915,0.00338,659,143000,8915,0.00338,659,143000,8915,0.00338,659,143000,8915,0.00338
8981,2025-02-21,233740,-0.46,132100,8910,1.95,2.35,1.78,2.12,508,463,253966,475215,763,2400,0.633,0.746,639,142000,8900,-0.00112,639,142000,8900,-0.00112,639,142000,8900,-0.00112,639,142000,8900,-0.00112,639,142000,8900,-0.00112
8980,2025-02-21,233740,-0.46,131100,8890,2.12,2.18,1.78,2.07,485,446,308237,372440,922,1803,0.6,0.712,508,131430,8920,0.00337,619,141000,8900,0.00112,619,141000,8900,0.00112,619,141000,8900,0.00112,619,141000,8900,0.00112
8979,2025-02-21,233740,-0.46,130100,8900,2.01,2.29,1.78,2.07,438,446,406014,835452,1080,3539,0.567,0.741,599,140000,8875,-0.00281,599,140000,8875,-0.00281,599,140000,8875,-0.00281,599,140000,8875,-0.00281,599,140000,8875,-0.00281
8978,2025-02-21,233740,-0.46,125100,8880,1.72,2.29,1.72,1.95,438,400,364146,914048,1008,3949,0.567,0.828,505,131300,8910,0.00338,579,135000,8895,0.00169,579,135000,8895,0.00169,579,135000,8895,0.00169,579,135000,8895,0.00169
8977,2025-02-21,233740,-0.46,124100,8900,1.66,2.29,1.61,2.18,438,382,285298,821785,659,3222,0.5,0.737,559,134000,8880,-0.00225,559,134000,8880,-0.00225,559,134000,8880,-0.00225,559,134000,8880,-0.00225,559,134000,8880,-0.00225
8976,2025-02-21,233740,-0.46,123100,8890,1.61,2.01,1.43,2.01,405,365,203761,367472,514,1177,0.467,0.614,438,123930,8920,0.00337,539,133000,8885,-0.00056,539,133000,8885,-0.00056,539,133000,8885,-0.00056,539,133000,8885,-0.00056
8975,2025-02-21,233740,-0.46,122100,8860,1.78,1.78,1.43,1.66,340,365,215681,155240,602,429,0.4,0.456,405,122300,8890,0.00339,437,123900,8910,0.00564,438,123930,8920,0.00677,519,132000,8900,0.00451,519,132000,8900,0.00451
8974,2025-02-21,233740,-0.46,121100,8860,1.61,1.78,1.43,1.66,339,365,213225,194106,669,573,0.45,0.509,405,122300,8890,0.00339,437,123900,8910,0.00564,438,123930,8920,0.00677,499,131000,8895,0.00395,499,131000,8895,0.00395
8973,2025-02-21,233740,-0.46,120100,8855,1.55,1.78,1.43,1.49,339,312,254789,192758,858,537,0.45,0.431,404,122230,8880,0.00282,436,123830,8900,0.00508,438,123930,8920,0.00734,479,130000,8895,0.00452,479,130000,8895,0.00452
8972,2025-02-21,233740,-0.46,115100,8865,1.78,1.78,1.43,1.78,280,312,298252,246060,880,603,0.467,0.448,405,122300,8890,0.00282,437,123900,8910,0.00508,459,125000,8885,0.00226,459,125000,8885,0.00226,459,125000,8885,0.00226
