,date,shcode,dO,tBid,pBid,dOpen,dHigh,dLow,dClose,iHigh,iLow,mdvol,msvol,mdcnt,mscnt,mvrate,mcrate,20_i,20_t,20_p,20_r,40_i,40_t,40_p,40_r,60_i,60_t,60_p,60_r,80_i,80_t,80_p,80_r,100_i,100_t,100_p,100_r
8971,2025-02-21,233740,-0.46,114100,8855,1.72,1.89,1.43,1.55,275,312,327146,261062,944,588,0.433,0.424,404,122230,8880,0.00282,436,123830,8900,0.00508,438,123930,8920,0.00734,439,124000,8905,0.00565,439,124000,8905,0.00565
8970,2025-02-21,233740,-0.46,113100,8845,1.61,1.89,1.49,1.61,275,291,366632,300111,797,793,0.5,0.552,331,114600,8870,0.00283,405,122300,8890,0.00509,419,123000,8890,0.00509,419,123000,8890,0.00509,419,123000,8890,0.00509
8969,2025-02-21,233740,-0.46,112100,8870,1.78,2.07,1.55,1.78,226,239,556552,727208,1200,1983,0.533,0.586,399,122000,8860,-0.00113,399,122000,8860,-0.00113,399,122000,8860,-0.00113,399,122000,8860,-0.00113,399,122000,8860,-0.00113
8968,2025-02-21,233740,-0.46,111100,8865,1.43,2.07,1.32,1.78,226,205,630656,964803,1302,2800,0.583,0.603,379,121000,8860,-0.00056,379,121000,8860,-0.00056,379,121000,8860,-0.00056,379,121000,8860,-0.00056,379,121000,8860,-0.00056
8967,2025-02-21,233740,-0.46,110100,8860,1.32,2.07,0.92,1.55,226,186,676811,1028698,1592,3009,0.55,0.559,359,120000,8845,-0.00169,359,120000,8845,-0.00169,359,120000,8845,-0.00169,359,120000,8845,-0.00169,359,120000,8845,-0.00169
8966,2025-02-21,233740,-0.46,105100,8870,1.43,1.78,0.92,1.78,214,186,516075,626355,1367,2202,0.517,0.576,227,105400,8900,0.00338,339,115000,8870,0.0,339,115000,8870,0.0,339,115000,8870,0.0,339,115000,8870,0.0
8965,2025-02-21,233740,-0.46,104100,8845,1.32,1.55,0.92,1.38,158,186,452181,446008,1444,2523,0.517,0.593,214,104730,8870,0.00283,224,105230,8890,0.00509,319,114000,8850,0.00057,319,114000,8850,0.00057,319,114000,8850,0.00057
8964,2025-02-21,233740,-0.46,103100,8830,1.84,1.84,1.03,1.32,120,136,515523,448062,1846,3125,0.467,0.644,210,104530,8860,0.0034,222,105130,8880,0.00566,224,105230,8890,0.0068,299,113000,8855,0.00283,299,113000,8855,0.00283
8963,2025-02-21,233740,-0.46,102100,8835,1.2,1.95,0.98,1.49,117,101,618068,935881,2060,5154,0.517,0.75,210,104530,8860,0.00283,222,105130,8880,0.00509,227,105400,8900,0.00736,279,112000,8870,0.00396,279,112000,8870,0.00396
8962,2025-02-21,233740,-0.46,101100,8830,1.09,1.95,0.29,1.38,117,89,1043983,1293491,3402,5730,0.483,0.733,210,104530,8860,0.0034,222,105130,8880,0.00566,224,105230,8890,0.0068,259,111000,8870,0.00453,259,111000,8870,0.00453
8961,2025-02-21,233740,-0.46,100100,8880,1.2,1.95,0.29,1.84,117,89,1067102,1631818,3305,7270,0.533,0.8,239,110000,8850,-0.00338,239,110000,8850,-0.00338,239,110000,8850,-0.00338,239,110000,8850,-0.00338,239,110000,8850,-0.00338
8960,2025-02-21,233740,-0.46,95100,8815,0.98,1.55,0.29,1.32,70,89,1112000,1377206,3398,5714,0.5,0.683,114,95730,8840,0.00284,115,95800,8860,0.0051,116,95830,8880,0.00737,219,105000,8870,0.00624,219,105000,8870,0.00624
8959,2025-02-21,233740,-0.46,94100,8810,1.43,1.55,0.69,1.2,70,42,1117857,1381037,2677,5751,0.533,0.767,114,95730,8840,0.00341,115,95800,8860,0.00568,115,95800,8870,0.00681,199,104000,8835,0.00284,199,104000,8835,0.00284
8958,2025-02-21,233740,-0.46,93100,8820,-0.46,1.49,-0.63,1.2,21,1,2049630,2280819,4137,6567,0.5,0.683,69,93500,8850,0.0034,115,95800,8870,0.00567,116,95830,8880,0.0068,179,103000,8830,0.00113,179,103000,8830,0.00113
8957,2025-02-20,233740,-0.45,142100,8715,-2.07,-1.57,-2.85,-2.63,601,633,918335,568414,3753,1496,0.383,0.424,671,143600,8740,0.00287,759,152000,8710,-0.00057,759,152000,8710,-0.00057,759,152000,8710,-0.00057,759,152000,8710,-0.00057
8956,2025-02-20,233740,-0.45,141100,8765,-1.79,-1.57,-2.07,-1.96,601,579,550300,404610,1697,1019,0.4,0.417,739,151000,8725,-0.00456,739,151000,8725,-0.00456,739,151000,8725,-0.00456,739,151000,8725,-0.00456,739,151000,8725,-0.00456
8955,2025-02-20,233740,-0.45,140100,8795,-1.68,-1.68,-2.07,-1.68,540,579,572999,498585,1515,1057,0.5,0.467,719,150000,8730,-0.00739,719,150000,8730,-0.00739,719,150000,8730,-0.00739,719,150000,8730,-0.00739,719,150000,8730,-0.00739
8954,2025-02-20,233740,-0.45,135100,8755,-1.45,-1.45,-2.07,-2.07,520,579,977422,593879,2639,1038,0.45,0.407,584,135230,8780,0.00286,601,140100,8800,0.00514,699,145000,8715,-0.00457,699,145000,8715,-0.00457,699,145000,8715,-0.00457
8953,2025-02-20,233740,-0.45,134100,8780,-1.01,-1.01,-1.9,-1.73,500,538,1127184,679821,3306,1178,0.483,0.424,679,144000,8710,-0.00797,679,144000,8710,-0.00797,679,144000,8710,-0.00797,679,144000,8710,-0.00797,679,144000,8710,-0.00797
8952,2025-02-20,233740,-0.45,133100,8785,-0.62,-0.62,-1.9,-1.85,480,538,1367637,618586,4180,1147,0.383,0.407,659,143000,8690,-0.01081,659,143000,8690,-0.01081,659,143000,8690,-0.01081,659,143000,8690,-0.01081,659,143000,8690,-0.01081
8951,2025-02-20,233740,-0.45,132100,8805,-0.62,-0.39,-1.57,-1.45,469,513,911920,415242,2895,950,0.4,0.407,639,142000,8705,-0.01136,639,142000,8705,-0.01136,639,142000,8705,-0.01136,639,142000,8705,-0.01136,639,142000,8705,-0.01136
8950,2025-02-20,233740,-0.45,131100,8845,-0.73,-0.39,-1.17,-0.95,469,493,593864,327836,1869,836,0.45,0.448,619,141000,8765,-0.00904,619,141000,8765,-0.00904,619,141000,8765,-0.00904,619,141000,8765,-0.00904,619,141000,8765,-0.00904
8949,2025-02-20,233740,-0.45,130100,8885,-0.78,-0.39,-0.89,-0.5,469,439,462835,320043,1837,815,0.467,0.414,599,140000,8790,-0.01069,599,140000,8790,-0.01069,599,140000,8790,-0.01069,599,140000,8790,-0.01069,599,140000,8790,-0.01069
8948,2025-02-20,233740,-0.45,125100,8885,-0.5,-0.34,-0.89,-0.62,404,439,611520,397251,2415,827,0.483,0.458,579,135000,8755,-0.01463,579,135000,8755,-0.01463,579,135000,8755,-0.01463,579,135000,8755,-0.01463,579,135000,8755,-0.01463
8947,2025-02-20,233740,-0.45,124100,8875,-0.39,-0.34,-0.89,-0.89,387,439,846530,436578,2839,802,0.467,0.508,466,125330,8900,0.00282,559,134000,8785,-0.01014,559,134000,8785,-0.01014,559,134000,8785,-0.01014,559,134000,8785,-0.01014
8946,2025-02-20,233740,-0.45,123100,8870,-0.11,-0.11,-0.67,-0.67,360,419,731224,353799,2485,667,0.483,0.534,466,125330,8900,0.00338,539,133000,8775,-0.01071,539,133000,8775,-0.01071,539,133000,8775,-0.01071,539,133000,8775,-0.01071
8945,2025-02-20,233740,-0.45,122100,8895,0.06,0.11,-0.5,-0.39,345,393,639913,288602,1963,544,0.475,0.491,408,122430,8920,0.00281,519,132000,8810,-0.00956,519,132000,8810,-0.00956,519,132000,8810,-0.00956,519,132000,8810,-0.00956
8944,2025-02-20,233740,-0.45,121100,8905,0.06,0.17,-0.34,-0.34,326,365,443830,235432,1569,461,0.475,0.448,499,131000,8855,-0.00561,499,131000,8855,-0.00561,499,131000,8855,-0.00561,499,131000,8855,-0.00561,499,131000,8855,-0.00561
8943,2025-02-20,233740,-0.45,120100,8930,-0.11,0.22,-0.11,-0.11,319,300,329080,277331,1022,522,0.475,0.431,479,130000,8895,-0.00392,479,130000,8895,-0.00392,479,130000,8895,-0.00392,479,130000,8895,-0.00392,479,130000,8895,-0.00392
8942,2025-02-20,233740,-0.45,115100,8940,-0.06,0.22,-0.11,0.0,319,299,302350,272253,1198,616,0.467,0.483,459,125000,8885,-0.00615,459,125000,8885,-0.00615,459,125000,8885,-0.00615,459,125000,8885,-0.00615,459,125000,8885,-0.00615
8941,2025-02-20,233740,-0.45,114100,8945,0.22,0.45,-0.11,0.22,265,299,365013,324201,1602,664,0.467,0.448,439,124000,8860,-0.0095,439,124000,8860,-0.0095,439,124000,8860,-0.0095,439,124000,8860,-0.0095,439,124000,8860,-0.0095
8940,2025-02-20,233740,-0.45,113100,8930,0.39,0.45,-0.11,-0.11,265,299,411456,296195,1553,624,0.417,0.491,319,114000,8960,0.00336,419,123000,8880,-0.0056,419,123000,8880,-0.0056,419,123000,8880,-0.0056,419,123000,8880,-0.0056
8939,2025-02-20,233740,-0.45,112100,8935,0.62,0.62,0.0,0.0,220,279,469444,312293,1724,818,0.433,0.466,319,114000,8960,0.0028,399,122000,8905,-0.00336,399,122000,8905,-0.00336,399,122000,8905,-0.00336,399,122000,8905,-0.00336
8938,2025-02-20,233740,-0.45,111100,8960,0.78,0.78,0.17,0.28,200,246,472408,288670,1476,866,0.417,0.5,379,121000,8910,-0.00558,379,121000,8910,-0.00558,379,121000,8910,-0.00558,379,121000,8910,-0.00558,379,121000,8910,-0.00558
8937,2025-02-20,233740,-0.45,110100,8980,0.39,0.89,0.22,0.45,199,227,476517,515607,1491,1604,0.533,0.576,359,120000,8930,-0.00557,359,120000,8930,-0.00557,359,120000,8930,-0.00557,359,120000,8930,-0.00557,359,120000,8930,-0.00557
8936,2025-02-20,233740,-0.45,105100,8995,0.67,0.89,0.34,0.56,199,174,613907,768265,1437,2288,0.517,0.593,339,115000,8940,-0.00611,339,115000,8940,-0.00611,339,115000,8940,-0.00611,339,115000,8940,-0.00611,339,115000,8940,-0.00611
8935,2025-02-20,233740,-0.45,104100,9010,-0.45,0.89,-0.45,0.89,199,140,792226,1353217,1623,3933,0.617,0.672,319,114000,8960,-0.00555,319,114000,8960,-0.00555,319,114000,8960,-0.00555,319,114000,8960,-0.00555,319,114000,8960,-0.00555
8934,2025-02-20,233740,-0.45,103100,8975,-0.34,0.73,-0.56,0.5,167,133,1135648,1424317,2595,3619,0.533,0.526,187,103400,9000,0.00279,199,104000,9020,0.00501,299,113000,8930,-0.00501,299,113000,8930,-0.00501,299,113000,8930,-0.00501
8933,2025-02-20,233740,-0.45,102100,9000,-0.22,0.56,-0.56,0.56,159,133,1152113,1325382,2975,3367,0.483,0.439,279,112000,8940,-0.00667,279,112000,8940,-0.00667,279,112000,8940,-0.00667,279,112000,8940,-0.00667,279,112000,8940,-0.00667
8932,2025-02-20,233740,-0.45,101100,8900,0.73,0.73,-0.62,-0.56,80,95,1530527,1095495,5380,2344,0.333,0.293,145,101300,8930,0.00337,146,101330,8950,0.00562,147,101400,8960,0.00674,154,101730,8980,0.00899,160,102030,9000,0.01124
8931,2025-02-20,233740,-0.45,100100,8910,-0.17,0.73,-0.62,-0.39,78,95,1581780,1243762,5386,3121,0.35,0.383,124,100230,8940,0.00337,147,101400,8960,0.00561,153,101700,8970,0.00673,159,102000,8990,0.00898,198,103930,9010,0.01122
8930,2025-02-20,233740,-0.45,95100,8920,1.23,1.4,-0.62,-0.28,46,95,2095168,1496169,6759,3803,0.333,0.367,112,95630,8950,0.00336,153,101700,8970,0.00561,154,101730,8980,0.00673,160,102030,9000,0.00897,199,104000,9020,0.01121
8929,2025-02-20,233740,-0.45,94100,9005,0.67,1.4,-0.22,0.62,46,61,1943835,1899365,5006,5158,0.45,0.467,199,104000,9020,0.00167,199,104000,9020,0.00167,199,104000,9020,0.00167,199,104000,9020,0.00167,199,104000,9020,0.00167
8928,2025-02-20,233740,-0.45,93100,8930,-0.45,1.4,-0.56,0.06,46,1,2487033,2769673,5801,6845,0.5,0.5,65,93300,8960,0.00336,70,93530,8980,0.0056,73,93700,8990,0.00672,78,93930,9010,0.00896,179,103000,8985,0.00616
8927,2025-02-19,233740,-0.28,142100,9020,1.53,2.27,1.53,2.04,623,580,589117,1419813,1281,4369,0.583,0.6,759,152000,8955,-0.00721,759,152000,8955,-0.00721,759,152000,8955,-0.00721,759,152000,8955,-0.00721,759,152000,8955,-0.00721
8926,2025-02-19,233740,-0.28,141100,9015,1.3,2.15,1.3,2.04,617,560,509797,1425560,965,4184,0.617,0.644,739,151000,8950,-0.00721,739,151000,8950,-0.00721,739,151000,8950,-0.00721,739,151000,8950,-0.00721,739,151000,8950,-0.00721
8925,2025-02-19,233740,-0.28,140100,8990,1.53,1.87,1.08,1.87,592,557,645731,685352,1805,1713,0.5,0.491,617,140900,9020,0.00334,719,150000,8995,0.00056,719,150000,8995,0.00056,719,150000,8995,0.00056,719,150000,8995,0.00056
8924,2025-02-19,233740,-0.28,135100,8955,1.59,1.7,1.08,1.59,527,557,568433,363220,1681,983,0.45,0.491,591,135600,8980,0.00279,607,140400,9000,0.00503,617,140900,9020,0.00726,699,145000,8985,0.00335,699,145000,8985,0.00335
8923,2025-02-19,233740,-0.28,134100,8940,1.64,1.7,1.08,1.19,501,557,584085,214099,1877,718,0.317,0.379,587,135400,8970,0.00336,592,135630,8990,0.00559,607,140400,9000,0.00671,617,140900,9020,0.00895,679,144000,9010,0.00783
8922,2025-02-19,233740,-0.28,133100,8965,1.53,1.7,1.47,1.47,481,516,316805,263972,821,854,0.367,0.483,592,135630,8990,0.00279,615,140800,9010,0.00502,659,143000,9000,0.0039,659,143000,9000,0.0039,659,143000,9000,0.0039
8921,2025-02-19,233740,-0.28,132100,8965,1.53,1.7,1.36,1.47,481,471,343243,331554,986,994,0.383,0.5,592,135630,8990,0.00279,615,140800,9010,0.00502,639,142000,9005,0.00446,639,142000,9005,0.00446,639,142000,9005,0.00446
8920,2025-02-19,233740,-0.28,131100,8970,1.64,1.7,1.36,1.7,441,471,443882,371010,1500,1068,0.467,0.533,607,140400,9000,0.00334,617,140900,9020,0.00557,619,141000,9005,0.0039,619,141000,9005,0.0039,619,141000,9005,0.0039
8919,2025-02-19,233740,-0.28,130100,8965,1.93,1.93,1.36,1.53,420,471,447420,266132,1749,771,0.367,0.407,592,135630,8990,0.00279,599,140000,8990,0.00279,599,140000,8990,0.00279,599,140000,8990,0.00279,599,140000,8990,0.00279
8918,2025-02-19,233740,-0.28,125100,8965,1.93,1.93,1.42,1.47,400,450,438813,369409,1652,1313,0.333,0.356,579,135000,8965,0.0,579,135000,8965,0.0,579,135000,8965,0.0,579,135000,8965,0.0,579,135000,8965,0.0
8917,2025-02-19,233740,-0.28,124100,8975,1.81,1.93,1.64,1.7,400,438,236827,410725,815,1440,0.433,0.458,559,134000,8930,-0.00501,559,134000,8930,-0.00501,559,134000,8930,-0.00501,559,134000,8930,-0.00501,559,134000,8930,-0.00501
8916,2025-02-19,233740,-0.28,123100,8995,1.87,1.93,1.7,1.87,400,368,185086,436460,557,1488,0.483,0.509,539,133000,8955,-0.00445,539,133000,8955,-0.00445,539,133000,8955,-0.00445,539,133000,8955,-0.00445,539,133000,8955,-0.00445
8915,2025-02-19,233740,-0.28,122100,8995,1.64,1.87,1.64,1.87,360,340,161728,345161,494,896,0.567,0.571,519,132000,8955,-0.00445,519,132000,8955,-0.00445,519,132000,8955,-0.00445,519,132000,8955,-0.00445,519,132000,8955,-0.00445
8914,2025-02-19,233740,-0.28,121100,8980,1.81,1.87,1.59,1.76,321,329,228466,298117,633,730,0.433,0.491,499,131000,8975,-0.00056,499,131000,8975,-0.00056,499,131000,8975,-0.00056,499,131000,8975,-0.00056,499,131000,8975,-0.00056
8913,2025-02-19,233740,-0.28,120100,8990,1.81,1.87,1.59,1.76,321,329,280022,266078,773,666,0.383,0.448,479,130000,8960,-0.00334,479,130000,8960,-0.00334,479,130000,8960,-0.00334,479,130000,8960,-0.00334,479,130000,8960,-0.00334
8912,2025-02-19,233740,-0.28,115100,8970,1.7,1.93,1.59,1.76,294,329,413116,559738,952,1779,0.333,0.424,400,122030,9000,0.00334,459,125000,8955,-0.00167,459,125000,8955,-0.00167,459,125000,8955,-0.00167,459,125000,8955,-0.00167
8911,2025-02-19,233740,-0.28,114100,8985,1.59,1.93,1.53,1.64,294,273,500346,746470,1106,2685,0.35,0.467,439,124000,8975,-0.00111,439,124000,8975,-0.00111,439,124000,8975,-0.00111,439,124000,8975,-0.00111,439,124000,8975,-0.00111
8910,2025-02-19,233740,-0.28,113100,8985,1.42,1.93,1.25,1.87,294,247,548189,858228,1220,2948,0.417,0.55,419,123000,8990,0.00056,419,123000,8990,0.00056,419,123000,8990,0.00056,419,123000,8990,0.00056,419,123000,8990,0.00056
8909,2025-02-19,233740,-0.28,112100,8975,1.53,1.76,1.25,1.64,264,247,570987,599920,1271,1939,0.417,0.517,399,122000,8990,0.00167,399,122000,8990,0.00167,399,122000,8990,0.00167,399,122000,8990,0.00167,399,122000,8990,0.00167
8908,2025-02-19,233740,-0.28,111100,8965,1.19,1.59,1.13,1.53,233,201,540489,620276,1292,2104,0.5,0.542,289,112500,8990,0.00279,379,121000,8980,0.00167,379,121000,8980,0.00167,379,121000,8980,0.00167,379,121000,8980,0.00167
8907,2025-02-19,233740,-0.28,110100,8955,1.08,1.59,0.74,1.47,233,192,834263,800473,2136,2347,0.533,0.525,264,111230,8980,0.00279,359,120000,8980,0.00279,359,120000,8980,0.00279,359,120000,8980,0.00279,359,120000,8980,0.00279
8906,2025-02-19,233740,-0.28,105100,8960,1.42,1.53,0.74,1.53,218,192,850811,800512,2855,2611,0.517,0.508,289,112500,8990,0.00335,339,115000,8980,0.00223,339,115000,8980,0.00223,339,115000,8980,0.00223,339,115000,8980,0.00223
8905,2025-02-19,233740,-0.28,104100,8930,1.59,1.76,0.74,1.13,146,192,953781,620401,3395,1673,0.417,0.4,218,104930,8960,0.00336,264,111230,8980,0.0056,289,112500,8990,0.00672,319,114000,8970,0.00448,319,114000,8970,0.00448
8904,2025-02-19,233740,-0.28,103100,8920,1.76,1.76,1.02,1.19,120,172,841621,596336,2952,1881,0.383,0.407,216,104830,8950,0.00336,234,105730,8970,0.00561,264,111230,8980,0.00673,299,113000,8990,0.00785,299,113000,8990,0.00785
8903,2025-02-19,233740,-0.28,102100,8950,1.81,1.87,1.25,1.25,101,159,1080739,944735,3150,2779,0.383,0.424,264,111230,8980,0.00335,279,112000,8970,0.00223,279,112000,8970,0.00223,279,112000,8970,0.00223,279,112000,8970,0.00223
8902,2025-02-19,233740,-0.28,101100,8965,0.74,1.87,0.74,1.53,101,80,1368489,2316285,3342,6757,0.533,0.559,259,111000,8960,-0.00056,259,111000,8960,-0.00056,259,111000,8960,-0.00056,259,111000,8960,-0.00056,259,111000,8960,-0.00056
8901,2025-02-19,233740,-0.28,100100,8980,0.57,1.87,0.45,1.7,101,61,1365353,2493021,3343,7538,0.55,0.517,239,110000,8955,-0.00278,239,110000,8955,-0.00278,239,110000,8955,-0.00278,239,110000,8955,-0.00278,239,110000,8955,-0.00278
8900,2025-02-19,233740,-0.28,95100,8990,0.85,1.81,0.23,1.81,99,50,1483588,2504113,3889,7391,0.583,0.533,219,105000,8960,-0.00334,219,105000,8960,-0.00334,219,105000,8960,-0.00334,219,105000,8960,-0.00334,219,105000,8960,-0.00334
8899,2025-02-19,233740,-0.28,94100,8885,0.23,0.91,-0.11,0.68,42,27,2022230,2170196,5109,5990,0.517,0.417,83,94200,8910,0.00281,87,94400,8930,0.00506,88,94430,8950,0.00732,89,94500,8970,0.00957,89,94500,8980,0.01069
8898,2025-02-19,233740,-0.28,93100,8865,-0.28,0.91,-0.74,0.74,42,4,2890534,3322770,7151,7849,0.517,0.483,68,93430,8890,0.00282,72,93630,8910,0.00508,87,94400,8930,0.00733,88,94430,8950,0.00959,88,94430,8960,0.01072
8897,2025-02-18,233740,-0.06,142100,8765,-0.29,0.46,-0.29,0.46,639,580,426086,897347,737,3226,0.55,0.672,679,144000,8790,0.00285,681,144100,8810,0.00513,759,152000,8820,0.00627,759,152000,8820,0.00627,759,152000,8820,0.00627
8896,2025-02-18,233740,-0.06,141100,8740,-0.34,0.11,-0.46,0.06,613,567,331465,563390,515,1587,0.467,0.596,633,141700,8770,0.00343,654,142730,8780,0.00458,680,144030,8800,0.00686,739,151000,8800,0.00686,739,151000,8800,0.00686
8895,2025-02-18,233740,-0.06,140100,8735,-0.23,0.0,-0.46,0.0,599,567,249876,321044,527,936,0.45,0.643,629,141500,8760,0.00286,654,142730,8780,0.00515,680,144030,8800,0.00744,681,144100,8810,0.00859,719,150000,8780,0.00515
8894,2025-02-18,233740,-0.06,135100,8710,-0.23,-0.17,-0.46,-0.29,530,567,223544,249552,457,732,0.417,0.614,600,140030,8740,0.00344,622,141130,8750,0.00459,633,141700,8770,0.00689,679,144000,8790,0.00918,681,144100,8810,0.01148
8893,2025-02-18,233740,-0.06,134100,8710,-0.4,-0.17,-0.4,-0.34,530,500,199340,257192,427,781,0.5,0.691,600,140030,8740,0.00344,622,141130,8750,0.00459,633,141700,8770,0.00689,679,144000,8790,0.00918,679,144000,8785,0.00861
8892,2025-02-18,233740,-0.06,133100,8715,-0.23,-0.17,-0.46,-0.17,530,499,209597,252357,396,882,0.5,0.63,600,140030,8740,0.00287,629,141500,8760,0.00516,654,142730,8780,0.00746,659,143000,8780,0.00746,659,143000,8780,0.00746
8891,2025-02-18,233740,-0.06,132100,8715,-0.29,-0.23,-0.46,-0.23,479,473,179989,222564,397,778,0.567,0.679,600,140030,8740,0.00287,629,141500,8760,0.00516,639,142000,8775,0.00688,639,142000,8775,0.00688,639,142000,8775,0.00688
8890,2025-02-18,233740,-0.06,131100,8705,-0.52,-0.23,-0.57,-0.46,479,442,167647,339560,409,898,0.65,0.75,595,135800,8730,0.00287,619,141000,8740,0.00402,619,141000,8740,0.00402,619,141000,8740,0.00402,619,141000,8740,0.00402
8889,2025-02-18,233740,-0.06,130100,8715,-0.63,-0.23,-0.63,-0.23,479,420,141413,428454,348,957,0.733,0.828,599,140000,8735,0.00229,599,140000,8735,0.00229,599,140000,8735,0.00229,599,140000,8735,0.00229,599,140000,8735,0.00229
8888,2025-02-18,233740,-0.06,125100,8705,-0.57,-0.29,-0.74,-0.29,456,406,276401,420046,528,849,0.7,0.783,579,135000,8710,0.00057,579,135000,8710,0.00057,579,135000,8710,0.00057,579,135000,8710,0.00057,579,135000,8710,0.00057
8887,2025-02-18,233740,-0.06,124100,8690,-0.52,-0.4,-0.74,-0.4,428,406,377106,343241,709,667,0.55,0.695,480,130030,8720,0.00345,559,134000,8705,0.00173,559,134000,8705,0.00173,559,134000,8705,0.00173,559,134000,8705,0.00173
8886,2025-02-18,233740,-0.06,123100,8680,-0.46,-0.34,-0.74,-0.63,364,406,394145,317257,789,563,0.533,0.627,456,124830,8710,0.00346,480,130030,8720,0.00461,539,133000,8720,0.00461,539,133000,8720,0.00461,539,133000,8720,0.00461
8885,2025-02-18,233740,-0.06,122100,8685,-0.4,-0.34,-0.63,-0.57,364,397,298749,292197,682,549,0.567,0.661,456,124830,8710,0.00288,519,132000,8715,0.00345,519,132000,8715,0.00345,519,132000,8715,0.00345,519,132000,8715,0.00345
