,date,shcode,time,vi_time,wtime,vi_trgprice,vi_sprice,histHigh,histLow,ilocHigh,ilocLow,histClose,histDiff,histHigh10min,histLow10min,ilocHigh10min,ilocLow10min,chdegree,volume,mdvolume,msvolume,mdchecnt,mschecnt,tmcode,tmavgdiff,tm1diff,tm2diff,tm1value,tm2value,DurH30,DurL30,DurH60,DurL60,maxProfit,minProfit,lastProfit,imax,imin,hname,finalProfit
3336,20241023,417840,134050,134044,135258,8440,7660,8490,8040,19,6,8250,5.770,8490,8040,19,6,108.620,57355,25624,27832,482,442,12,2.870,18.080,16.020,70374,56542,10100,7330,10100,7200,0.016,-0.010,0.010,620,588,저스템,0.010
3218,20241022,054180,91341,91340,92543,381,346,415,371,19,17,407,17.630,415,371,19,17,96.740,1242450,617014,596896,805,1217,94,0.290,18.210,1.840,491,167,531,346,719,346,0.103,0.017,0.103,71,67,메디콕스,0.080
3008,20241017,351870,93846,93840,95051,13480,12250,14300,13300,14,17,13770,11.410,14300,13300,14,17,100.300,709134,333854,334839,4232,5380,562,1.420,11.570,8.230,9615,97646,22250,12360,22250,12360,0.027,-0.100,-0.077,187,539,차이커뮤니케이션,-0.048
2894,20241015,009190,135340,135339,140551,1907,1733,2100,1716,20,12,1779,1.720,2100,1716,20,12,66.500,1694611,846786,563114,2648,2392,511,-1.230,5.410,1.720,1475,3182,2360,1621,2360,1588,0.017,-0.015,0.012,740,633,대양금속,0.012
2822,20241015,223310,91214,91214,92417,2530,2300,2750,2460,18,9,2535,13.680,2750,2460,18,9,84.790,583886,309740,262638,1863,2407,332,1.400,14.130,2.250,1521,894,3165,2220,4080,2220,0.012,-0.089,-0.039,52,644,딥마인드,-0.048
2766,20241014,140430,92111,92106,93317,3725,3385,3795,3590,20,4,3745,11.620,3795,3590,20,4,145.740,740632,282551,411789,3063,3810,234,0.770,12.220,4.500,2717,76544,4540,3355,5180,3355,0.051,-0.048,-0.048,129,760,카티스,-0.048
2756,20241014,069640,90222,90215,91426,1930,1754,1990,1777,9,15,1894,8.040,1990,1777,9,15,93.810,306672,135936,127523,1597,2113,496,0.780,7.990,1.700,585,19,2305,1660,2305,1561,0.007,-0.089,-0.089,29,760,한세엠케이,-0.048
2689,20241011,373200,90217,90215,91424,486,440,489,451,17,10,468,0.210,489,451,17,10,137.380,711249,196125,269434,159,245,279,0.590,11.540,4.470,4746,36239,736,467,1725,467,0.009,-0.105,-0.075,28,311,엑스플러스,-0.048
2587,20241008,059270,100913,100911,102119,8380,7610,9160,8190,11,20,8710,14.760,9160,8190,11,20,115.090,1027113,468910,539654,3756,4281,505,0.010,14.620,14.200,8834,3740,11690,7590,14110,7590,0.009,-0.094,-0.073,171,415,해성에어로보틱스,-0.048
2540,20241007,180400,132706,132700,133914,2960,2690,2990,2755,20,11,2830,6.190,2990,2755,20,11,108.990,3351788,1519970,1656625,4122,5512,546,1.100,6.190,2.150,9475,107,4080,2510,4080,1689,0.113,-0.004,0.030,591,563,DXVX,0.080
